URL,Institution,Conference,Games,Goals,Assists,ShAtt,SoG,Fouls,Red Cards,Yellow Cards,GC,Goal App,GGS,Goalie Min. Plyd,GA,Saves,Combined Sho,Shutouts,G Wins,G Loss,DSaves,Corners,PK,PK Att,GWG
https://stats.ncaa.org/team/26172/16462,A&M-Corpus Christi,Southland,2,3,2,32,19,17,,1,,,,180:00:00,2,2,,1,,,,8,,,1
https://stats.ncaa.org/team/2/16462,Abilene Christian,WAC,2,4,3,33,13,19,,2,,,,180:00:00,0,9,1,2,,,,18,,,2
https://stats.ncaa.org/team/721/16462,Air Force,Mountain West,2,3,3,32,18,19,,,,,,180:00:00,5,12,,,,,,7,,,1
https://stats.ncaa.org/team/5/16462,Akron,MAC,2,3,2,16,9,25,,1,,,,180:00:00,2,4,,,,,,3,,,1
https://stats.ncaa.org/team/8/16462,Alabama,SEC,2,3,4,35,16,19,,,,,,180:00:00,0,1,,2,,,,14,,,2
https://stats.ncaa.org/team/6/16462,Alabama A&M,SWAC,1,,,6,4,8,,1,,,,90:00:00,5,5,,,,,,3,,,
https://stats.ncaa.org/team/7/16462,Alabama St.,SWAC,2,2,2,17,9,22,,,,,,180:00:00,5,13,,,,,,8,,,
https://stats.ncaa.org/team/17/16462,Alcorn,SWAC,2,,,2,1,11,,1,,,,180:00:00,14,27,,,,,,,,,
https://stats.ncaa.org/team/23/16462,American,Patriot,2,,,15,6,19,,,,,,180:00:00,5,7,,1,,,,5,,,
https://stats.ncaa.org/team/27/16462,App State,Sun Belt,2,3,2,25,11,20,,1,,,,180:00:00,1,9,,1,,,,10,1,1,1
https://stats.ncaa.org/team/29/16462,Arizona,Pac-12,1,1,,7,3,11,,1,,,,90:00:00,2,4,,,,,,3,,,
https://stats.ncaa.org/team/28/16462,Arizona St.,Pac-12,2,4,4,28,12,20,,2,,,,180:00:00,0,9,,2,,,,7,,,1
https://stats.ncaa.org/team/2678/16462,Ark.-Pine Bluff,SWAC,1,16,7,56,33,3,,,,,,90:00:00,0,,1,1,,,,10,,,1
https://stats.ncaa.org/team/31/16462,Arkansas,SEC,1,6,3,34,16,10,,,,,,90:00:00,0,3,,1,,,,8,1,1,1
https://stats.ncaa.org/team/30/16462,Arkansas St.,Sun Belt,2,4,5,28,13,17,,2,,,,180:00:00,7,14,,,,,,4,,,1
https://stats.ncaa.org/team/725/16462,Army West Point,Patriot,2,1,1,23,9,12,,,,,,180:00:00,3,7,,,,,,6,,,
https://stats.ncaa.org/team/37/16462,Auburn,SEC,2,5,6,31,14,11,,,,,,180:00:00,0,1,1,2,,,,10,,,1
https://stats.ncaa.org/team/43/16462,Austin Peay,ASUN,2,3,2,26,12,13,,,,,,180:00:00,2,5,,1,,,,12,,,1
https://stats.ncaa.org/team/77/16462,Ball St.,MAC,2,5,4,27,13,24,,,,,,180:00:00,4,11,,,,,,5,,,1
https://stats.ncaa.org/team/47/16462,Baylor,Big 12,2,3,3,34,16,13,,2,,,,180:00:00,2,12,,1,,,,9,,,1
https://stats.ncaa.org/team/51/16462,Bellarmine,ASUN,1,3,2,10,7,8,,,,,,90:00:00,3,11,,,,,,2,,,
https://stats.ncaa.org/team/52/16462,Belmont,MVC,2,2,2,10,6,17,,1,,,,180:00:00,3,9,,1,,,,7,,,1
https://stats.ncaa.org/team/14927/16462,Binghamton,America East,2,,,28,13,14,,2,,,,180:00:00,2,8,,1,,,,14,,,
https://stats.ncaa.org/team/62/16462,Boise St.,Mountain West,2,4,3,33,12,25,,2,,,,180:00:00,3,11,,,,,,8,,,1
https://stats.ncaa.org/team/66/16462,Boston College,ACC,2,2,,19,8,14,,2,,,,180:00:00,4,9,,1,,,,9,,1,
https://stats.ncaa.org/team/67/16462,Boston U.,Patriot,2,1,,21,9,9,,1,,,,180:00:00,2,12,,1,,,,8,1,1,1
https://stats.ncaa.org/team/68/16462,Bowling Green,MAC,1,1,,4,3,18,,4,,,,90:00:00,3,7,,,,,,1,,,
https://stats.ncaa.org/team/71/16462,Bryant,America East,2,1,,15,7,11,,,,,,180:00:00,0,12,2,2,,,,4,,,1
https://stats.ncaa.org/team/81/16462,Bucknell,Patriot,2,7,10,45,26,16,,1,,,,180:00:00,1,6,,1,,,,10,,,2
https://stats.ncaa.org/team/83/16462,Buffalo,MAC,2,3,2,16,6,16,,1,,,,180:00:00,3,3,,,,,,6,,,1
https://stats.ncaa.org/team/86/16462,Butler,Big East,2,3,4,30,12,11,1,3,,,,180:00:00,3,5,1,1,,,,7,,,1
https://stats.ncaa.org/team/87/16462,BYU,Big 12,2,7,10,48,29,9,,,,,,180:00:00,3,9,,,,,,11,,,2
https://stats.ncaa.org/team/94/16462,Cal Poly,Big West,1,1,1,6,4,8,,1,,,,90:00:00,1,3,,,,,,2,,,
https://stats.ncaa.org/team/101/16462,Cal St. Fullerton,Big West,2,1,1,17,6,23,,2,,,,180:00:00,4,15,,1,,,,10,,,
https://stats.ncaa.org/team/90/16462,California,Pac-12,2,2,2,9,3,15,,6,,,,180:00:00,7,14,,,,,,5,,,
https://stats.ncaa.org/team/97/16462,California Baptist,WAC,1,4,2,18,8,12,,3,,,,90:00:00,1,1,,,,,,6,,,1
https://stats.ncaa.org/team/107/16462,Campbell,CAA,3,4,4,26,12,25,,3,,,,270:00:00,5,7,,,,,,11,,,1
https://stats.ncaa.org/team/30135/16462,Canisius,MAAC,2,,,15,3,24,,1,,,,180:00:00,4,11,,1,,,,7,,,
https://stats.ncaa.org/team/115/16462,Central Ark.,ASUN,3,2,2,15,3,35,,4,,,,270:00:00,13,14,,,,,,5,1,1,
https://stats.ncaa.org/team/116/16462,Central Conn. St.,NEC,2,4,5,20,10,23,,4,,,,180:00:00,2,8,,1,,,,1,,,1
https://stats.ncaa.org/team/1004/16462,Central Mich.,MAC,1,3,3,22,12,15,1,4,,,,90:00:00,3,3,,,,,,7,,,
https://stats.ncaa.org/team/127/16462,Charleston So.,Big South,2,4,2,14,10,19,,3,,,,180:00:00,2,8,,1,,,,10,1,1,1
https://stats.ncaa.org/team/129/16462,Charlotte,AAC,2,3,1,24,9,15,,3,,,,180:00:00,5,4,,,,,,8,,,
https://stats.ncaa.org/team/48/16462,Chattanooga,SoCon,2,2,1,20,10,18,,,,,,180:00:00,3,10,,1,,,,4,,,1
https://stats.ncaa.org/team/458/16462,Chicago St.,DI Independent,2,1,,4,4,18,,5,,,,180:00:00,1,9,,1,,,,,,,1
https://stats.ncaa.org/team/693/16462,Cincinnati,Big 12,2,1,,11,5,22,,2,,,,180:00:00,5,8,,,,,,9,,,
https://stats.ncaa.org/team/136/16462,Clemson,ACC,2,9,10,71,36,16,,1,,,,180:00:00,0,2,,2,,,,30,1,1,1
https://stats.ncaa.org/team/140/16462,Cleveland St.,Horizon,2,4,3,26,14,20,,4,,,,180:00:00,4,3,,,,,,10,,,1
https://stats.ncaa.org/team/147/16462,Coastal Carolina,Sun Belt,1,1,,6,2,7,,2,,,,90:00:00,0,6,,1,,,,,1,1,1
https://stats.ncaa.org/team/148/16462,Col. of Charleston,CAA,2,2,3,28,12,17,,4,,,,180:00:00,4,7,,,,,,6,,,
https://stats.ncaa.org/team/149/16462,Colgate,Patriot,2,5,6,20,10,19,,2,,,,180:00:00,1,6,,1,,,,8,,,1
https://stats.ncaa.org/team/1014/16462,Colorado,Pac-12,2,3,2,35,15,22,,,,,,180:00:00,1,7,,1,,,,10,,,1
https://stats.ncaa.org/team/153/16462,Colorado Col.,Mountain West,2,3,2,25,9,18,,2,,,,180:00:00,5,8,,,,,,6,,,
https://stats.ncaa.org/team/157/16462,Colorado St.,Mountain West,2,4,,35,14,15,,,,,,180:00:00,1,3,,1,,,,11,,,1
https://stats.ncaa.org/team/154/16462,Creighton,Big East,2,3,3,12,6,20,,1,,,,180:00:00,5,12,,,,,,5,,,
https://stats.ncaa.org/team/156/16462,CSU Bakersfield,Big West,2,2,3,20,6,27,1,3,,,,180:00:00,3,7,,,,,,7,,,
https://stats.ncaa.org/team/169/16462,CSUN,Big West,2,,,10,4,19,,2,,,,180:00:00,1,8,,1,,,,4,,,
https://stats.ncaa.org/team/173/16462,Davidson,Atlantic 10,2,2,2,13,6,13,,1,,,,180:00:00,2,9,,1,,,,10,,,1
https://stats.ncaa.org/team/175/16462,Dayton,Atlantic 10,2,8,3,29,17,11,,1,,,,180:00:00,2,8,,,,,,9,,,2
https://stats.ncaa.org/team/176/16462,Delaware,CAA,2,1,1,19,8,13,,1,,,,180:00:00,1,8,1,1,,,,5,,,1
https://stats.ncaa.org/team/180/16462,Delaware St.,NEC,2,,,13,8,12,,1,,,,180:00:00,10,22,,,,,,8,,,
https://stats.ncaa.org/team/178/16462,Denver,Summit League,2,3,3,32,12,10,,,,,,180:00:00,3,6,,,,,,15,,,
https://stats.ncaa.org/team/183/16462,DePaul,Big East,2,2,2,14,3,20,,1,,,,180:00:00,3,12,,,,,,3,,,1
https://stats.ncaa.org/team/184/16462,Detroit Mercy,Horizon,2,5,3,26,15,24,1,5,,,,180:00:00,8,14,,,,,,10,,,
https://stats.ncaa.org/team/189/16462,Drake,MVC,2,5,5,28,14,22,,3,,,,180:00:00,0,4,1,2,,,,8,,,2
https://stats.ncaa.org/team/191/16462,Drexel,CAA,2,4,5,23,14,20,,1,,,,135:00:00,4,10,1,1,,,,3,,,1
https://stats.ncaa.org/team/193/16462,Duke,ACC,1,2,1,12,5,8,,,,,,90:00:00,0,3,,1,,,,4,,,1
https://stats.ncaa.org/team/194/16462,Duquesne,Atlantic 10,2,5,5,23,11,26,,2,,,,180:00:00,3,7,,1,,,,10,1,1,1
https://stats.ncaa.org/team/198/16462,East Carolina,AAC,2,,,18,1,19,,3,,,,180:00:00,2,6,,1,,,,10,,,
https://stats.ncaa.org/team/196/16462,Eastern Ill.,OVC,2,4,3,16,8,17,,2,,,,180:00:00,3,9,,,,,,5,,,1
https://stats.ncaa.org/team/201/16462,Eastern Ky.,ASUN,2,1,2,10,7,17,,1,,,,180:00:00,3,6,,,,,,4,,,
https://stats.ncaa.org/team/202/16462,Eastern Mich.,MAC,2,2,,36,15,21,,1,,,,180:00:00,3,2,,,,,,10,,,
https://stats.ncaa.org/team/204/16462,Eastern Wash.,Big Sky,2,3,3,13,6,20,,2,,,,180:00:00,6,11,,,,,,9,,,
https://stats.ncaa.org/team/207/16462,Elon,CAA,2,6,4,33,14,19,,1,,,,190:00:00,3,9,1,1,,,,11,2,2,1
https://stats.ncaa.org/team/1068/16462,ETSU,SoCon,2,2,2,28,14,23,,1,,,,180:00:00,0,3,,2,,,,19,,,1
https://stats.ncaa.org/team/219/16462,Evansville,MVC,1,,,7,2,5,,2,,,,90:00:00,0,10,,1,,,,1,,,
https://stats.ncaa.org/team/222/16462,Fairfield,MAAC,2,3,3,43,16,8,,,,,,180:00:00,1,4,,1,,,,20,,,1
https://stats.ncaa.org/team/28755/16462,FDU,NEC,2,,,8,4,13,,1,,,,180:00:00,7,18,,,,,,6,,1,
https://stats.ncaa.org/team/231/16462,FGCU,ASUN,1,,,4,2,11,,2,,,,90:00:00,1,9,,,,,,1,,,
https://stats.ncaa.org/team/220/16462,FIU,CUSA,2,13,9,47,26,20,,,,,,180:00:00,0,4,1,2,,,,8,3,3,2
https://stats.ncaa.org/team/229/16462,Fla. Atlantic,AAC,2,3,5,20,12,28,,1,,,,180:00:00,3,2,,,,,,11,,,
https://stats.ncaa.org/team/235/16462,Florida,SEC,2,3,1,21,8,18,,1,,,,180:00:00,0,4,,2,,,,11,1,1,2
https://stats.ncaa.org/team/234/16462,Florida St.,ACC,2,4,6,19,8,25,,3,,,,180:00:00,1,4,,1,,,,6,,,2
https://stats.ncaa.org/team/236/16462,Fordham,Atlantic 10,2,4,3,29,15,27,,1,,,,180:00:00,3,7,,1,,,,8,,,1
https://stats.ncaa.org/team/96/16462,Fresno St.,Mountain West,2,3,3,25,10,19,,,,,,180:00:00,2,5,,,,,,12,,,1
https://stats.ncaa.org/team/244/16462,Furman,SoCon,2,3,3,17,8,17,,4,,,,180:00:00,1,10,,1,,,,10,,,2
