Institution,Conference,TotalAttend,AvgAttend,Capacity,PctCapacity,Games
A&M-Corpus Christi,Southland,"2,439",305,"2,000",15.24,8
Abilene Christian,WAC,"1,282",160,"5,000",3.21,8
Air Force,Mountain West,"2,084",261,"3,000",8.68,8
Akron,MAC,"3,621",453,"5,000",9.05,8
Alabama,SEC,"9,306",931,"1,500",62.04,10
Alabama A&M,SWAC,563,80,500,16.09,7
Alabama St.,SWAC,967,121,500,24.18,8
Alcorn,SWAC,724,121,"22,500",0.54,6
American,Patriot,"1,506",188,"2,000",9.41,8
App State,Sun Belt,"2,867",358,"1,000",35.84,8
Arizona,Pac-12,"7,263",807,"1,000",80.7,9
Arizona St.,Pac-12,"7,013",701,"1,051",66.73,10
Ark.-Pine Bluff,SWAC,762,109,500,21.77,7
Arkansas,SEC,"25,783","2,344","1,500",156.26,11
Arkansas St.,Sun Belt,"2,003",250,500,50.08,8
Army West Point,Patriot,"4,395",440,"2,000",21.98,10
Auburn,SEC,"7,455",828,"1,500",55.22,9
Austin Peay,ASUN,"2,800",350,800,43.75,8
Ball St.,MAC,"1,408",156,"1,000",15.64,9
Baylor,Big 12,"5,215",579,"3,000",19.31,9
Bellarmine,ASUN,"2,230",223,"1,776",12.56,10
Belmont,MVC,"1,362",195,500,38.91,7
Binghamton,America East,"1,778",222,"2,534",8.77,8
Boise St.,Mountain West,"10,832","1,083",750,144.43,10
Boston College,ACC,"4,291",477,"2,000",23.84,9
Boston U.,Patriot,"3,535",295,"10,412",2.83,12
Bowling Green,MAC,"4,368",546,"1,000",54.6,8
Brown,Ivy League,"6,760",676,"3,500",19.31,10
Bryant,America East,"1,231",176,"1,000",17.59,7
Bucknell,Patriot,"4,469",447,"1,250",35.75,10
Buffalo,MAC,"1,445",181,"29,013",0.62,8
Butler,Big East,"4,343",362,"6,500",5.57,12
BYU,Big 12,"52,471","4,036","4,200",96.1,13
Cal Poly,Big West,"12,295","1,366","11,075",12.34,9
Cal St. Fullerton,Big West,"8,249",750,"10,000",7.5,11
California,Pac-12,"3,572",357,"22,000",1.62,10
California Baptist,WAC,"4,884",488,"1,000",48.84,10
Campbell,CAA,"1,854",206,"1,000",20.6,9
Canisius,MAAC,"3,815",382,"1,000",38.15,10
Central Ark.,ASUN,"2,862",286,"1,000",28.62,10
Central Conn. St.,NEC,"3,250",325,"1,000",32.5,10
Central Mich.,MAC,"1,484",212,"1,000",21.2,7
Charleston So.,Big South,"1,480",211,500,42.29,7
Charlotte,AAC,"6,619",735,"4,000",18.39,9
Chattanooga,SoCon,"1,782",223,500,44.55,8
Chicago St.,DI Independent,250,50,0,Inf,5
Cincinnati,Big 12,"4,058",507,"1,400",36.23,8
Clemson,ACC,"17,357","1,157","6,500",17.8,15
Cleveland St.,Horizon,"2,503",313,"3,000",10.43,8
Coastal Carolina,Sun Belt,"1,399",140,"2,300",6.08,10
Col. of Charleston,CAA,"1,794",199,"1,200",16.61,9
Colgate,Patriot,"1,179",168,"1,300",12.96,7
Colorado,Pac-12,"11,644",970,"2,000",48.52,12
Colorado Col.,Mountain West,"2,437",348,"1,000",34.81,7
Colorado St.,Mountain West,"2,588",288,0,Inf,9
Columbia,Ivy League,"2,995",333,"3,000",11.09,9
Cornell,Ivy League,"3,265",408,"1,000",40.81,8
Creighton,Big East,"6,473",719,"6,000",11.99,9
CSU Bakersfield,Big West,"3,062",383,"2,500",15.31,8
CSUN,Big West,"3,021",302,"1,500",20.14,10
Dartmouth,Ivy League,"3,458",432,"2,100",20.58,8
Davidson,Atlantic 10,"1,200",150,"2,000",7.5,8
Dayton,Atlantic 10,"4,324",393,"2,000",19.65,11
Delaware,CAA,"2,026",225,"1,400",16.08,9
Delaware St.,NEC,"1,839",230,"7,000",3.28,8
Denver,Summit League,"6,112",611,"1,915",31.92,10
DePaul,Big East,"3,059",340,"1,000",33.99,9
Detroit Mercy,Horizon,"2,322",232,"1,000",23.22,10
Drake,MVC,"3,945",303,"14,557",2.08,13
Drexel,CAA,"1,966",218,"1,000",21.84,9
Duke,ACC,"10,650","1,183","4,000",29.58,9
Duquesne,Atlantic 10,"2,483",276,"2,200",12.54,9
East Carolina,AAC,"3,153",526,"1,000",52.55,6
Eastern Ill.,OVC,"1,100",138,"1,000",13.75,8
Eastern Ky.,ASUN,"2,505",278,400,69.58,9
Eastern Mich.,MAC,"2,202",275,700,39.32,8
Eastern Wash.,Big Sky,"1,447",181,500,36.18,8
Elon,CAA,"3,699",411,625,65.76,9
ETSU,SoCon,"4,598",418,"2,000",20.9,11
Evansville,MVC,"3,150",394,"2,500",15.75,8
Fairfield,MAAC,"4,379",398,600,66.35,11
FDU,NEC,"2,060",229,"1,100",20.81,9
FGCU,ASUN,"1,946",216,"1,500",14.41,9
FIU,CUSA,"1,968",197,"1,500",13.12,10
Fla. Atlantic,AAC,"2,607",261,"1,000",26.07,10
Florida,SEC,"6,104",763,"1,500",50.87,8
Florida St.,ACC,"17,034","1,549","2,000",77.43,11
Fordham,Atlantic 10,"2,770",252,"7,000",3.6,11
Fresno St.,Mountain West,"4,987",499,"1,300",38.36,10
Furman,SoCon,"2,698",385,"3,000",12.85,7
Ga. Southern,Sun Belt,"2,609",326,500,65.23,8
Gardner-Webb,Big South,680,76,"1,000",7.56,9
George Mason,Atlantic 10,"2,908",323,"5,000",6.46,9
George Washington,Atlantic 10,"1,554",173,"1,000",17.27,9
Georgetown,Big East,"6,970",697,"1,625",42.89,10
Georgia,SEC,"14,571","1,325","1,682",78.75,11
Georgia St.,Sun Belt,"1,341",134,"2,000",6.71,10
Gonzaga,WCC,"7,701",770,"1,500",51.34,10
Grambling,SWAC,"1,140",114,0,Inf,10
Grand Canyon,WAC,"6,117",556,"6,000",9.27,11
