URL,Institution,Conference,Games,Goals,Assists,ShAtt,SoG,Fouls,Red Cards,Yellow Cards,Corners,PK,PK Att,GWG
https://stats.ncaa.org/team/415/stats/16641,Miami (OH),MAC,2,6,4,16,34,14,20,,1,14,,
https://stats.ncaa.org/team/414/stats/16641,Michigan,Big Ten,2,1,1,3,22,9,24,,4,4,,
https://stats.ncaa.org/team/418/stats/16641,Michigan St.,Big Ten,1,2,1,5,15,7,5,,2,3,,
https://stats.ncaa.org/team/416/stats/16641,Middle Tenn.,CUSA,1,1,2,4,17,6,3,,,4,,
https://stats.ncaa.org/team/419/stats/16641,Milwaukee,Horizon,1,2,2,6,4,3,7,,,3,,
https://stats.ncaa.org/team/797/stats/16641,Minnesota,Big Ten,1,2,4,8,12,8,8,,1,3,,
https://stats.ncaa.org/team/428/stats/16641,Mississippi St.,SEC,2,5,5,15,46,15,22,,2,13,1,1
https://stats.ncaa.org/team/430/stats/16641,Mississippi Val.,SWAC,1,,,0,5,3,9,,1,,,
https://stats.ncaa.org/team/432/stats/16641,Missouri,SEC,2,2,2,6,21,7,21,,3,6,,
https://stats.ncaa.org/team/434/stats/16641,Missouri St.,MVC,2,1,1,3,35,17,21,,1,12,,
https://stats.ncaa.org/team/669/stats/16641,Monmouth,CAA,1,1,,2,24,15,7,,1,11,,
https://stats.ncaa.org/team/439/stats/16641,Montana,Big Sky,2,4,4,12,30,15,31,,4,7,,
https://stats.ncaa.org/team/441/stats/16641,Morehead St.,OVC,2,1,1,3,11,5,20,,4,4,,
https://stats.ncaa.org/team/444/stats/16641,Mount St. Mary's,MAAC,2,6,3,15,44,22,11,,,16,1,1
https://stats.ncaa.org/team/450/stats/16641,Murray St.,MVC,2,3,,6,19,6,20,,2,8,1,1
https://stats.ncaa.org/team/454/stats/16641,Navy,Patriot,2,2,2,6,17,8,29,,2,7,,
https://stats.ncaa.org/team/490/stats/16641,NC State,ACC,2,,,0,17,7,14,,5,8,,
https://stats.ncaa.org/team/503/stats/16641,Nebraska,Big Ten,2,3,5,11,35,9,22,,2,12,,
https://stats.ncaa.org/team/471/stats/16641,Nevada,Mountain West,2,4,3,11,34,13,30,,4,8,,
https://stats.ncaa.org/team/726/stats/16641,New Hampshire,America East,2,5,4,14,34,13,20,,1,10,1,1
https://stats.ncaa.org/team/463/stats/16641,New Mexico,Mountain West,1,1,2,4,8,2,9,,1,5,,
https://stats.ncaa.org/team/466/stats/16641,New Mexico St.,CUSA,2,5,6,16,14,9,27,,1,9,,
