institution,conference,all,division_i,division_ii,division_iii,non_member
UCF,Sun Belt,2-2-3,2-2-3,,,
UCLA,Big Ten,4-2-3,3-2-3,1-0,,
UConn,Big East,5-2-3,5-2-3,,,
UIC,MVC,4-5,4-5,,,
UIW,OVC,3-4-1,2-4-1,,,1-0
UMass Lowell,America East,5-1-3,5-1-3,,,
UMBC,America East,4-5-3,4-5-3,,,
UNC Asheville,Big South,4-2-2,4-2-2,,,
UNC Greensboro,SoCon,7-1-4,7-1-4,,,
UNCW,CAA,2-5-5,2-5-5,,,
UNLV,WAC,3-5,3-5,,,
USC Upstate,Big South,1-9,1-9,,,
Utah Tech,WAC,1-6-2,1-6-2,,,
Utah Valley,WAC,5-3-2,5-3-2,,,
UTRGV,WAC,2-4-1,1-4-1,,,1-0
VCU,Atlantic 10,3-2-4,3-2-4,,,
Vermont,America East,12-1-4,12-1-4,,,
Villanova,Big East,1-3-5,1-3-5,,,
Virginia,ACC,8-4-1,7-4-1,,1-0,
Virginia Tech,ACC,6-1-2,6-1-2,,,
VMI,SoCon,5-6-2,1-6-2,1-0,2-0,1-0
Wake Forest,ACC,8-3-5,8-3-5,,,
Washington,Big Ten,4-3-4,4-3-4,,,
West Virginia,Sun Belt,8-2-3,8-2-3,,,
Western Ill.,OVC,5-4-1,3-4-1,1-0,,1-0
Western Mich.,MVC,9-2-2,8-2-2,,1-0,
William & Mary,CAA,2-6,2-6,,,
Winthrop,Big South,1-9-1,1-9-1,,,
Wisconsin,Big Ten,5-0,5-0,,,
Wofford,SoCon,5-4-3,5-4-3,,,
Wright St.,Horizon,4-4-1,4-4-1,,,
Xavier,Big East,3-3-3,3-3-3,,,
Yale,Ivy League,3-5-1,2-5-1,,1-0,
