conference,all,division_i,division_ii,division_iii,non_member
ACC,95-40-27,91-40-27,1-0,3-0,
America East,38-29-23,38-29-23,,,
American,27-32-19,26-32-19,,,1-0
ASUN,32-39-18,27-39-18,,1-0,4-0
Atlantic 10,46-45-33,41-45-33,1-0,3-0,1-0
Big East,59-36-26,56-36-26,1-0,2-0,
Big South,29-39-18,28-39-17,1-0-1,,
Big Ten,54-23-13,51-23-13,,3-0,
Big West,25-46-27,23-46-27,2-0,,
CAA,35-34-25,33-34-25,,2-0,
DI Independent,1-7-2,0-7-2,1-0,,
Horizon,23-42-21,21-42-21,,1-0,1-0
Ivy League,34-25-17,34-25-17,,,
MAAC,28-44-19,26-44-19,1-0,1-0,
MVC,39-28-22,35-28-22,,2-0,2-0
NEC,17-55-15,16-55-15,1-0,,
OVC,29-34-8,25-33-8,0-1,3-0,1-0
Patriot,33-38-22,32-38-22,,1-0,
SoCon,30-34-22,27-33-21,1-1-1,2-0,
Summit League,41-27-17,39-27-17,1-0,1-0,
Sun Belt,43-29-22,42-29-22,,1-0,
WAC,41-32-14,38-32-13,0-0-1,1-0,2-0
WCC,38-29-19,36-29-19,,1-0,1-0
