date,team1,indicator,team2,score,location,attendance,extra_periods
11/17/2024,Wake Forest,vs.,Clemson,1-1,"Cary, NC","1,839",3
11/07/2024,UNCW,vs.,Monmouth,1-1,"Philadelphia, PA",273,3
11/09/2024,Loyola Maryland,@,American,2-2,,220,3
11/17/2024,LIU,@,FDU,0-0,,423,3
11/09/2024,Bellarmine,vs.,FGCU,1-1,"Jacksonville, FL",213,3
11/21/2024,Seattle U,@,Washington,0-0,,"2,988",3
11/10/2024,Wake Forest,@,SMU,2-2,,"1,175",3
12/13/2024,Vermont,vs.,Denver,1-1,"Cary, NC","10,614",3
11/21/2024,Furman,@,North Carolina,0-0,,801,3
11/10/2024,Furman,@,UNC Greensboro,1-1,,518,3
12/01/2024,Stanford,@,Ohio St.,0-0,,"1,136",3
11/10/2024,Michigan,vs.,UCLA,1-1,"Bridgeview, IL",0,3
11/17/2024,Marshall,@,West Virginia,0-0,,"3,162",3
11/07/2024,Michigan St.,vs.,Washington,0-0,"Bridgeview, IL",113,3
11/10/2024,Wofford,@,ETSU,1-1,,654,3
11/24/2024,UC Santa Barbara,@,Stanford,2-2,,"2,300",3
11/16/2024,Central Ark.,@,North Florida,3-3,,981,3
11/09/2024,Saint Louis,@,Massachusetts,0-0,,928,3
11/13/2024,Bryant,@,New Hampshire,0-0,,743,3
11/10/2024,UC Davis,@,Cal Poly,1-1,,"1,582",3
11/16/2024,Houston Christian,@,SIUE,2-3,,450,2
11/10/2024,Sacred Heart,@,Rider,0-1,,150,2
11/07/2024,Col. of Charleston,vs.,Hofstra,2-3,"Elon, NC",74,2
11/12/2024,American,@,Bucknell,1-1,,426,2
11/21/2024,Charlotte,@,NC State,1-2,,"1,154",2
