institution,conference,all,division_i,division_ii,division_iii,non_member
A&M-Corpus Christi,Southland,2-4-3,1-4-3,,,1-0
Abilene Christian,WAC,4-6,4-6,,,
Air Force,Mountain West,2-5-2,2-4-2,0-1,,
Akron,MAC,3-2-1,3-2-1,,,
Alabama,SEC,7-3-2,7-3-2,,,
Alabama A&M,SWAC,4-7,4-7,,,
Alabama St.,SWAC,1-10-1,0-9,1-1,,0-0-1
Alcorn,SWAC,2-5-2,2-5-2,,,
American,Patriot,0-5-3,0-5-3,,,
App State,Sun Belt,4-3,4-3,,,
Arizona,Big 12,5-3,5-3,,,
Arizona St.,Big 12,7-0-1,7-0-1,,,
Ark.-Pine Bluff,SWAC,1-5-1,0-4,0-1,1-0,0-0-1
Arkansas,SEC,3-4-2,3-4-2,,,
Arkansas St.,Sun Belt,2-1-2,2-1-2,,,
Army West Point,Patriot,9-3-1,9-3-1,,,
Auburn,SEC,4-3-1,4-3-1,,,
Austin Peay,ASUN,0-5-3,0-5-3,,,
Ball St.,MAC,3-3-2,3-3-2,,,
Baylor,Big 12,7-2-3,7-2-3,,,
Bellarmine,ASUN,7-1-2,6-1-2,,1-0,
Belmont,MVC,2-2-4,2-2-4,,,
Binghamton,America East,5-2-2,5-2-2,,,
Boise St.,Mountain West,2-3-6,2-3-6,,,
Boston College,ACC,4-1-3,4-1-3,,,
Boston U.,Patriot,4-4-2,4-4-2,,,
Bowling Green,MAC,6-2-2,6-2-2,,,
Brown,Ivy League,6-2-2,6-2-2,,,
Bryant,America East,3-3-4,3-3-4,,,
Bucknell,Patriot,2-5-2,2-5-2,,,
Buffalo,MAC,4-2-1,4-2-1,,,
Butler,Big East,3-1-3,3-1-3,,,
BYU,Big 12,7-2-4,7-2-4,,,
Cal Poly,Big West,4-1-7,4-1-7,,,
Cal St. Fullerton,Big West,8-1-1,8-1-1,,,
California,ACC,4-1-4,4-1-4,,,
California Baptist,WAC,4-6-3,4-6-3,,,
Campbell,CAA,2-3-2,2-3-2,,,
Canisius,MAAC,1-4-2,1-4-2,,,
Central Ark.,ASUN,3-4,3-4,,,
Central Conn. St.,NEC,1-5-1,1-5-1,,,
Central Mich.,MAC,0-6,0-6,,,
Charleston So.,Big South,3-4-3,2-4-3,1-0,,
Charlotte,American,4-4,4-4,,,
Chattanooga,SoCon,6-3-1,6-3-1,,,
Chicago St.,NEC,2-3-3,2-3-3,,,
Cincinnati,Big 12,2-2-4,2-2-4,,,
Clemson,ACC,4-2-3,4-2-3,,,
Cleveland St.,Horizon,3-3-1,3-3-1,,,
Coastal Carolina,Sun Belt,3-3,3-3,,,
Col. of Charleston,CAA,4-3-1,4-3-1,,,
Colgate,Patriot,3-4-3,3-4-3,,,
Colorado,Big 12,9-3-1,9-3-1,,,
Colorado Col.,Mountain West,3-3-2,3-3-2,,,
Colorado St.,Mountain West,6-2-1,6-2-1,,,
