date,team,opponent,home_away,outcome,team_score,opponent_score,overtime,goals,assists,sh_att,so_g,fouls,red_cards,yellow_cards,corners,pk,pk_att,gwg,defensive_goals,defensive_assists,defensive_sh_att,defensive_so_g,defensive_fouls,defensive_red_cards,defensive_yellow_cards,defensive_corners,defensive_pk,defensive_pk_att,defensive_gwg,team_id
2025-08-21,Air Force Falcons,UIC,Away,Loss,1,3,,1.0,1.0,3.0,2.0,5.0,,2.0,2.0,,,,3.0,5.0,25.0,12.0,4.0,,2.0,5.0,,,1.0,721
2025-08-24,Air Force Falcons,Northwestern,Away,Loss,1,2,,1.0,1.0,5.0,2.0,6.0,,,6.0,,,,2.0,3.0,22.0,7.0,10.0,,,8.0,,,1.0,721
2025-08-28,Air Force Falcons,SIUE,Home,Loss,1,2,,1.0,,10.0,7.0,10.0,,,3.0,,,,2.0,1.0,14.0,5.0,4.0,,2.0,9.0,,,1.0,721
2025-09-01,Air Force Falcons,UC Riverside,Away,Draw,2,2,,2.0,1.0,8.0,4.0,9.0,,1.0,2.0,,,,2.0,3.0,21.0,4.0,9.0,,2.0,5.0,,,,721
2025-09-05,Air Force Falcons,Cal Poly,Home,Loss,0,3,,,,13.0,5.0,4.0,,4.0,5.0,,,,3.0,3.0,7.0,3.0,11.0,,1.0,3.0,,,1.0,721
2025-09-11,Air Force Falcons,Mercer,Home,Win,2,1,,2.0,2.0,13.0,7.0,7.0,,1.0,5.0,,,1.0,1.0,2.0,8.0,4.0,6.0,,,5.0,,,,721
2025-09-14,Air Force Falcons,South Dakota Mines,Home,Draw,1,1,,1.0,1.0,13.0,7.0,5.0,,1.0,3.0,,,,1.0,1.0,12.0,6.0,6.0,1.0,3.0,5.0,,,,721
2025-09-20,Air Force Falcons,Penn,Away,Loss,0,2,,,,7.0,4.0,7.0,,2.0,4.0,,,,2.0,2.0,19.0,10.0,9.0,,1.0,4.0,,,1.0,721
2025-09-23,Air Force Falcons,Navy,Away,Loss,1,2,,1.0,1.0,15.0,5.0,9.0,,4.0,6.0,,,,2.0,1.0,6.0,3.0,13.0,,2.0,2.0,1.0,1.0,1.0,721
2025-10-04,Air Force Falcons,San Diego St.,Home,Loss,2,3,,2.0,,20.0,9.0,11.0,1.0,3.0,5.0,,,,3.0,3.0,10.0,5.0,10.0,,2.0,6.0,,,1.0,721
2025-10-09,Air Force Falcons,Utah Valley,Away,Loss,1,2,,1.0,1.0,5.0,3.0,10.0,,2.0,2.0,,,,2.0,2.0,29.0,8.0,10.0,,3.0,9.0,1.0,1.0,1.0,721
2025-10-12,Air Force Falcons,Utah Tech,Away,Loss,0,4,,,,16.0,4.0,17.0,,3.0,6.0,,,,4.0,2.0,18.0,12.0,18.0,,3.0,5.0,1.0,1.0,1.0,721
2025-10-18,Air Force Falcons,UNLV,Away,Loss,0,2,,,,12.0,2.0,10.0,,1.0,11.0,,,,2.0,3.0,7.0,4.0,11.0,,1.0,4.0,,,1.0,721
2025-10-23,Air Force Falcons,California Baptist,Home,Loss,0,3,,,,9.0,3.0,9.0,,1.0,1.0,,,,3.0,1.0,22.0,8.0,3.0,,1.0,10.0,1.0,1.0,1.0,721
2025-10-26,Air Force Falcons,Grand Canyon,Home,Draw,0,0,,,,5.0,,8.0,,2.0,1.0,,,,,,19.0,5.0,3.0,,2.0,6.0,,,,721
2025-11-02,Air Force Falcons,San Jose St.,Away,Loss,0,2,,,,2.0,1.0,9.0,,,4.0,,,,2.0,1.0,18.0,7.0,9.0,,1.0,9.0,,,1.0,721
2025-11-05,Air Force Falcons,Pacific,Away,Loss,0,4,,,,7.0,4.0,6.0,,,4.0,,,,4.0,6.0,14.0,10.0,11.0,,2.0,5.0,,,1.0,721
2025-08-21,Akron Zips,VCU,Away,Win,3,0,,3.0,4.0,20.0,4.0,12.0,,1.0,8.0,1.0,1.0,1.0,,,5.0,1.0,11.0,,2.0,6.0,,,,5
2025-08-24,Akron Zips,Northern Ky.,Home,Win,1,0,,1.0,2.0,14.0,4.0,11.0,,1.0,5.0,,,1.0,,,4.0,1.0,10.0,1.0,4.0,3.0,,,,5
2025-08-29,Akron Zips,West Virginia,Home,Draw,0,0,,,,9.0,3.0,12.0,,1.0,2.0,,,,,,6.0,1.0,7.0,,,2.0,,,,5
2025-09-01,Akron Zips,Cleveland St.,Home,Win,1,0,,1.0,2.0,15.0,4.0,6.0,,3.0,17.0,,,1.0,,,2.0,,9.0,,4.0,1.0,,,,5
2025-09-05,Akron Zips,Ohio St.,Away,Win,2,0,,2.0,3.0,15.0,5.0,11.0,,1.0,2.0,,,1.0,,,13.0,7.0,11.0,,3.0,8.0,,,,5
2025-09-09,Akron Zips,Western Mich.,Home,Win,4,0,,4.0,3.0,17.0,5.0,13.0,,,8.0,1.0,1.0,1.0,,,2.0,1.0,9.0,,1.0,1.0,,,,5
2025-09-13,Akron Zips,Vermont,Away,Loss,0,1,,,,13.0,3.0,13.0,,1.0,10.0,,,,1.0,2.0,5.0,2.0,13.0,,2.0,2.0,,,1.0,5
2025-09-19,Akron Zips,UConn,Home,Loss,1,3,,1.0,2.0,14.0,7.0,14.0,,3.0,7.0,,,,3.0,4.0,9.0,6.0,13.0,,2.0,6.0,,,1.0,5
2025-09-23,Akron Zips,Saint Louis,Home,Win,3,0,,3.0,4.0,12.0,4.0,11.0,,1.0,1.0,1.0,1.0,1.0,,,4.0,2.0,6.0,,1.0,3.0,,,,5
2025-09-27,Akron Zips,Butler,Away,Win,1,0,,1.0,2.0,18.0,8.0,16.0,,1.0,16.0,,,1.0,,,9.0,2.0,12.0,,2.0,3.0,,,,5
2025-10-03,Akron Zips,St. John's (NY),Home,Loss,1,2,,1.0,2.0,11.0,3.0,16.0,,2.0,6.0,,,,2.0,3.0,10.0,5.0,9.0,,1.0,4.0,,,1.0,5
