date,team,opponent,home_away,result,team_score,opponent_score,overtime,games,goals,assists,sh_att,so_g,fouls,red_cards,yellow_cards,gc,goal_app,ggs,goalie_min_plyd,ga,saves,shutouts,combined_sho,g_wins,g_loss,d_saves,corners,pk,pk_att,gwg,defensive_goals,defensive_assists,defensive_sh_att,defensive_so_g,defensive_fouls,defensive_red_cards,defensive_yellow_cards,defensive_gc,defensive_goal_app,defensive_ggs,defensive_goalie_min_plyd,defensive_ga,defensive_saves,defensive_shutouts,defensive_combined_sho,defensive_g_wins,defensive_g_loss,defensive_d_saves,defensive_corners,defensive_pk,defensive_pk_att,defensive_gwg
2022-08-18,A&M-Corpus Christi Islanders,Texas Southern,Away,W,3,1,NA,1,3,3,20,7,6,0,0,0,0,0,90:00,1,2,0,0,0,0,0,11,0,0,1,1,0,10,3,4,0,0,0,0,0,90:00,3,4,0,0,0,0,0,1,1,1,0
2022-08-21,A&M-Corpus Christi Islanders,UTRGV,Away,W,4,3,NA,1,4,4,12,7,7,0,1,0,0,0,90:00,3,3,0,0,0,0,0,6,0,0,1,3,1,14,5,8,0,0,0,0,0,90:00,4,3,0,0,0,0,0,4,0,0,0
2022-08-25,A&M-Corpus Christi Islanders,Texas St.,Home,L,1,2,NA,1,1,1,6,2,6,0,0,0,0,0,90:00,2,7,0,0,0,0,0,4,0,0,0,2,1,18,9,10,0,0,0,0,0,90:00,1,1,0,0,0,0,0,4,0,0,1
2022-08-28,A&M-Corpus Christi Islanders,Prairie View,Home,W,8,1,NA,1,8,9,23,9,7,0,0,0,0,0,90:00,1,1,0,0,0,0,0,7,1,1,1,1,0,7,2,9,0,1,0,0,0,90:00,8,1,0,0,0,0,0,1,0,0,0
2022-09-04,A&M-Corpus Christi Islanders,UTRGV,Home,L,0,1,NA,1,0,0,12,1,11,0,3,0,0,0,90:00,1,2,0,0,0,0,0,2,0,0,0,1,0,15,3,15,0,1,0,0,0,90:00,0,1,1,0,0,0,0,2,0,0,1
2022-08-18,Abilene Christian Wildcats,North Texas,Away,L,1,5,NA,1,1,1,3,2,4,0,0,0,0,0,90:00,5,12,0,0,0,0,0,4,0,0,0,5,4,33,17,8,0,1,0,0,0,90:00,1,1,0,0,0,0,0,4,0,0,1
2022-08-21,Abilene Christian Wildcats,UTEP,Home,W,4,0,NA,1,4,1,14,8,7,0,0,0,0,0,90:00,0,2,1,0,0,0,0,3,1,1,1,0,0,8,2,3,0,1,0,0,0,90:00,4,4,0,0,0,0,0,5,0,0,0
2022-08-26,Abilene Christian Wildcats,Louisiana Tech,Away,L,0,1,NA,1,0,0,9,4,10,0,0,0,0,0,90:00,1,5,0,0,0,0,0,2,0,0,0,1,2,10,6,9,0,4,0,0,0,90:00,0,4,1,0,0,0,0,1,0,0,1
2022-08-28,Abilene Christian Wildcats,Grambling,Away,W,3,0,NA,1,3,2,14,5,8,0,0,0,0,0,90:00,0,5,1,0,0,0,0,7,0,0,1,0,0,8,5,10,0,1,0,0,0,90:00,3,2,0,0,0,0,0,1,0,0,0
2022-09-04,Abilene Christian Wildcats,Louisiana,Home,T,1,1,NA,1,1,1,8,2,9,0,0,0,0,0,77:43,1,3,0,0,0,0,0,0,0,0,0,1,2,13,4,5,0,0,0,0,0,77:43,1,1,0,0,0,0,0,3,0,0,0
2022-08-18,Air Force Falcons,Seattle U,Away,T,0,0,NA,1,0,0,7,2,7,0,0,0,0,0,90:00,0,0,1,0,0,0,0,1,0,0,0,0,0,7,0,10,0,0,0,0,0,90:00,0,2,1,0,0,0,0,5,0,0,0
2022-08-21,Air Force Falcons,Washington,Away,L,0,5,NA,1,0,0,3,1,7,0,2,0,0,0,90:00,5,6,0,0,0,0,0,1,0,0,0,5,6,19,11,9,0,1,0,0,0,90:00,0,1,1,1,0,0,0,7,0,0,1
2022-08-26,Air Force Falcons,Army West Point,Home,W,2,1,NA,1,2,1,17,8,13,0,2,0,0,0,90:00,1,1,0,0,0,0,0,8,0,0,1,1,0,6,1,10,0,2,0,0,0,90:00,2,6,0,0,0,0,0,4,0,0,0
2022-08-28,Air Force Falcons,Bucknell,Home,L,0,1,NA,1,0,0,9,4,11,0,3,0,0,0,90:00,1,5,0,0,0,0,0,1,0,0,0,1,0,12,6,17,0,3,0,0,0,90:00,0,4,1,0,0,0,0,4,0,0,1
2022-08-18,Akron Zips,Youngstown St.,Home,W,1,0,NA,1,1,0,7,5,9,0,1,0,0,0,90:00,0,1,1,0,0,0,0,3,0,0,1,0,0,13,1,8,0,1,0,0,0,90:00,1,4,0,0,0,0,0,3,0,0,0
2022-08-21,Akron Zips,Marshall,Away,T,2,2,NA,1,2,1,11,4,10,0,1,0,0,0,90:00,2,5,0,0,0,0,0,7,0,0,0,2,1,16,7,13,0,3,0,0,0,90:00,2,2,0,0,0,0,0,5,1,1,0
2022-08-25,Akron Zips,Oakland,Away,T,1,1,NA,1,1,0,9,4,7,0,0,0,0,0,90:00,1,6,0,0,0,0,0,1,0,0,0,1,1,21,7,5,0,1,0,0,0,90:00,1,3,0,0,0,0,0,6,0,0,0
2022-08-18,Alabama Crimson Tide,Fla. Atlantic,Away,W,4,0,NA,1,4,4,13,9,8,0,0,0,0,0,90:00,0,2,1,0,0,0,0,9,0,0,1,0,0,5,2,8,0,1,0,0,0,90:00,4,5,0,0,0,0,0,2,0,0,0
2022-08-21,Alabama Crimson Tide,Miami (FL),Away,L,0,1,NA,1,0,0,22,3,15,0,2,0,0,0,90:00,1,1,0,0,0,0,0,7,0,0,0,1,2,3,2,11,0,1,0,0,0,90:00,0,3,1,0,0,0,0,1,0,0,1
2022-08-25,Alabama Crimson Tide,Southern Miss.,Home,W,2,0,NA,1,2,3,32,12,10,0,0,0,0,0,90:00,0,2,1,0,0,0,0,8,0,0,1,0,0,5,2,10,0,0,0,0,0,90:00,2,10,0,0,0,0,0,4,0,0,0
2022-08-28,Alabama Crimson Tide,Clemson,Home,W,3,0,NA,1,3,4,20,7,8,0,0,0,0,0,90:00,0,3,1,0,0,0,0,2,0,0,1,0,0,10,3,12,0,3,0,0,0,90:00,3,4,0,0,0,0,0,4,0,0,0
2022-09-01,Alabama Crimson Tide,BYU,Away,W,3,2,NA,1,3,2,11,5,12,0,3,0,0,0,90:00,2,7,0,0,0,0,0,5,1,1,1,2,2,21,9,17,0,2,0,0,0,90:00,3,2,0,0,0,0,0,3,0,1,0
2022-09-04,Alabama Crimson Tide,Utah,Away,T,1,1,NA,1,1,1,16,6,13,0,4,0,0,0,90:00,1,1,0,0,0,0,0,10,0,0,0,1,1,5,2,12,0,2,0,0,0,90:00,1,5,0,0,0,0,0,1,0,0,0
2022-08-18,Alabama A&M Bulldogs,Col. of Charleston,Away,L,0,3,NA,1,0,0,7,1,8,0,3,0,0,0,90:00,3,3,0,0,0,0,0,3,0,0,0,3,3,21,6,8,0,0,0,0,0,90:00,0,1,1,1,0,0,0,5,0,0,1
2022-08-22,Alabama A&M Bulldogs,Troy,Home,W,1,0,NA,1,1,0,16,7,12,0,0,0,0,0,90:00,0,8,1,0,0,0,0,2,0,0,1,0,0,18,8,10,1,0,0,0,0,90:00,1,6,0,0,0,0,0,3,0,0,0
2022-08-26,Alabama A&M Bulldogs,Jacksonville St.,Home,W,1,0,NA,1,1,1,10,3,12,0,4,0,0,0,90:00,0,6,1,0,0,0,0,6,0,0,1,0,0,12,6,10,0,1,0,0,0,90:00,1,2,0,0,0,0,0,4,0,0,0
2022-08-28,Alabama A&M Bulldogs,Jacksonville,Home,L,0,1,NA,1,0,0,7,3,8,0,0,0,0,0,90:00,1,7,0,0,0,0,0,6,0,0,0,1,0,15,8,10,0,0,0,0,0,90:00,0,3,1,1,0,0,0,2,0,0,1
2022-09-01,Alabama A&M Bulldogs,Southern Ill.,Away,L,0,2,NA,1,0,0,8,5,3,0,2,0,0,0,90:00,2,4,0,0,0,0,0,3,0,1,0,2,1,9,6,1,2,1,0,0,0,90:00,0,5,1,0,0,0,0,4,0,0,1
2022-08-19,Alabama St. Lady Hornets,Winthrop,Home,L,0,2,NA,1,0,0,10,5,4,0,0,0,0,0,90:00,2,4,0,0,0,0,0,3,0,0,0,2,2,9,6,5,0,0,0,0,0,90:00,0,5,1,0,0,0,0,2,0,0,1
2022-08-21,Alabama St. Lady Hornets,Gardner-Webb,Away,L,1,2,NA,1,1,1,4,1,12,0,3,0,0,0,90:00,2,6,0,0,0,0,0,1,0,0,0,2,1,18,8,16,0,0,0,0,0,90:00,1,0,0,0,0,0,0,7,1,1,1
2022-08-28,Alabama St. Lady Hornets,Presbyterian,Home,T,0,0,NA,1,0,0,10,5,5,0,0,0,0,0,90:00,0,8,1,0,0,0,0,0,0,0,0,0,0,23,8,1,0,0,0,0,0,90:00,0,5,1,0,0,0,0,7,0,0,0
2022-09-02,Alabama St. Lady Hornets,Lipscomb,Away,L,0,8,NA,1,0,0,5,2,7,0,0,0,0,0,90:00,8,9,0,0,0,0,0,0,0,0,0,8,7,23,17,10,0,0,0,0,0,90:00,0,2,1,0,0,0,0,6,0,0,1
2022-09-04,Alabama St. Lady Hornets,Stetson,Home,L,0,2,NA,1,0,0,9,2,7,0,1,0,0,0,90:00,2,9,0,0,0,0,0,2,0,0,0,2,0,21,11,9,0,1,0,0,0,90:00,0,2,1,0,0,0,0,6,0,0,1
2022-08-18,Alcorn Lady Braves,Southern Utah,Home,L,0,7,NA,1,0,0,9,5,11,0,1,0,0,0,90:00,7,8,0,0,0,0,0,1,0,0,0,7,5,31,15,7,0,0,0,0,0,90:00,0,5,1,1,0,0,0,7,1,1,1
2022-08-21,Alcorn Lady Braves,Grambling,Home,L,1,2,NA,1,1,1,9,6,14,0,1,0,0,0,90:00,2,9,0,0,0,0,0,2,0,0,0,2,2,23,11,9,0,2,0,0,0,90:00,1,5,0,0,0,0,0,7,0,1,1
2022-08-30,Alcorn Lady Braves,ULM,Home,T,2,2,NA,1,2,2,6,5,9,0,5,0,0,0,90:00,2,8,0,0,0,0,0,0,0,0,0,2,2,21,10,4,0,0,0,0,0,90:00,2,3,0,0,0,0,0,6,0,0,0
2022-09-02,Alcorn Lady Braves,Tarleton St.,Home,L,0,3,NA,1,0,0,2,1,11,0,0,0,0,0,90:00,3,5,0,0,0,0,0,1,0,0,0,3,2,17,8,8,0,0,0,0,0,90:00,0,1,1,0,0,0,0,4,0,0,1
2022-09-04,Alcorn Lady Braves,East Tex. Baptist,Away,W,2,1,NA,1,2,2,15,12,4,0,0,0,0,0,90:00,1,3,0,0,0,0,0,5,0,0,1,1,1,11,4,5,0,0,0,0,0,90:00,2,10,0,0,0,0,0,6,0,0,0
2022-08-18,American Eagles,Elon,Away,L,0,3,NA,1,0,0,9,2,17,0,4,0,0,0,90:00,3,3,0,0,0,0,0,5,0,0,0,3,2,9,6,10,0,0,0,0,0,90:00,0,2,1,0,0,0,0,3,1,1,1
2022-08-21,American Eagles,High Point,Away,T,1,1,NA,1,1,1,14,5,7,0,0,0,0,0,90:00,1,4,0,0,0,0,0,7,0,0,0,1,1,14,5,7,0,0,0,0,0,90:00,1,4,0,0,0,0,0,8,0,0,0
2022-08-25,American Eagles,South Fla.,Away,W,1,0,NA,1,1,1,4,3,6,0,0,0,0,0,84:02,0,5,1,0,0,0,0,1,0,0,1,0,0,10,5,5,0,2,0,0,0,84:02,1,2,0,0,0,0,0,2,0,0,0
2022-08-31,American Eagles,George Washington,Home,T,0,0,NA,1,0,0,3,2,6,0,2,0,0,0,90:00,0,3,1,0,0,0,0,0,0,0,0,0,0,4,3,5,0,3,0,0,0,90:00,0,2,1,0,0,0,0,3,0,0,0
2022-09-04,American Eagles,William & Mary,Away,T,0,0,NA,1,0,0,6,2,4,0,1,0,0,0,90:00,0,4,1,0,0,0,0,3,0,0,0,0,0,11,4,5,0,0,0,0,0,90:00,0,2,1,0,0,0,0,5,0,0,0
2022-08-18,App State Mountaineers,Liberty,Home,T,0,0,NA,1,0,0,4,2,14,0,1,0,0,0,90:00,0,3,1,0,0,0,0,1,0,0,0,0,0,18,3,13,0,0,0,0,0,90:00,0,2,1,0,0,0,0,5,0,0,0
