date,team,opponent,home_away,result,team_score,opponent_score,overtime,games,goals,assists,sh_att,so_g,fouls,red_cards,yellow_cards,gc,goal_app,ggs,goalie_min_plyd,ga,saves,shutouts,combined_sho,g_wins,g_loss,d_saves,corners,pk,pk_att,gwg,defensive_goals,defensive_assists,defensive_sh_att,defensive_so_g,defensive_fouls,defensive_red_cards,defensive_yellow_cards,defensive_gc,defensive_goal_app,defensive_ggs,defensive_goalie_min_plyd,defensive_ga,defensive_saves,defensive_shutouts,defensive_combined_sho,defensive_g_wins,defensive_g_loss,defensive_d_saves,defensive_corners,defensive_pk,defensive_pk_att,defensive_gwg
2022-08-21,App State Mountaineers,USC Upstate,Away,T,0,0,NA,1,0,0,12,6,10,0,3,0,0,0,90:00,0,3,1,0,0,0,0,6,0,0,0,0,0,9,3,14,0,1,0,0,0,90:00,0,6,1,0,0,0,0,1,0,0,0
2022-08-25,App State Mountaineers,UT Martin,Home,W,2,1,NA,1,2,1,15,9,8,0,2,0,0,0,90:00,1,3,0,0,0,0,0,3,0,0,1,1,1,9,4,13,0,0,0,0,0,90:00,2,7,0,0,0,0,0,3,0,0,0
2022-08-28,App State Mountaineers,George Mason,Away,T,0,0,NA,1,0,0,9,3,18,0,1,0,0,0,90:00,0,4,1,0,0,0,0,6,0,0,0,0,0,7,4,12,0,1,0,0,0,90:00,0,3,1,0,0,0,0,8,0,0,0
2022-09-04,App State Mountaineers,Clemson,Away,L,0,3,NA,1,0,0,2,0,9,0,0,0,0,0,90:00,3,13,0,0,0,0,0,1,0,0,0,3,1,32,16,8,0,1,0,0,0,90:00,0,0,1,1,0,0,0,12,0,1,1
2022-08-18,Arizona Wildcats,Iowa St.,Home,W,2,1,NA,1,2,1,19,8,12,0,2,0,0,0,90:00,1,2,0,0,0,0,0,15,0,0,1,1,1,6,3,8,1,1,0,0,0,90:00,2,7,0,0,0,0,0,3,0,0,0
2022-08-21,Arizona Wildcats,Texas Tech,Away,W,1,0,NA,1,1,1,6,3,11,0,1,0,0,0,90:00,0,6,1,0,0,0,0,4,0,0,1,0,0,17,6,8,0,1,0,0,0,90:00,1,2,0,0,0,0,0,7,0,0,0
2022-08-25,Arizona Wildcats,Nebraska,Away,T,1,1,NA,1,1,1,8,5,14,0,3,0,0,0,90:00,1,4,0,0,0,0,0,1,0,0,0,1,0,10,4,16,0,0,0,0,0,90:00,1,4,0,0,0,0,0,6,0,0,0
2022-09-01,Arizona Wildcats,Grand Canyon,Away,L,0,1,NA,1,0,0,6,1,12,0,0,0,0,0,90:00,1,0,0,0,0,0,0,4,0,0,0,1,1,10,1,4,0,0,0,0,0,90:00,0,1,1,0,0,0,0,4,0,0,1
2022-09-04,Arizona Wildcats,UAB,Home,T,2,2,NA,1,2,1,16,8,6,0,1,0,0,0,90:00,2,6,0,0,0,0,0,5,1,1,0,2,2,9,8,10,0,1,0,0,0,90:00,2,6,0,0,0,0,0,0,0,0,0
2022-08-18,Arizona St. Sun Devils,South Dakota St.,Home,T,1,1,NA,1,1,2,16,7,16,0,1,0,0,0,90:00,1,9,0,0,0,0,0,5,0,0,0,1,1,16,10,6,0,1,0,0,0,90:00,1,6,0,0,0,0,0,8,0,0,0
2022-08-25,Arizona St. Sun Devils,Boise St.,Away,W,2,1,NA,1,2,2,10,5,2,0,1,0,0,0,90:00,1,5,0,0,0,0,0,4,0,0,1,1,1,9,6,9,0,1,0,0,0,90:00,2,3,0,0,0,0,0,7,0,0,0
2022-08-28,Arizona St. Sun Devils,Denver,Away,T,1,1,NA,1,1,1,8,2,9,0,2,0,0,0,90:00,1,1,0,0,0,0,0,4,0,0,0,1,2,5,2,9,0,1,0,0,0,90:00,1,1,0,0,0,0,0,4,0,0,0
2022-09-01,Arizona St. Sun Devils,UAB,Home,W,6,2,NA,1,6,8,19,11,10,0,2,0,0,0,90:00,2,5,0,0,0,0,0,4,0,0,1,2,1,9,7,11,0,0,0,0,0,45:00,6,5,0,0,0,0,0,2,0,0,0
2022-08-18,Ark.-Pine Bluff Lady Lions,Arkansas St.,Away,W,1,0,NA,1,1,1,3,2,8,0,1,0,0,0,90:00,0,9,1,0,0,0,0,1,0,0,1,0,0,27,9,5,0,0,0,0,0,90:00,1,1,0,0,0,0,0,10,0,0,0
2022-08-22,Ark.-Pine Bluff Lady Lions,Central Baptist,Home,W,3,0,NA,1,3,2,42,12,2,0,0,0,0,0,90:00,0,2,1,1,0,0,0,17,0,0,1,0,0,4,2,0,0,1,0,0,0,90:00,3,9,0,0,0,0,0,1,0,0,0
2022-08-25,Ark.-Pine Bluff Lady Lions,Tarleton St.,Away,L,0,6,NA,1,0,0,6,3,4,0,1,0,0,0,90:00,6,4,0,0,0,0,0,1,0,0,0,6,5,21,10,8,0,1,0,0,0,90:00,0,3,1,1,0,0,0,7,0,0,1
2022-08-28,Ark.-Pine Bluff Lady Lions,Little Rock,Away,L,0,4,NA,1,0,0,8,3,16,0,1,0,0,0,90:00,4,9,0,0,0,0,0,6,0,0,0,4,4,24,13,11,0,0,0,0,0,90:00,0,3,1,0,0,0,0,10,0,0,1
2022-08-31,Ark.-Pine Bluff Lady Lions,Lyon,Home,W,3,0,NA,1,3,3,41,23,2,0,1,0,0,0,90:00,0,0,1,1,0,0,0,7,0,0,1,0,0,0,0,1,0,1,0,0,0,90:00,3,20,0,0,0,0,0,0,0,0,0
2022-09-04,Ark.-Pine Bluff Lady Lions,North Ala.,Away,L,0,5,NA,1,0,0,2,2,7,0,0,0,0,0,90:00,5,7,0,0,0,0,0,3,0,0,0,5,3,26,12,8,0,0,0,0,0,90:00,0,2,1,0,0,0,0,10,1,1,1
2022-08-18,Arkansas Razorbacks,Saint Louis,Away,L,0,1,NA,1,0,0,10,2,9,0,0,0,0,0,90:00,1,2,0,0,0,0,0,4,0,0,0,1,1,12,3,11,0,1,0,0,0,90:00,0,2,1,0,0,0,0,5,0,0,1
2022-08-25,Arkansas Razorbacks,Oklahoma,Away,W,6,1,NA,1,6,5,20,14,8,0,3,0,0,0,90:00,1,7,0,0,0,0,0,9,0,0,1,1,2,14,8,6,0,5,0,0,0,90:00,6,9,0,0,0,0,0,7,0,0,0
2022-08-28,Arkansas Razorbacks,Arkansas St.,Home,W,4,1,NA,1,4,1,29,15,13,0,2,0,0,0,90:00,1,4,0,0,0,0,0,16,1,1,1,1,1,6,5,9,0,2,0,0,0,90:00,4,12,0,0,0,0,0,0,0,0,0
2022-09-01,Arkansas Razorbacks,Western Mich.,Home,W,3,0,NA,1,3,4,22,12,8,0,0,0,0,0,71:18,0,2,1,0,0,0,0,10,0,0,1,0,0,4,2,5,0,0,0,0,0,71:18,3,9,0,0,0,0,0,0,0,0,0
2022-09-04,Arkansas Razorbacks,Michigan St.,Home,W,1,0,NA,1,1,1,19,9,16,0,3,0,0,0,90:00,0,3,1,0,0,0,0,6,0,0,1,0,0,12,3,9,0,3,0,0,0,90:00,1,8,0,0,0,0,0,6,0,0,0
2022-08-18,Arkansas St. Red Wolves,Ark.-Pine Bluff,Home,L,0,1,NA,1,0,0,27,9,5,0,0,0,0,0,90:00,1,1,0,0,0,0,0,10,0,0,0,1,1,3,2,8,0,1,0,0,0,90:00,0,9,1,0,0,0,0,1,0,0,1
2022-08-21,Arkansas St. Red Wolves,Central Ark.,Home,W,3,0,NA,1,3,4,12,9,12,0,3,0,0,0,90:00,0,2,1,1,0,0,0,3,0,0,1,0,0,11,2,6,0,0,0,0,0,90:00,3,6,0,0,0,0,0,3,0,0,0
2022-08-25,Arkansas St. Red Wolves,Northwestern St.,Home,T,1,1,NA,1,1,2,12,5,6,0,1,0,0,0,90:00,1,7,0,0,0,0,0,6,0,0,0,1,1,18,8,9,0,1,0,0,0,90:00,1,4,0,0,0,0,0,5,0,0,0
2022-08-28,Arkansas St. Red Wolves,Arkansas,Away,L,1,4,NA,1,1,1,6,5,9,0,2,0,0,0,90:00,4,12,0,0,0,0,0,0,0,0,0,4,1,29,15,13,0,2,0,0,0,90:00,1,4,0,0,0,0,0,16,1,1,1
2022-09-04,Arkansas St. Red Wolves,Little Rock,Home,T,0,0,NA,1,0,0,18,5,9,0,0,0,0,0,90:00,0,2,1,1,0,0,0,10,0,0,0,0,0,5,2,7,0,0,0,0,0,90:00,0,5,1,0,0,0,0,3,0,0,0
2022-08-18,Army West Point Black Knights,UConn,Home,T,1,1,NA,1,1,0,8,3,12,0,0,0,0,0,90:00,1,3,0,0,0,0,0,1,1,1,0,1,0,12,4,11,0,1,0,0,0,90:00,1,2,0,0,0,0,0,5,0,0,0
2022-08-21,Army West Point Black Knights,Fairleigh Dickinson,Home,W,2,0,NA,1,2,2,27,8,3,0,0,0,0,0,90:00,0,1,1,0,0,0,0,13,0,0,1,0,0,3,1,8,0,0,0,0,0,90:00,2,6,0,0,0,0,0,4,0,0,0
2022-08-26,Army West Point Black Knights,Air Force,Away,L,1,2,NA,1,1,0,6,1,10,0,2,0,0,0,90:00,2,6,0,0,0,0,0,4,0,0,0,2,1,17,8,13,0,2,0,0,0,90:00,1,1,0,0,0,0,0,8,0,0,1
2022-08-28,Army West Point Black Knights,Colorado Col.,Away,L,1,3,NA,1,1,0,11,5,7,0,0,0,0,0,90:00,3,8,0,0,0,0,0,6,0,0,0,3,3,16,11,14,0,0,0,0,0,90:00,1,4,0,0,0,0,0,8,0,0,1
2022-09-01,Army West Point Black Knights,Samford,Away,T,1,1,NA,1,1,1,7,3,13,0,0,0,0,0,90:00,1,8,0,0,0,0,0,5,0,1,0,1,1,25,9,11,0,0,0,0,0,90:00,1,2,0,0,0,0,0,7,0,0,0
2022-09-04,Army West Point Black Knights,Auburn,Away,L,0,1,NA,1,0,0,6,2,8,0,0,0,0,0,90:00,1,1,0,0,0,0,0,2,0,0,0,1,1,17,2,4,0,0,0,0,0,90:00,0,2,1,0,0,0,0,7,0,0,1
2022-08-18,Auburn Tigers,Old Dominion,Home,W,1,0,NA,1,1,1,13,4,10,0,0,0,0,0,90:00,0,1,1,0,0,0,0,4,0,0,1,0,0,4,1,14,0,1,0,0,0,90:00,1,3,0,0,0,0,0,2,0,0,0
2022-08-21,Auburn Tigers,Southern Miss.,Home,W,9,0,NA,1,9,11,28,13,5,0,0,0,0,0,90:00,0,2,1,0,0,0,0,9,1,1,1,0,0,4,2,10,0,0,0,0,0,90:00,9,4,0,0,0,0,0,3,0,0,0
2022-08-25,Auburn Tigers,Florida St.,Away,T,1,1,NA,1,1,1,6,3,10,0,0,0,0,0,90:00,1,9,0,0,0,0,0,2,0,0,0,1,0,17,10,6,0,1,0,0,0,90:00,1,2,0,0,0,0,0,3,1,1,0
2022-08-28,Auburn Tigers,Wake Forest,Away,T,0,0,NA,1,0,0,6,4,9,0,2,0,0,0,90:00,0,5,1,0,0,0,0,3,0,1,0,0,0,12,5,16,0,2,0,0,0,90:00,0,4,1,0,0,0,0,6,0,0,0
2022-09-01,Auburn Tigers,West Virginia,Home,T,0,0,NA,1,0,0,13,7,4,0,0,0,0,0,90:00,0,0,1,0,0,0,0,3,0,0,0,0,0,4,0,9,0,1,0,0,0,90:00,0,7,1,0,0,0,0,2,0,0,0
2022-09-04,Auburn Tigers,Army West Point,Home,W,1,0,NA,1,1,1,17,2,4,0,0,0,0,0,90:00,0,2,1,0,0,0,0,7,0,0,1,0,0,6,2,8,0,0,0,0,0,90:00,1,1,0,0,0,0,0,2,0,0,0
2022-08-18,Austin Peay Governors,Miami (OH),Away,T,0,0,NA,1,0,0,9,5,14,0,1,0,0,0,90:00,0,2,1,0,0,0,0,2,0,0,0,0,0,9,2,16,0,0,0,0,0,90:00,0,5,1,0,0,0,0,3,0,0,0
2022-08-21,Austin Peay Governors,Evansville,Away,T,1,1,NA,1,1,1,12,3,8,0,0,0,0,0,90:00,1,4,0,0,0,0,0,3,0,0,0,1,1,8,5,6,0,0,0,0,0,90:00,1,2,0,0,0,0,0,6,0,0,0
2022-08-26,Austin Peay Governors,Idaho St.,Home,T,0,0,NA,1,0,0,11,4,7,0,1,0,0,0,90:00,0,3,1,0,0,0,0,2,0,0,0,0,0,10,3,11,0,1,0,0,0,90:00,0,4,1,0,0,0,0,0,0,1,0
2022-08-28,Austin Peay Governors,Chattanooga,Home,L,0,3,NA,1,0,0,5,1,12,0,0,0,0,0,90:00,3,6,0,0,0,0,0,3,0,0,0,3,3,13,9,12,0,0,0,0,0,90:00,0,1,1,0,0,0,0,3,0,0,1
2022-08-31,Austin Peay Governors,UT Martin,Away,W,2,0,NA,1,2,3,13,7,9,0,0,0,0,0,90:00,0,7,1,0,0,0,0,0,0,0,1,0,0,19,7,13,0,1,0,0,0,90:00,2,5,0,0,0,0,0,7,0,0,0
2022-09-04,Austin Peay Governors,Middle Tenn.,Away,L,1,3,NA,1,1,1,19,3,7,0,0,0,0,0,90:00,3,2,0,0,0,0,0,5,0,0,0,3,3,10,5,14,0,1,0,0,0,90:00,1,2,0,0,0,0,0,2,0,1,1
2022-08-18,BYU Cougars,Cal St. Fullerton,Away,W,1,0,NA,1,1,1,27,10,5,0,0,0,0,0,90:00,0,1,1,0,0,0,0,10,0,0,1,0,0,5,1,8,0,1,0,0,0,90:00,1,9,0,0,0,0,0,3,0,0,0
2022-08-26,BYU Cougars,Ohio St.,Away,W,2,0,NA,1,2,2,42,13,9,0,0,0,0,0,90:00,0,4,1,0,0,0,0,7,0,0,1,0,0,6,4,6,0,0,0,0,0,90:00,2,11,0,0,0,0,0,1,0,0,0
2022-08-29,BYU Cougars,Colorado,Home,T,2,2,NA,1,2,1,31,8,9,0,1,0,0,0,90:00,2,1,0,0,0,0,0,7,0,0,0,2,1,6,3,7,0,0,0,0,0,90:00,2,6,0,0,0,0,0,4,0,0,0
2022-09-01,BYU Cougars,Alabama,Home,L,2,3,NA,1,2,2,21,9,17,0,2,0,0,0,90:00,3,2,0,0,0,0,0,3,0,1,0,3,2,11,5,12,0,3,0,0,0,90:00,2,7,0,0,0,0,0,5,1,1,1
2022-09-03,BYU Cougars,CSUN,Home,W,5,0,NA,1,5,6,36,8,13,0,1,0,0,0,90:00,0,1,1,0,0,0,0,13,1,1,1,0,0,1,1,12,0,1,0,0,0,90:00,5,3,0,0,0,0,0,0,0,0,0
2022-08-18,Ball St. Cardinals,Kentucky,Away,L,0,3,NA,1,0,0,2,0,5,0,1,0,0,0,90:00,3,9,0,0,0,0,0,3,0,0,0,3,3,23,12,10,0,2,0,0,0,90:00,0,0,1,0,0,0,0,6,0,0,1
2022-08-21,Ball St. Cardinals,Queens (NC),Away,T,0,0,NA,1,0,0,17,11,4,0,0,0,0,0,90:00,0,2,1,1,0,0,0,8,0,0,0,0,0,5,2,5,0,0,0,0,0,90:00,0,11,1,0,0,0,0,1,0,0,0
2022-08-25,Ball St. Cardinals,Indiana,Away,T,0,0,NA,1,0,0,6,1,7,0,0,0,0,0,90:00,0,2,1,0,0,0,0,5,0,0,0,0,0,12,2,9,0,0,0,0,0,90:00,0,1,1,0,0,0,0,11,0,0,0
2022-08-28,Ball St. Cardinals,Xavier,Home,L,2,4,NA,1,2,0,11,3,10,0,0,0,0,0,90:00,4,3,0,0,0,0,0,3,1,1,0,4,2,10,7,8,0,2,0,0,0,90:00,2,1,0,0,0,0,0,3,1,1,1
2022-09-01,Ball St. Cardinals,Purdue Fort Wayne,Away,L,0,1,NA,1,0,0,15,5,8,0,3,0,0,0,90:00,1,3,0,0,0,0,0,4,0,0,0,1,1,12,4,5,0,0,0,0,0,90:00,0,5,1,0,0,0,0,6,0,0,1
