rank,team,conference,overall_wlt,overall_pct,overall_strk,conference_wlt,conference_pct,conference_strk,home_wlt,home_pct,home_strk,road_wlt,road_pct,road_strk,neutral_wlt,neutral_pct,neutral_strk,non_division_wlt,non_division_pct,non_division_strk
1,Memphis,American,17-1-3,0.881,L1,9-0-1,0.950,T1,10-0-2,0.917,W5,6-1,0.857,L1,1-0-1,0.750,T1,0-0,0.000,W2
2,Stanford,ACC,21-2-2,0.880,L1,9-0-1,0.950,L1,14-0,1.000,W16,5-1-1,0.786,W4,2-1-1,0.625,L1,0-0,0.000,
3,Fairfield,MAAC,15-2-2,0.842,L1,10-0-2,0.917,L1,8-1-1,0.850,L1,7-1-1,0.833,W4,0-0,0.000,T1,0-0,0.000,T1
4,Notre Dame,ACC,15-2-3,0.825,L1,8-1-1,0.850,T1,10-1,0.909,L1,4-1-2,0.714,L1,1-0-1,0.750,T1,0-0,0.000,W2
5,Florida St.,ACC,16-2-4,0.818,W6,6-2-2,0.700,W1,8-1-2,0.818,W2,5-1-2,0.750,W2,3-0,1.000,W4,0-0,0.000,W1
6,TCU,Big 12,18-3-3,0.813,L1,9-1-1,0.864,T1,10-2-2,0.786,T1,8-0-1,0.944,W3,0-1,0.000,L3,0-0,0.000,W3
7,Vanderbilt,SEC,18-4-2,0.792,L1,7-2-1,0.750,W1,11-1-1,0.885,L1,5-3,0.625,W3,2-0-1,0.833,T1,0-0,0.000,W2
8,Texas Tech,Big 12,14-2-5,0.786,T1,7-1-3,0.773,T2,7-0-3,0.850,W1,7-2,0.778,L1,0-0-2,0.500,T2,0-0,0.000,W4
9,Western Mich.,MAC,16-4-1,0.786,L1,10-1-1,0.875,W7,10-0,1.000,W19,5-4-1,0.550,L1,1-0,1.000,W1,0-0,0.000,
10,Saint Mary's (CA),WCC,12-2-4,0.778,T1,7-1-3,0.773,T1,6-0-3,0.833,T1,6-2-1,0.722,W3,0-0,0.000,W1,0-0,0.000,
11,Cal St. Fullerton,Big West,14-3-3,0.775,L1,6-2-2,0.700,L1,8-0-3,0.864,W2,6-2,0.750,W2,0-1,0.000,L2,0-0,0.000,
12,Xavier,Big East,16-4-2,0.773,L1,8-1-1,0.850,W2,9-1,0.900,W1,5-2-2,0.667,W3,2-1,0.667,L1,0-0,0.000,W1
13,Colorado,Big 12,17-4-3,0.771,L1,8-1-2,0.818,L1,11-0-2,0.923,W6,4-3-1,0.563,L1,2-1,0.667,W1,0-0,0.000,W1
14,West Virginia,Big 12,14-3-4,0.762,T1,8-0-3,0.864,L1,10-1,0.909,W10,4-1-4,0.667,T1,0-1,0.000,L2,0-0,0.000,
15,Duke,ACC,17-5-1,0.761,L1,7-3,0.700,L2,13-1-1,0.900,W9,4-2,0.667,W2,0-2,0.000,L4,0-0,0.000,W2
16,Georgetown,Big East,16-4-3,0.761,L1,10-0,1.000,L1,8-2-2,0.750,L1,7-1-1,0.833,W6,1-1,0.500,L1,0-0,0.000,T1
17,Virginia,ACC,14-3-5,0.750,T1,6-2-2,0.700,L1,10-1-2,0.846,T1,4-1-3,0.688,T2,0-1,0.000,L1,0-0,0.000,
18,Dayton,Atlantic 10,15-4-3,0.750,L1,10-0,1.000,T1,8-2-2,0.750,T1,7-2-1,0.750,L1,0-0,0.000,W4,0-0,0.000,
19,ULM,Sun Belt,13-3-4,0.750,L1,6-0-4,0.800,L1,7-0-2,0.889,W2,4-2-2,0.625,W1,2-1,0.667,L1,0-0,0.000,L1
20,Saint Louis,Atlantic 10,14-4-2,0.750,L1,8-1-1,0.850,L1,7-2-2,0.727,L1,7-2,0.778,W6,0-0,0.000,W4,0-0,0.000,W2
21,Washington,Big Ten,15-3-7,0.740,L1,8-1-2,0.818,T1,7-1-2,0.800,W5,5-2-4,0.636,L1,3-0-1,0.875,W1,0-0,0.000,W1
22,Samford,SoCon,13-3-5,0.738,L1,7-0-2,0.889,W7,8-1-1,0.850,W7,5-2-4,0.636,L1,0-0,0.000,W1,0-0,0.000,W2
