rank,team,conference,overall_wlt,overall_pct,overall_strk,conference_wlt,conference_pct,conference_strk,home_wlt,home_pct,home_strk,road_wlt,road_pct,road_strk,neutral_wlt,neutral_pct,neutral_strk,non_division_wlt,non_division_pct,non_division_strk
23,Binghamton,America East,10-2-5,0.735,L1,5-0-3,0.813,L1,6-1-1,0.813,L1,4-1-4,0.667,T1,0-0,0.000,L3,0-0,0.000,W1
24,Liberty,CUSA,14-4-4,0.727,L1,6-0-2,0.875,W9,8-3-2,0.692,W6,6-1-2,0.778,L1,0-0,0.000,W2,0-0,0.000,W1
25,South Dakota St.,Summit League,13-3-6,0.727,L1,4-1-3,0.688,W4,7-0-2,0.889,W3,4-3-3,0.550,L1,2-0-1,0.833,W1,2-0,1.000,W14
26,Old Dominion,Sun Belt,11-3-4,0.722,L1,6-1-3,0.750,L1,7-1-1,0.833,W4,3-1-3,0.643,L1,1-1,0.500,L1,0-0,0.000,L1
27,Delaware,CUSA,10-2-6,0.722,T2,3-2-3,0.563,T2,6-2-1,0.722,L1,4-0-4,0.750,T2,0-0-1,0.500,T1,0-0,0.000,
28,UNCW,CAA,11-3-4,0.722,T2,7-0-2,0.889,T2,6-3-1,0.650,T1,5-0-3,0.813,T2,0-0,0.000,L2,0-0,0.000,W7
29,Michigan St.,Big Ten,15-4-6,0.720,L1,7-1-3,0.773,T1,9-1-3,0.808,W5,4-3-2,0.556,L1,2-0-1,0.833,T1,0-0,0.000,
30,Tennessee,SEC,12-4-3,0.711,L2,6-2-2,0.700,L1,7-1-1,0.833,L1,5-2-2,0.667,L1,0-1,0.000,L2,0-0,0.000,
31,Utah Valley,WAC,14-5-3,0.705,L1,9-0-1,0.950,T1,9-1-2,0.833,T1,5-4-1,0.550,L1,0-0,0.000,L2,0-0,0.000,W1
32,Wagner,NEC,11-3-6,0.700,L1,8-1-2,0.818,W5,6-0-4,0.800,W3,5-3-2,0.600,L1,0-0,0.000,L3,0-0,0.000,L4
33,Oral Roberts,Summit League,13-5-2,0.700,L1,6-1-1,0.813,L1,9-3-1,0.731,L1,4-1-1,0.750,W4,0-1,0.000,L2,2-0,1.000,W17
34,Kansas,Big 12,16-6-3,0.700,L1,6-4-1,0.591,L1,7-3-2,0.667,W1,6-2-1,0.722,L1,3-1,0.750,W1,0-0,0.000,W2
35,Baylor,Big 12,14-5-4,0.696,L1,7-3-1,0.682,L1,8-1,0.889,W5,5-2-2,0.667,W1,1-2-2,0.400,L1,0-0,0.000,
36,Lipscomb,ASUN,15-6-2,0.696,L1,7-2-1,0.750,W3,10-0-2,0.917,W4,5-5,0.500,W1,0-1,0.000,L1,0-0,0.000,L1
37,UConn,Big East,11-4-3,0.694,L1,7-1-2,0.800,L1,5-1-2,0.750,W1,6-2-1,0.722,W4,0-1,0.000,L2,0-0,0.000,W1
38,UCF,Big 12,12-4-5,0.690,L1,5-1-5,0.682,L1,7-1-2,0.800,W3,5-2-3,0.650,L1,0-1,0.000,L3,0-0,0.000,W1
39,Northwestern St.,Southland,13-5-3,0.690,L1,7-2-1,0.750,L1,7-0-2,0.889,W5,5-4-1,0.550,W1,1-1,0.500,L1,0-0,0.000,W4
40,Kentucky,SEC,12-4-5,0.690,T2,5-2-3,0.650,T1,10-3,0.769,W1,1-1-4,0.500,T1,1-0-1,0.750,T1,0-0,0.000,W1
41,Louisville,ACC,13-5-3,0.690,L1,6-2-2,0.700,L1,10-0-2,0.917,T1,3-4-1,0.438,L1,0-1,0.000,L1,0-0,0.000,
42,Rhode Island,Atlantic 10,13-5-3,0.690,T1,5-3-2,0.600,T1,6-4,0.600,W1,7-1-3,0.773,T1,0-0,0.000,L3,0-0,0.000,W2
43,Elon,CAA,11-3-7,0.690,L1,4-2-3,0.611,T2,5-0-3,0.813,T1,6-3-4,0.615,L1,0-0,0.000,W1,0-0,0.000,W7
44,Milwaukee,Horizon,13-5-3,0.690,L1,8-0-2,0.900,W3,8-1-2,0.818,W3,5-4-1,0.550,L1,0-0,0.000,L1,0-0,0.000,
45,Buffalo,MAC,12-5-2,0.684,L2,8-3-1,0.708,L2,6-1-1,0.813,L1,6-3-1,0.650,W2,0-1,0.000,L1,0-0,0.000,
46,Northern Ky.,Horizon,10-3-6,0.684,L1,7-1-2,0.800,L1,7-0,1.000,W11,3-2-6,0.545,T1,0-1,0.000,L1,1-0,1.000,W2
47,Portland,WCC,10-3-6,0.684,W4,7-1-3,0.773,W4,6-3-1,0.650,W3,4-0-5,0.722,W2,0-0,0.000,L2,0-0,0.000,W1
48,Dartmouth,Ivy League,11-4-4,0.684,L1,4-1-2,0.714,W4,4-2-1,0.643,W1,6-2-3,0.682,L1,1-0,1.000,W3,1-0,1.000,W4
49,Duquesne,Atlantic 10,12-5-2,0.684,T1,7-3,0.700,T1,7-1-1,0.833,T1,5-4-1,0.550,W2,0-0,0.000,L4,0-0,0.000,W1
50,Seattle U,WCC,10-3-6,0.684,W3,6-3-2,0.636,W3,7-1-2,0.800,W1,3-2-3,0.563,W2,0-0-1,0.500,T2,0-0,0.000,W3
51,Army West Point,Patriot,14-6-2,0.682,L1,5-3-1,0.611,W3,7-1-1,0.833,W4,7-5,0.583,L1,0-0-1,0.500,T1,0-0,0.000,W1
52,Wisconsin,Big Ten,14-6-2,0.682,L1,6-3-2,0.636,L1,8-2,0.800,W3,5-2-2,0.667,T1,1-2,0.333,L2,0-0,0.000,
53,LSU,SEC,15-6-4,0.680,L1,5-2-3,0.650,L1,7-1-1,0.833,W2,4-5-2,0.455,L1,4-0-1,0.900,W1,0-0,0.000,L1
54,Montana,Big Sky,11-4-5,0.675,L1,5-1-2,0.750,T2,9-1-3,0.808,T2,2-3-2,0.429,L1,0-0,0.000,W2,1-0,1.000,W7
55,UC Santa Barbara,Big West,13-5-5,0.674,L1,5-2-3,0.650,L1,8-2-1,0.773,W4,5-2-4,0.636,T1,0-1,0.000,L1,0-0,0.000,
56,Boise St.,Mountain West,10-3-8,0.667,T2,8-0-2,0.900,T2,5-3-4,0.583,T2,5-0-4,0.778,W4,0-0,0.000,L2,0-0,0.000,W2
57,Illinois,Big Ten,13-6-2,0.667,L2,5-4-2,0.545,L1,5-1-1,0.786,W2,7-4-1,0.625,L1,1-1,0.500,L1,0-0,0.000,
58,Iowa,Big Ten,12-5-4,0.667,L1,6-2-3,0.682,L1,7-1-2,0.800,W3,5-2-2,0.667,W1,0-2,0.000,L3,0-0,0.000,
59,North Carolina,ACC,13-6-2,0.667,T2,6-4,0.600,W2,9-1,0.900,W4,4-5-1,0.450,T1,0-0-1,0.500,T1,0-0,0.000,W3
60,South Alabama,Sun Belt,10-4-4,0.667,L1,6-1-3,0.750,L1,7-1-2,0.800,T2,3-2-1,0.583,W2,0-1-1,0.250,L1,0-0,0.000,W3
61,FGCU,ASUN,11-5-2,0.667,L1,8-1-1,0.850,L1,7-2,0.778,L1,4-3-2,0.556,T1,0-0,0.000,T1,1-0,1.000,L1
62,UCLA,Big Ten,12-5-4,0.667,T1,6-2-3,0.682,L1,8-1-1,0.850,W1,3-3-2,0.500,T1,1-1-1,0.500,T1,0-0,0.000,
63,Bowling Green,MAC,10-3-9,0.659,L1,4-1-7,0.625,L1,5-2-4,0.636,T1,4-1-4,0.667,L1,1-0-1,0.750,T1,0-0,0.000,W2
64,Cal Poly,Big West,10-3-9,0.659,L1,6-2-2,0.700,W2,3-0-6,0.667,T1,5-3-3,0.591,L1,2-0,1.000,W2,0-0,0.000,
65,Colorado St.,Mountain West,10-4-5,0.658,L1,4-2-4,0.600,L1,7-0-2,0.889,W1,3-3-3,0.500,T1,0-1,0.000,L2,0-0,0.000,
66,Eastern Ky.,ASUN,10-4-5,0.658,L1,5-2-3,0.650,L1,7-0-3,0.850,W1,3-3-2,0.500,L1,0-1,0.000,L2,0-0,0.000,W1
67,Furman,SoCon,10-4-5,0.658,L1,3-2-4,0.556,L1,4-1-3,0.688,W1,5-3-2,0.600,L2,1-0,1.000,W2,1-0,1.000,W10
68,Miami (OH),MAC,11-5-3,0.658,T1,8-2-2,0.750,T1,6-1-1,0.813,W2,5-4-1,0.550,W2,0-0-1,0.500,T2,0-0,0.000,
69,Murray St.,MVC,10-4-5,0.658,T1,5-1-3,0.722,T1,6-2-2,0.700,T1,4-2-3,0.611,W3,0-0,0.000,W1,0-0,0.000,W2
70,Boston U.,Patriot,11-5-3,0.658,L1,7-1-1,0.833,L1,6-2-2,0.700,L1,5-3-1,0.611,W3,0-0,0.000,L1,0-0,0.000,W5
71,Radford,Big South,10-5-1,0.656,L1,7-1,0.875,L1,7-1,0.875,W6,3-3-1,0.500,W1,0-1,0.000,L2,2-0,1.000,W4
72,Wake Forest,ACC,11-5-4,0.650,L1,4-3-3,0.550,L1,9-0-3,0.875,W1,2-5-1,0.313,L4,0-0,0.000,L1,0-0,0.000,W1
73,Rice,American,10-4-6,0.650,L1,3-2-5,0.550,L1,5-1-2,0.750,T1,4-2-3,0.611,L1,1-1-1,0.500,L1,0-0,0.000,
74,Weber St.,Big Sky,12-6-2,0.650,T1,5-2-1,0.688,T1,5-2,0.714,W1,6-4-2,0.583,T1,1-0,1.000,W1,0-0,0.000,W2
75,Stony Brook,CAA,12-6-2,0.650,T1,5-4,0.556,T1,8-2-2,0.750,T1,4-4,0.500,W1,0-0,0.000,L3,0-0,0.000,L1
76,Brown,Ivy League,9-4-4,0.647,L2,3-2-2,0.571,L2,3-2-2,0.571,L1,6-2-2,0.700,L1,0-0,0.000,W1,0-0,0.000,W5
77,Quinnipiac,MAAC,8-3-6,0.647,T1,8-0-4,0.833,T1,5-0-3,0.813,T1,3-3-3,0.500,W2,0-0,0.000,L1,0-0,0.000,W2
78,Texas St.,Sun Belt,10-4-7,0.643,L1,5-1-4,0.700,W2,5-3-2,0.600,L1,3-1-4,0.625,L1,2-0-1,0.833,W2,1-0,1.000,W3
79,Ohio St.,Big Ten,11-5-6,0.636,L1,4-2-5,0.591,L2,2-1-4,0.571,L1,8-3-2,0.692,L1,1-1,0.500,W1,1-0,1.000,W2
80,Arizona St.,Big 12,10-5-4,0.632,T1,3-5-3,0.409,T1,6-3-1,0.650,L3,4-2-3,0.611,T1,0-0,0.000,L2,0-0,0.000,
81,Arkansas,SEC,10-5-4,0.632,L1,7-1-2,0.800,L1,7-2-1,0.750,W6,3-1-3,0.643,T1,0-2,0.000,L3,0-0,0.000,W4
82,California,ACC,8-3-8,0.632,L1,4-2-4,0.600,L1,5-2-3,0.650,L1,3-1-5,0.611,T1,0-0,0.000,T1,0-0,0.000,L1
83,Oklahoma,SEC,10-5-4,0.632,L2,3-4-3,0.450,L2,8-1-2,0.818,W1,2-3-2,0.429,L1,0-1,0.000,L2,0-0,0.000,W2
84,ETSU,SoCon,9-4-6,0.632,L1,4-1-4,0.667,L1,6-0-3,0.833,W1,3-3-3,0.500,L1,0-1,0.000,L2,0-0,0.000,W3
85,Loyola Chicago,Atlantic 10,9-4-6,0.632,L1,4-2-4,0.600,L1,4-1-3,0.688,T1,5-3-3,0.591,L1,0-0,0.000,L1,0-0,0.000,W1
86,Chattanooga,SoCon,10-5-4,0.632,L1,4-2-3,0.611,L1,8-0-1,0.944,W1,2-4-3,0.389,W1,0-1,0.000,L1,0-0,0.000,W2
87,James Madison,Sun Belt,9-4-6,0.632,T1,5-2-3,0.650,T1,5-2-2,0.667,L1,4-2-3,0.611,W2,0-0-1,0.500,T1,0-0,0.000,
88,Middle Tenn.,CUSA,11-6-3,0.625,L1,5-2-1,0.688,L1,6-2-2,0.700,W1,4-3-1,0.563,W2,1-1,0.500,L1,0-0,0.000,T1
89,Mississippi St.,SEC,12-7-1,0.625,L2,5-4-1,0.550,L1,5-3-1,0.611,L3,5-3,0.625,W1,2-1,0.667,L1,0-0,0.000,W1
90,San Diego St.,Mountain West,9-4-7,0.625,T1,4-2-4,0.600,T1,5-3-3,0.591,W2,3-1-4,0.625,T2,1-0,1.000,W1,0-0,0.000,
91,South Carolina,SEC,10-5-5,0.625,L3,4-2-4,0.600,L2,6-1-2,0.778,L1,4-3-3,0.550,L2,0-1,0.000,L3,0-0,0.000,W1
92,Bellarmine,ASUN,11-6-3,0.625,L1,4-5-1,0.450,L1,4-2-3,0.611,T1,7-3,0.700,W2,0-1,0.000,L1,1-0,1.000,W3
93,Lindenwood,OVC,10-5-5,0.625,L1,5-2-2,0.667,L1,4-3-2,0.556,W2,5-2-3,0.650,L1,1-0,1.000,W4,0-0,0.000,W2
94,Northwestern,Big Ten,9-4-8,0.619,T1,4-2-5,0.591,L1,4-1-3,0.688,T1,4-2-5,0.591,T1,1-1,0.500,L1,0-0,0.000,
95,Georgia,SEC,10-5-6,0.619,L2,6-1-3,0.750,L1,6-3-3,0.625,L1,4-1-2,0.714,W2,0-1-1,0.250,L1,0-0,0.000,
96,Western Ky.,CUSA,9-5-3,0.618,L1,6-0-2,0.875,L1,4-1-3,0.688,W1,5-3,0.625,W4,0-1,0.000,L4,2-0,1.000,W6
97,Vermont,America East,8-4-6,0.611,T1,5-1-2,0.750,T1,4-3-3,0.550,T1,4-1-3,0.688,W1,0-0,0.000,L6,0-0,0.000,W3
98,Denver,Summit League,9-5-4,0.611,L1,6-1-1,0.813,L1,5-2,0.714,W2,4-2-2,0.625,W1,0-1-2,0.333,L1,0-0,0.000,
99,Monmouth,CAA,10-6-2,0.611,L1,5-3-1,0.611,L1,5-4-1,0.550,L1,5-2-1,0.688,L1,0-0,0.000,W7,0-0,0.000,
100,Charlotte,American,10-6-2,0.611,L1,6-2-2,0.700,L1,5-2-1,0.688,W2,5-3-1,0.611,W1,0-1,0.000,L3,0-0,0.000,W5
101,Jacksonville,ASUN,9-5-5,0.605,L1,6-1-3,0.750,L1,4-1-3,0.688,T2,5-4-1,0.550,L1,0-0-1,0.500,T2,1-0,1.000,W4
102,Southern Ill.,MVC,10-6-3,0.605,L2,4-4-1,0.500,L2,5-1-3,0.722,L1,5-5,0.500,L2,0-0,0.000,L1,0-0,0.000,W2
103,USC Upstate,Big South,10-6-3,0.605,T2,6-2,0.750,T2,5-1-1,0.786,W1,5-5,0.500,W2,0-0-2,0.500,T2,0-0,0.000,W4
104,Pepperdine,WCC,11-7-2,0.600,L1,8-2-1,0.773,W1,4-3-1,0.563,L2,7-4-1,0.625,L1,0-0,0.000,W1,0-0,0.000,
105,Siena,MAAC,9-5-6,0.600,L1,6-3-3,0.625,L1,6-1-3,0.750,W2,3-4-3,0.450,L1,0-0,0.000,L2,0-0,0.000,L6
106,Western Caro.,SoCon,10-6-4,0.600,L1,5-2-2,0.667,L1,5-6,0.455,L1,5-0-4,0.778,T1,0-0,0.000,L1,0-0,0.000,W1
107,UTSA,American,10-6-6,0.591,L1,4-3-3,0.550,W1,5-3-2,0.600,L2,2-3-3,0.438,L1,3-0-1,0.875,W1,1-0,1.000,W3
108,SFA,Southland,8-4-10,0.591,L1,5-1-4,0.700,L1,4-1-4,0.667,W2,4-2-5,0.591,W1,0-1-1,0.250,L1,0-0,0.000,L1
109,Little Rock,OVC,7-4-6,0.588,L1,5-0-4,0.778,L1,4-0-4,0.750,T1,3-3-2,0.500,W2,0-1,0.000,L2,0-0,0.000,L1
110,Marshall,Sun Belt,8-5-4,0.588,L1,4-2-4,0.600,L1,4-1-2,0.714,W1,4-3-2,0.556,W1,0-1,0.000,L2,1-0,1.000,W1
111,Grambling,SWAC,11-7-5,0.587,L1,5-0-3,0.813,W5,6-0-2,0.875,W2,1-7-3,0.227,L1,4-0,1.000,W8,0-0-1,0.500,W1
112,Utah St.,Mountain West,10-6-7,0.587,T2,5-2-3,0.650,T1,6-0-3,0.833,W4,2-6-4,0.333,T2,2-0,1.000,W7,0-0,0.000,
113,BYU,Big 12,11-7-6,0.583,L1,4-5-2,0.455,W2,6-3-2,0.636,T1,3-4-3,0.450,L1,2-0-1,0.833,T1,0-0,0.000,
114,Houston,Big 12,7-4-7,0.583,L1,2-4-5,0.409,L1,6-1-4,0.727,T3,1-3-3,0.357,L1,0-0,0.000,L8,1-0,1.000,W1
115,Nebraska,Big Ten,8-5-5,0.583,L2,3-5-3,0.409,L2,6-3-2,0.636,L1,2-2-3,0.500,L1,0-0,0.000,L4,0-0,0.000,W1
116,Colgate,Patriot,9-6-4,0.579,L2,6-2-1,0.722,L2,5-2-2,0.667,L1,4-4-2,0.500,L1,0-0,0.000,L2,0-0,0.000,T1
117,Drake,MVC,9-6-4,0.579,L1,6-2-1,0.722,L1,6-3-1,0.650,L1,3-3-3,0.500,L2,0-0,0.000,W2,0-0,0.000,W4
118,New Mexico,Mountain West,8-5-6,0.579,L2,4-2-4,0.600,L2,5-1-2,0.750,W1,3-3-4,0.500,L1,0-1,0.000,L1,0-0-1,0.500,T1
119,Navy,Patriot,9-6-4,0.579,T1,2-3-4,0.444,T1,6-2-1,0.722,L1,3-4-2,0.444,T2,0-0-1,0.500,T2,1-0,1.000,W8
120,North Ala.,ASUN,8-5-6,0.579,T1,4-3-3,0.550,T1,4-3-1,0.563,L1,4-2-4,0.600,W2,0-0-1,0.500,T1,0-0,0.000,L1
121,Ball St.,MAC,10-7-3,0.575,L1,7-4-1,0.625,L1,2-4-2,0.375,L1,8-2,0.800,W4,0-1-1,0.250,L1,0-0,0.000,
122,UC Irvine,Big West,8-5-7,0.575,L1,5-2-3,0.650,L1,4-3-3,0.550,L1,4-2-4,0.600,W1,0-0,0.000,W2,0-0,0.000,
123,FDU,NEC,9-6-5,0.575,L1,9-0-2,0.909,L1,6-3-1,0.650,L1,3-3-4,0.500,T2,0-0,0.000,L1,0-0,0.000,T1
124,Fordham,Atlantic 10,10-7-3,0.575,L1,5-4-1,0.550,L1,7-2,0.778,L1,3-5-3,0.409,L1,0-0,0.000,W1,0-0,0.000,L1
125,Mercer,SoCon,10-7-3,0.575,L1,3-3-3,0.500,L1,5-3-2,0.600,T1,4-4-1,0.500,L1,1-0,1.000,W1,0-0,0.000,W6
126,Tulsa,American,9-6-5,0.575,L1,4-3-3,0.550,L1,7-2-1,0.750,W3,2-3-4,0.444,L1,0-1,0.000,L5,1-0,1.000,W5
127,Houston Christian,Southland,12-9-2,0.565,L1,4-4-2,0.500,W5,5-2-1,0.688,W2,4-7-1,0.375,L1,3-0,1.000,W3,0-0,0.000,L1
128,LIU,NEC,7-5-5,0.559,L1,5-3-3,0.591,L1,5-1-3,0.722,T1,1-4-2,0.286,L3,1-0,1.000,W1,0-0,0.000,W1
129,Sam Houston,CUSA,8-6-3,0.559,L1,5-2-1,0.688,L1,4-2,0.667,W1,4-4-2,0.500,L2,0-0-1,0.500,T2,0-0,0.000,W1
130,Col. of Charleston,CAA,8-6-3,0.559,T1,4-3-2,0.556,T1,5-3-1,0.611,W1,3-3-2,0.500,T1,0-0,0.000,L1,0-0,0.000,W1
131,Princeton,Ivy League,8-6-3,0.559,L1,5-2,0.714,L1,5-3-2,0.600,L1,3-3-1,0.500,W2,0-0,0.000,L2,0-0,0.000,W5
132,NJIT,America East,7-5-6,0.556,W2,2-3-3,0.438,W2,5-3-2,0.600,W1,2-2-4,0.500,W1,0-0,0.000,W1,0-0,0.000,L1
133,Clemson,ACC,8-6-5,0.553,L1,4-4-2,0.500,L1,4-2-4,0.600,W2,4-4-1,0.500,L2,0-0,0.000,L2,0-0,0.000,W4
134,Jackson St.,SWAC,9-7-3,0.553,L1,6-1-1,0.813,L1,3-1-1,0.700,W1,4-5-2,0.455,L1,2-1,0.667,L1,0-0,0.000,W1
135,Longwood,Big South,9-7-3,0.553,T1,5-3,0.625,T1,7-3-2,0.667,W2,2-4,0.333,W1,0-0-1,0.500,T1,0-0,0.000,W3
136,Howard,NEC,9-7-3,0.553,L2,7-2-2,0.727,L2,5-2-2,0.667,W3,3-5-1,0.389,L3,1-0,1.000,W1,0-0,0.000,W2
137,Santa Clara,WCC,8-6-5,0.553,T1,4-2-5,0.591,T1,5-2-2,0.667,W1,3-4-3,0.450,T2,0-0,0.000,W2,0-0,0.000,
138,Indiana St.,MVC,8-6-6,0.550,L2,4-2-3,0.611,L2,5-3-2,0.600,L2,3-3-4,0.500,W1,0-0,0.000,W1,1-0,1.000,W2
139,Kent St.,MAC,8-6-6,0.550,T1,6-4-2,0.583,T1,5-2-1,0.688,W3,3-4-4,0.455,L2,0-0-1,0.500,T1,0-0,0.000,
140,Penn St.,Big Ten,10-8-3,0.548,L1,5-4-2,0.545,L1,6-2-3,0.682,W2,4-5,0.444,L2,0-1,0.000,L1,0-0,0.000,W2
141,Southern Ind.,OVC,9-7-5,0.548,T1,4-2-3,0.611,T1,6-3,0.667,L1,2-4-5,0.409,T1,1-0,1.000,W1,0-0,0.000,W2
142,Alabama,SEC,11-9-2,0.545,L1,4-6,0.400,L1,6-3-1,0.650,T1,4-5-1,0.450,L3,1-1,0.500,L1,0-0,0.000,W2
143,Illinois St.,MVC,8-6-8,0.545,T1,3-2-4,0.556,T1,5-3-5,0.577,T1,3-3-3,0.500,W1,0-0,0.000,W1,0-0,0.000,W3
144,Sacred Heart,MAAC,11-9-2,0.545,L1,7-5,0.583,T1,6-3-1,0.650,W2,5-6-1,0.458,L1,0-0,0.000,L6,0-0,0.000,W2
145,Penn,Ivy League,5-4-6,0.533,T1,1-3-3,0.357,T1,3-3-4,0.500,T1,2-1-2,0.600,W1,0-0,0.000,W1,0-0,0.000,
146,Butler,Big East,5-4-8,0.529,T3,2-3-5,0.450,T3,4-1-3,0.688,T1,1-3-5,0.389,T2,0-0,0.000,L2,0-0,0.000,W1
147,UMass Lowell,America East,6-5-6,0.529,T2,3-2-3,0.563,T2,2-3-5,0.450,T1,4-2-1,0.643,T1,0-0,0.000,L1,0-0,0.000,T2
148,FIU,CUSA,7-6-4,0.529,L1,4-3-1,0.563,L1,3-2-2,0.571,T1,4-3-2,0.556,L1,0-1,0.000,L2,0-0,0.000,W1
149,Villanova,Big East,9-8-1,0.528,T1,4-5-1,0.450,T1,5-3-1,0.611,T1,4-5,0.444,L2,0-0,0.000,L3,0-0,0.000,W1
150,Fresno St.,Mountain West,7-6-5,0.528,W1,4-4-2,0.500,W1,3-1-4,0.625,W3,4-5-1,0.450,L4,0-0,0.000,L2,0-0,0.000,
151,Central Conn. St.,NEC,7-6-5,0.528,L1,6-1-4,0.727,L1,3-3-3,0.500,T1,4-3-2,0.556,L1,0-0,0.000,W1,0-0,0.000,T1
152,Hofstra,CAA,6-5-7,0.528,L1,3-3-3,0.500,L1,4-0-5,0.722,W2,2-5-2,0.333,L1,0-0,0.000,W2,0-0,0.000,T1
153,Kansas St.,Big 12,7-6-5,0.528,T1,2-5-4,0.364,T1,4-3-1,0.563,T1,3-3-4,0.500,L1,0-0,0.000,L1,0-0,0.000,
154,Manhattan,MAAC,7-6-5,0.528,L1,6-5-1,0.542,L1,5-2-3,0.650,W5,2-4-2,0.375,L2,0-0,0.000,L1,0-0,0.000,L2
155,North Dakota,Summit League,8-7-3,0.528,W1,2-4-2,0.375,W1,2-4-1,0.357,L2,6-3-2,0.636,W2,0-0,0.000,L3,1-0,1.000,W5
156,Louisiana,Sun Belt,7-6-5,0.528,T1,4-3-3,0.550,T1,4-2-2,0.625,L1,3-4-2,0.444,W1,0-0-1,0.500,T1,0-0,0.000,L1
157,UAB,American,7-6-6,0.526,L1,4-3-3,0.550,L1,5-2-4,0.636,W1,2-3-2,0.429,W2,0-1,0.000,L5,0-0,0.000,W2
158,Eastern Wash.,Big Sky,8-7-4,0.526,L1,4-3-1,0.563,L1,6-1-3,0.750,W2,2-5-1,0.313,W1,0-1,0.000,L1,1-0,1.000,W1
159,Georgia St.,Sun Belt,9-8-2,0.526,L3,5-4-1,0.550,L3,6-2-1,0.722,L1,3-5-1,0.389,L1,0-1,0.000,L1,1-0,1.000,W1
