date,team1,indicator,team2,score,location,attendance
12/05/2025,Florida St.,vs.,TCU,1-0,"Kansas City, MO","7,066"
12/05/2025,Duke,vs.,Stanford,0-1,"Kansas City, MO","7,066"
08/23/2025,UConn,@,Texas A&M,1-2,,"6,857"
10/10/2025,Navy,vs.,Army West Point,2-2,"Chester, PA","6,037"
08/21/2025,Ohio St.,@,South Carolina,0-1,,"5,800"
08/17/2025,South Fla.,@,South Carolina,1-3,,"5,300"
08/24/2025,Miami (OH),@,South Carolina,0-2,,"5,000"
09/18/2025,Ole Miss,@,South Carolina,0-4,,"4,850"
08/07/2025,Brescia,@,Morehead St.,0-1,,"4,567"
08/29/2025,Auburn,@,BYU,0-2,,"4,282"
09/12/2025,Utah Valley,@,BYU,0-2,,"4,165"
08/18/2025,Utah,@,Utah Valley,0-2,,"4,116"
08/24/2025,Missouri,@,Saint Louis,0-1,,"4,097"
09/02/2025,Arkansas,@,BYU,1-0,,"4,089"
09/07/2025,Ga. Southern,@,Tennessee,0-1,,"4,040"
08/21/2025,NC State,@,Michigan St.,0-3,,"4,025"
09/10/2025,Omaha,@,Creighton,2-3,,"3,895"
09/17/2025,Florida St.,@,North Carolina,1-0,,"3,749"
09/05/2025,Arkansas,@,Creighton,3-3,,"3,673"
08/21/2025,DePaul,@,Purdue,2-0,,"3,652"
10/04/2025,Virginia Tech,@,Virginia,1-2,,"3,611"
11/14/2025,Utah St.,@,BYU,1-1,,"3,566"
08/23/2025,UCLA,@,BYU,0-1,,"3,530"
09/26/2025,Texas A&M,@,Tennessee,0-1,,"3,440"
10/19/2025,Texas A&M,@,South Carolina,0-0,,"3,350"
12/08/2025,Florida St.,vs.,Stanford,1-0,"Kansas City, MO","3,311"
10/02/2025,Arkansas,@,South Carolina,2-2,,"3,250"
09/06/2025,Utah St.,@,BYU,0-2,,"3,213"
08/21/2025,East Texas A&M,@,Oklahoma,0-4,,"3,211"
10/16/2025,Arizona,@,BYU,2-3,,"3,150"
08/17/2025,Eastern Ky.,@,Tennessee,0-9,,"3,129"
09/27/2025,Cincinnati,@,BYU,0-3,,"3,121"
10/20/2025,Colorado,@,BYU,2-2,,"3,052"
10/23/2025,Kansas,@,BYU,3-1,,"3,017"
09/21/2025,LSU,@,Tennessee,1-2,,"2,960"
08/17/2025,Notre Dame,@,Arkansas,2-2,,"2,947"
10/02/2025,Georgia,@,Tennessee,0-2,,"2,906"
10/16/2025,Florida,@,Tennessee,0-0,,"2,884"
08/09/2025,Utah Tech,@,BYU,1-1,,"2,854"
10/09/2025,Texas,@,South Carolina,1-5,,"2,800"
09/24/2025,West Virginia,@,BYU,3-2,,"2,769"
10/12/2025,Michigan St.,@,Iowa,3-5,,"2,755"
10/26/2025,Oklahoma,@,Arkansas,1-3,,"2,721"
08/31/2025,Georgia St.,@,South Carolina,0-3,,"2,700"
08/28/2025,Duke,@,Arkansas,2-0,,"2,652"
08/24/2025,Rice,@,North Carolina,0-4,,"2,640"
