rank,institution,conference,past_wins,past_losses,past_ties,past_pct,future_wins,future_losses,future_ties,future_pct,cumulative_wins,cumulative_losses,cumulative_ties,cumulative_pct
57,UCF,Big 12,193,133,79,0.574,0,0,0,0.000,193,133,79,0.574
58,Georgia,SEC,185,128,76,0.573,0,0,0,0.000,185,128,76,0.573
59,Michigan,Big Ten,162,114,59,0.572,0,0,0,0.000,162,114,59,0.572
60,Gonzaga,WCC,162,110,89,0.572,0,0,0,0.000,162,110,89,0.572
61,Austin Peay,ASUN,153,108,58,0.571,0,0,0,0.000,153,108,58,0.571
62,Creighton,Big East,165,116,63,0.571,0,0,0,0.000,165,116,63,0.571
63,Indiana,Big Ten,157,111,59,0.570,0,0,0,0.000,157,111,59,0.570
64,Oregon,Big Ten,156,109,73,0.570,0,0,0,0.000,156,109,73,0.570
65,Denver,Summit League,155,109,68,0.569,0,0,0,0.000,155,109,68,0.569
66,Utah St.,Mountain West,190,134,106,0.565,0,0,0,0.000,190,134,106,0.565
67,Texas St.,Sun Belt,154,109,82,0.565,0,0,0,0.000,154,109,82,0.565
68,Mississippi St.,SEC,175,128,68,0.563,0,0,0,0.000,175,128,68,0.563
69,Houston,Big 12,162,118,68,0.563,0,0,0,0.000,162,118,68,0.563
70,Fla. Atlantic,American,163,119,70,0.563,0,0,0,0.000,163,119,70,0.563
71,Wyoming,Mountain West,156,112,88,0.562,0,0,0,0.000,156,112,88,0.562
72,Ole Miss,SEC,124,91,62,0.560,0,0,0,0.000,124,91,62,0.560
73,Maine,America East,131,94,81,0.560,0,0,0,0.000,131,94,81,0.560
74,Illinois,Big Ten,172,124,102,0.560,0,0,0,0.000,172,124,102,0.560
75,Charlotte,American,153,114,66,0.559,0,0,0,0.000,153,114,66,0.559
76,James Madison,Sun Belt,153,114,71,0.558,0,0,0,0.000,153,114,71,0.558
77,Coastal Carolina,Sun Belt,120,88,66,0.558,0,0,0,0.000,120,88,66,0.558
78,Minnesota,Big Ten,141,106,69,0.555,0,0,0,0.000,141,106,69,0.555
79,Saint Louis,Atlantic 10,165,126,75,0.553,0,0,0,0.000,165,126,75,0.553
80,South Fla.,American,167,128,75,0.553,0,0,0,0.000,167,128,75,0.553
81,Hofstra,CAA,129,99,72,0.550,0,0,0,0.000,129,99,72,0.550
82,Utah Valley,WAC,188,146,88,0.550,0,0,0,0.000,188,146,88,0.550
83,Providence,Big East,130,102,54,0.549,0,0,0,0.000,130,102,54,0.549
84,New Mexico St.,CUSA,146,114,65,0.549,0,0,0,0.000,146,114,65,0.549
85,Boston College,ACC,148,116,64,0.549,0,0,0,0.000,148,116,64,0.549
86,Cincinnati,Big 12,159,125,73,0.548,0,0,0,0.000,159,125,73,0.548
87,East Carolina,American,144,114,70,0.546,0,0,0,0.000,144,114,70,0.546
88,Santa Clara,WCC,149,117,81,0.546,0,0,0,0.000,149,117,81,0.546
89,UAB,American,154,122,69,0.546,0,0,0,0.000,154,122,69,0.546
90,Eastern Ky.,ASUN,147,117,71,0.545,0,0,0,0.000,147,117,71,0.545
91,Oregon St.,WCC,145,115,85,0.543,0,0,0,0.000,145,115,85,0.543
92,UNC Greensboro,SoCon,159,129,65,0.542,0,0,0,0.000,159,129,65,0.542
93,Loyola Chicago,Atlantic 10,156,127,64,0.542,0,0,0,0.000,156,127,64,0.542
94,UConn,Big East,139,113,60,0.542,0,0,0,0.000,139,113,60,0.542
95,La Salle,Atlantic 10,142,116,62,0.541,0,0,0,0.000,142,116,62,0.541
96,Harvard,Ivy League,96,78,51,0.540,0,0,0,0.000,96,78,51,0.540
97,Pepperdine,WCC,147,118,94,0.540,0,0,0,0.000,147,118,94,0.540
98,Belmont,MVC,129,105,72,0.539,0,0,0,0.000,129,105,72,0.539
99,UIC,MVC,163,134,79,0.539,0,0,0,0.000,163,134,79,0.539
100,South Alabama,Sun Belt,135,110,73,0.539,0,0,0,0.000,135,110,73,0.539
101,Northeastern,CAA,112,91,65,0.539,0,0,0,0.000,112,91,65,0.539
102,VCU,Atlantic 10,153,126,78,0.538,0,0,0,0.000,153,126,78,0.538
103,Tennessee Tech,OVC,178,148,80,0.537,0,0,0,0.000,178,148,80,0.537
104,Rhode Island,Atlantic 10,156,131,79,0.534,0,0,0,0.000,156,131,79,0.534
105,Stony Brook,CAA,128,106,92,0.534,0,0,0,0.000,128,106,92,0.534
106,Lipscomb,ASUN,174,147,93,0.533,0,0,0,0.000,174,147,93,0.533
107,Purdue,Big Ten,150,127,74,0.533,0,0,0,0.000,150,127,74,0.533
108,Tulsa,American,158,134,75,0.533,0,0,0,0.000,158,134,75,0.533
109,FIU,CUSA,138,118,54,0.532,0,0,0,0.000,138,118,54,0.532
110,Oklahoma,SEC,153,131,68,0.531,0,0,0,0.000,153,131,68,0.531
111,Memphis,American,166,142,75,0.531,0,0,0,0.000,166,142,75,0.531
112,San Jose St.,Mountain West,136,115,84,0.531,0,0,0,0.000,136,115,84,0.531
113,Kentucky,SEC,170,146,72,0.531,0,0,0,0.000,170,146,72,0.531
114,App State,Sun Belt,121,104,67,0.529,0,0,0,0.000,121,104,67,0.529
115,Princeton,Ivy League,115,99,62,0.529,0,0,0,0.000,115,99,62,0.529
116,Samford,SoCon,158,136,83,0.529,0,0,0,0.000,158,136,83,0.529
117,Boise St.,Mountain West,153,131,94,0.529,0,0,0,0.000,153,131,94,0.529
118,DePaul,Big East,138,119,67,0.529,0,0,0,0.000,138,119,67,0.529
119,San Diego St.,Mountain West,150,129,89,0.529,0,0,0,0.000,150,129,89,0.529
120,Missouri St.,CUSA,157,137,63,0.528,0,0,0,0.000,157,137,63,0.528
121,Western Mich.,MAC,157,137,84,0.526,0,0,0,0.000,157,137,84,0.526
122,Washington St.,WCC,133,115,98,0.526,0,0,0,0.000,133,115,98,0.526
123,ETSU,SoCon,147,130,69,0.525,0,0,0,0.000,147,130,69,0.525
123,Louisiana Tech,CUSA,147,130,69,0.525,0,0,0,0.000,147,130,69,0.525
125,Air Force,Mountain West,143,125,85,0.525,0,0,0,0.000,143,125,85,0.525
126,Cornell,Ivy League,105,92,64,0.525,0,0,0,0.000,105,92,64,0.525
127,CSU Bakersfield,Big West,136,118,102,0.525,0,0,0,0.000,136,118,102,0.525
128,Rice,American,163,145,65,0.524,0,0,0,0.000,163,145,65,0.524
129,William & Mary,CAA,116,102,84,0.523,0,0,0,0.000,116,102,84,0.523
130,Columbia,Ivy League,109,97,54,0.523,0,0,0,0.000,109,97,54,0.523
131,Seattle U,WCC,136,120,88,0.523,0,0,0,0.000,136,120,88,0.523
132,Arizona St.,Big 12,153,137,68,0.522,0,0,0,0.000,153,137,68,0.522
133,Southern Miss.,Sun Belt,119,107,64,0.521,0,0,0,0.000,119,107,64,0.521
134,Kent St.,MAC,148,133,77,0.521,0,0,0,0.000,148,133,77,0.521
135,Illinois St.,MVC,157,141,92,0.521,0,0,0,0.000,157,141,92,0.521
136,Bellarmine,ASUN,144,130,81,0.520,0,0,0,0.000,144,130,81,0.520
137,Boston U.,Patriot,126,113,88,0.520,0,0,0,0.000,126,113,88,0.520
138,Central Ark.,ASUN,121,109,71,0.520,0,0,0,0.000,121,109,71,0.520
139,Central Mich.,MAC,129,116,80,0.520,0,0,0,0.000,129,116,80,0.520
140,Saint Mary's (CA),WCC,134,121,77,0.520,0,0,0,0.000,134,121,77,0.520
141,Marshall,Sun Belt,121,109,64,0.520,0,0,0,0.000,121,109,64,0.520
142,Nebraska,Big Ten,142,129,67,0.519,0,0,0,0.000,142,129,67,0.519
142,North Texas,American,155,141,68,0.519,0,0,0,0.000,155,141,68,0.519
144,Bowling Green,MAC,166,151,69,0.519,0,0,0,0.000,166,151,69,0.519
145,Marquette,Big East,136,124,58,0.519,0,0,0,0.000,136,124,58,0.519
146,Troy,Sun Belt,118,107,71,0.519,0,0,0,0.000,118,107,71,0.519
147,UNCW,CAA,125,113,76,0.519,0,0,0,0.000,125,113,76,0.519
148,Northern Colo.,Big Sky,139,126,79,0.519,0,0,0,0.000,139,126,79,0.519
149,Cal Poly,Big West,163,149,98,0.517,0,0,0,0.000,163,149,98,0.517
150,Akron,MAC,139,128,65,0.517,0,0,0,0.000,139,128,65,0.517
151,Fordham,Atlantic 10,148,136,71,0.517,0,0,0,0.000,148,136,71,0.517
152,Furman,SoCon,136,126,58,0.516,0,0,0,0.000,136,126,58,0.516
152,Manhattan,MAAC,134,124,62,0.516,0,0,0,0.000,134,124,62,0.516
154,Old Dominion,Sun Belt,129,119,63,0.516,0,0,0,0.000,129,119,63,0.516
155,Sacred Heart,MAAC,152,140,82,0.516,0,0,0,0.000,152,140,82,0.516
156,Abilene Christian,WAC,157,146,72,0.515,0,0,0,0.000,157,146,72,0.515
157,Mississippi Val.,SWAC,15,14,8,0.514,0,0,0,0.000,15,14,8,0.514
158,Kennesaw St.,CUSA,128,119,65,0.514,0,0,0,0.000,128,119,65,0.514
159,Portland,WCC,134,125,81,0.513,0,0,0,0.000,134,125,81,0.513
160,Maryland,Big Ten,127,119,74,0.513,0,0,0,0.000,127,119,74,0.513
161,Massachusetts,MAC,117,110,71,0.512,0,0,0,0.000,117,110,71,0.512
162,Buffalo,MAC,135,127,82,0.512,0,0,0,0.000,135,127,82,0.512
163,Ohio,MAC,133,125,77,0.512,0,0,0,0.000,133,125,77,0.512
164,Army West Point,Patriot,146,137,96,0.512,0,0,0,0.000,146,137,96,0.512
165,Weber St.,Big Sky,142,133,93,0.512,0,0,0,0.000,142,133,93,0.512
166,Western Caro.,SoCon,146,138,74,0.511,0,0,0,0.000,146,138,74,0.511
167,North Dakota St.,Summit League,127,121,64,0.510,0,0,0,0.000,127,121,64,0.510
168,Kansas City,Summit League,145,138,73,0.510,0,0,0,0.000,145,138,73,0.510
169,Colgate,Patriot,133,126,76,0.510,0,0,0,0.000,133,126,76,0.510
170,Colorado Col.,Mountain West,126,120,83,0.509,0,0,0,0.000,126,120,83,0.509
171,Brown,Ivy League,108,103,59,0.509,0,0,0,0.000,108,103,59,0.509
172,Mount St. Mary's,MAAC,115,110,71,0.508,0,0,0,0.000,115,110,71,0.508
173,George Mason,Atlantic 10,124,119,71,0.508,0,0,0,0.000,124,119,71,0.508
174,Murray St.,MVC,133,128,85,0.507,0,0,0,0.000,133,128,85,0.507
175,St. John's (NY),Big East,123,119,55,0.507,0,0,0,0.000,123,119,55,0.507
176,Omaha,Summit League,138,133,74,0.507,0,0,0,0.000,138,133,74,0.507
177,Bucknell,Patriot,128,124,67,0.506,0,0,0,0.000,128,124,67,0.506
178,California Baptist,WAC,171,166,84,0.506,0,0,0,0.000,171,166,84,0.506
179,Liberty,CUSA,155,152,81,0.504,0,0,0,0.000,155,152,81,0.504
180,UAlbany,America East,108,106,85,0.503,0,0,0,0.000,108,106,85,0.503
181,Chattanooga,SoCon,134,132,82,0.503,0,0,0,0.000,134,132,82,0.503
182,Col. of Charleston,CAA,121,119,62,0.503,0,0,0,0.000,121,119,62,0.503
183,San Diego,WCC,127,125,80,0.503,0,0,0,0.000,127,125,80,0.503
184,LMU (CA),WCC,120,118,67,0.503,0,0,0,0.000,120,118,67,0.503
185,Duquesne,Atlantic 10,135,133,78,0.503,0,0,0,0.000,135,133,78,0.503
186,Fairfield,MAAC,128,126,74,0.503,0,0,0,0.000,128,126,74,0.503
187,Nevada,Mountain West,119,118,95,0.502,0,0,0,0.000,119,118,95,0.502
188,UTEP,CUSA,119,118,73,0.502,0,0,0,0.000,119,118,73,0.502
188,Louisiana,Sun Belt,123,122,65,0.502,0,0,0,0.000,123,122,65,0.502
190,Seton Hall,Big East,122,121,73,0.502,0,0,0,0.000,122,121,73,0.502
191,Merrimack,MAAC,116,116,79,0.500,0,0,0,0.000,116,116,79,0.500
191,East Texas A&M,Southland,140,140,76,0.500,0,0,0,0.000,140,140,76,0.500
191,Butler,Big East,125,125,57,0.500,0,0,0,0.000,125,125,57,0.500
191,South Dakota St.,Summit League,158,158,78,0.500,0,0,0,0.000,158,158,78,0.500
195,Southern Utah,WAC,126,127,81,0.499,0,0,0,0.000,126,127,81,0.499
196,Sam Houston,CUSA,119,120,69,0.498,0,0,0,0.000,119,120,69,0.498
197,Hawaii,Big West,141,143,82,0.497,0,0,0,0.000,141,143,82,0.497
198,Middle Tenn.,CUSA,140,142,70,0.497,0,0,0,0.000,140,142,70,0.497
199,UC Irvine,Big West,141,143,88,0.497,0,0,0,0.000,141,143,88,0.497
200,Georgia St.,Sun Belt,113,115,80,0.497,0,0,0,0.000,113,115,80,0.497
201,New Hampshire,America East,112,114,66,0.497,0,0,0,0.000,112,114,66,0.497
202,Oral Roberts,Summit League,132,134,73,0.497,0,0,0,0.000,132,134,73,0.497
203,Quinnipiac,MAAC,119,121,56,0.497,0,0,0,0.000,119,121,56,0.497
204,UC Davis,Big West,131,134,88,0.496,0,0,0,0.000,131,134,88,0.496
205,Drake,MVC,126,129,91,0.496,0,0,0,0.000,126,129,91,0.496
206,CSUN,Big West,138,142,88,0.495,0,0,0,0.000,138,142,88,0.495
207,Villanova,Big East,116,119,72,0.495,0,0,0,0.000,116,119,72,0.495
208,Miami (OH),MAC,130,134,82,0.494,0,0,0,0.000,130,134,82,0.494
209,George Washington,Atlantic 10,120,124,70,0.494,0,0,0,0.000,120,124,70,0.494
210,Jacksonville St.,CUSA,130,134,58,0.494,0,0,0,0.000,130,134,58,0.494
211,ULM,Sun Belt,122,126,83,0.494,0,0,0,0.000,122,126,83,0.494
212,Montana,Big Sky,139,144,81,0.493,0,0,0,0.000,139,144,81,0.493
213,Portland St.,Big Sky,112,116,77,0.493,0,0,0,0.000,112,116,77,0.493
213,NIU,MAC,120,124,61,0.493,0,0,0,0.000,120,124,61,0.493
215,Southeastern La.,Southland,124,129,72,0.492,0,0,0,0.000,124,129,72,0.492
216,Houston Christian,Southland,158,165,96,0.492,0,0,0,0.000,158,165,96,0.492
217,Idaho,Big Sky,135,141,77,0.492,0,0,0,0.000,135,141,77,0.492
218,Detroit Mercy,Horizon,117,122,72,0.492,0,0,0,0.000,117,122,72,0.492
219,Queens (NC),ASUN,136,142,59,0.491,0,0,0,0.000,136,142,59,0.491
220,High Point,Big South,133,139,64,0.491,0,0,0,0.000,133,139,64,0.491
221,Milwaukee,Horizon,144,152,90,0.490,0,0,0,0.000,144,152,90,0.490
222,Holy Cross,Patriot,123,130,80,0.489,0,0,0,0.000,123,130,80,0.489
223,UC San Diego,Big West,123,131,96,0.489,0,0,0,0.000,123,131,96,0.489
224,New Mexico,Mountain West,127,135,90,0.489,0,0,0,0.000,127,135,90,0.489
225,UC Santa Barbara,Big West,150,160,105,0.488,0,0,0,0.000,150,160,105,0.488
226,Marist,MAAC,127,135,66,0.488,0,0,0,0.000,127,135,66,0.488
227,Canisius,MAAC,124,132,70,0.488,0,0,0,0.000,124,132,70,0.488
227,Eastern Mich.,MAC,122,130,74,0.488,0,0,0,0.000,122,130,74,0.488
229,Bryant,America East,114,121,68,0.488,0,0,0,0.000,114,121,68,0.488
230,Vermont,America East,110,117,73,0.488,0,0,0,0.000,110,117,73,0.488
231,North Ala.,ASUN,129,138,70,0.487,0,0,0,0.000,129,138,70,0.487
232,Saint Joseph's,Atlantic 10,117,126,73,0.486,0,0,0,0.000,117,126,73,0.486
233,Lehigh,Patriot,107,116,73,0.485,0,0,0,0.000,107,116,73,0.485
234,Campbell,CAA,100,109,68,0.484,0,0,0,0.000,100,109,68,0.484
235,Lamar University,Southland,123,134,85,0.484,0,0,0,0.000,123,134,85,0.484
236,South Dakota,Summit League,120,131,67,0.483,0,0,0,0.000,120,131,67,0.483
237,Dartmouth,Ivy League,112,122,67,0.483,0,0,0,0.000,112,122,67,0.483
238,North Florida,ASUN,148,161,73,0.483,0,0,0,0.000,148,161,73,0.483
239,Wright St.,Horizon,133,145,68,0.483,0,0,0,0.000,133,145,68,0.483
240,Ball St.,MAC,131,143,77,0.483,0,0,0,0.000,131,143,77,0.483
241,American,Patriot,112,123,69,0.482,0,0,0,0.000,112,123,69,0.482
242,Davidson,Atlantic 10,117,128,55,0.482,0,0,0,0.000,117,128,55,0.482
243,Northern Ariz.,Big Sky,118,130,74,0.481,0,0,0,0.000,118,130,74,0.481
244,Arkansas St.,Sun Belt,92,102,66,0.481,0,0,0,0.000,92,102,66,0.481
245,Colorado St.,Mountain West,122,135,91,0.481,0,0,0,0.000,122,135,91,0.481
246,UC Riverside,Big West,111,124,101,0.481,0,0,0,0.000,111,124,101,0.481
247,North Dakota,Summit League,122,134,68,0.481,0,0,0,0.000,122,134,68,0.481
248,UMBC,America East,106,118,80,0.480,0,0,0,0.000,106,118,80,0.480
249,UTRGV,Southland,103,115,75,0.480,0,0,0,0.000,103,115,75,0.480
250,Siena,MAAC,130,144,78,0.480,0,0,0,0.000,130,144,78,0.480
251,Idaho St.,Big Sky,110,122,75,0.480,0,0,0,0.000,110,122,75,0.480
252,Long Beach St.,Big West,118,132,86,0.479,0,0,0,0.000,118,132,86,0.479
253,Mercyhurst,NEC,126,140,73,0.479,0,0,0,0.000,126,140,73,0.479
254,Lafayette,Patriot,119,133,89,0.479,0,0,0,0.000,119,133,89,0.479
255,VMI,SoCon,131,146,82,0.479,0,0,0,0.000,131,146,82,0.479
256,Pacific,WCC,123,138,82,0.478,0,0,0,0.000,123,138,82,0.478
257,Wofford,SoCon,139,157,70,0.475,0,0,0,0.000,139,157,70,0.475
258,Central Conn. St.,NEC,116,132,70,0.475,0,0,0,0.000,116,132,70,0.475
259,UIW,Southland,108,123,70,0.475,0,0,0,0.000,108,123,70,0.475
260,Cal St. Fullerton,Big West,120,138,102,0.475,0,0,0,0.000,120,138,102,0.475
261,A&M-Corpus Christi,Southland,115,131,76,0.475,0,0,0,0.000,115,131,76,0.475
262,UNI,MVC,88,101,60,0.474,0,0,0,0.000,88,101,60,0.474
263,Southeast Mo. St.,OVC,122,140,85,0.474,0,0,0,0.000,122,140,85,0.474
264,Monmouth,CAA,105,121,70,0.473,0,0,0,0.000,105,121,70,0.473
265,Fresno St.,Mountain West,118,136,80,0.473,0,0,0,0.000,118,136,80,0.473
266,Navy,Patriot,126,144,68,0.473,0,0,0,0.000,126,144,68,0.473
267,UMass Lowell,America East,99,115,72,0.472,0,0,0,0.000,99,115,72,0.472
268,St. Bonaventure,Atlantic 10,115,133,69,0.472,0,0,0,0.000,115,133,69,0.472
269,Morehead St.,OVC,111,129,82,0.472,0,0,0,0.000,111,129,82,0.472
270,Richmond,Atlantic 10,124,142,57,0.472,0,0,0,0.000,124,142,57,0.472
271,Indiana St.,MVC,126,147,69,0.469,0,0,0,0.000,126,147,69,0.469
272,Loyola Maryland,Patriot,117,137,64,0.469,0,0,0,0.000,117,137,64,0.469
273,SFA,Southland,141,166,80,0.468,0,0,0,0.000,141,166,80,0.468
274,Towson,CAA,94,112,66,0.467,0,0,0,0.000,94,112,66,0.467
275,Elon,CAA,135,159,66,0.467,0,0,0,0.000,135,159,66,0.467
276,Southern Ill.,MVC,116,139,88,0.466,0,0,0,0.000,116,139,88,0.466
277,Temple,American,124,147,70,0.466,0,0,0,0.000,124,147,70,0.466
278,Drexel,CAA,105,126,72,0.465,0,0,0,0.000,105,126,72,0.465
279,Radford,Big South,95,114,65,0.465,0,0,0,0.000,95,114,65,0.465
280,Grand Canyon,Mountain West,103,126,92,0.464,0,0,0,0.000,103,126,92,0.464
281,Utah Tech,WAC,131,158,76,0.463,0,0,0,0.000,131,158,76,0.463
282,Nicholls,Southland,115,138,61,0.463,0,0,0,0.000,115,138,61,0.463
283,McNeese,Southland,125,151,79,0.463,0,0,0,0.000,125,151,79,0.463
284,FGCU,ASUN,113,136,60,0.463,0,0,0,0.000,113,136,60,0.463
285,Penn,Ivy League,88,106,52,0.463,0,0,0,0.000,88,106,52,0.463
286,St. Thomas (MN),Summit League,99,120,47,0.461,0,0,0,0.000,99,120,47,0.461
287,Eastern Wash.,Big Sky,108,135,92,0.460,0,0,0,0.000,108,135,92,0.460
288,Rider,MAAC,115,140,59,0.460,0,0,0,0.000,115,140,59,0.460
289,UNLV,Mountain West,113,141,84,0.459,0,0,0,0.000,113,141,84,0.459
290,Evansville,MVC,94,118,78,0.459,0,0,0,0.000,94,118,78,0.459
291,West Ga.,ASUN,128,156,57,0.459,0,0,0,0.000,128,156,57,0.459
292,Longwood,Big South,115,142,63,0.458,0,0,0,0.000,115,142,63,0.458
293,Grambling,SWAC,148,181,53,0.457,0,0,0,0.000,148,181,53,0.457
294,Mercer,SoCon,128,159,71,0.457,0,0,0,0.000,128,159,71,0.457
295,USC Upstate,Big South,118,147,63,0.456,0,0,0,0.000,118,147,63,0.456
296,Valparaiso,MVC,106,134,68,0.455,0,0,0,0.000,106,134,68,0.455
297,NJIT,America East,93,121,88,0.454,0,0,0,0.000,93,121,88,0.454
298,Western Ky.,CUSA,97,123,62,0.454,0,0,0,0.000,97,123,62,0.454
299,Niagara,MAAC,100,126,57,0.454,0,0,0,0.000,100,126,57,0.454
300,SIUE,OVC,124,158,78,0.453,0,0,0,0.000,124,158,78,0.453
301,Tarleton St.,WAC,132,166,61,0.453,0,0,0,0.000,132,166,61,0.453
302,IU Indy,Horizon,107,138,82,0.453,0,0,0,0.000,107,138,82,0.453
303,Oakland,Horizon,126,160,72,0.453,0,0,0,0.000,126,160,72,0.453
304,Purdue Fort Wayne,Horizon,103,132,73,0.453,0,0,0,0.000,103,132,73,0.453
305,Binghamton,America East,93,120,70,0.452,0,0,0,0.000,93,120,70,0.452
306,Toledo,MAC,110,142,70,0.450,0,0,0,0.000,110,142,70,0.450
307,Sacramento St.,Big Sky,101,134,90,0.449,0,0,0,0.000,101,134,90,0.449
308,Northwestern St.,Southland,124,162,77,0.448,0,0,0,0.000,124,162,77,0.448
309,Lindenwood,OVC,115,153,91,0.447,0,0,0,0.000,115,153,91,0.447
310,UT Martin,OVC,114,151,73,0.445,0,0,0,0.000,114,151,73,0.445
311,Stetson,ASUN,114,151,67,0.444,0,0,0,0.000,114,151,67,0.444
312,Iona,MAAC,113,151,71,0.443,0,0,0,0.000,113,151,71,0.443
313,Little Rock,OVC,106,141,60,0.443,0,0,0,0.000,106,141,60,0.443
314,Robert Morris,Horizon,101,137,71,0.442,0,0,0,0.000,101,137,71,0.442
315,New Haven,NEC,88,122,71,0.440,0,0,0,0.000,88,122,71,0.440
316,Charleston So.,Big South,103,141,58,0.437,0,0,0,0.000,103,141,58,0.437
317,Green Bay,Horizon,120,167,86,0.437,0,0,0,0.000,120,167,86,0.437
318,Wagner,NEC,112,156,77,0.436,0,0,0,0.000,112,156,77,0.436
319,Stonehill,NEC,95,135,84,0.436,0,0,0,0.000,95,135,84,0.436
320,Winthrop,Big South,98,135,48,0.434,0,0,0,0.000,98,135,48,0.434
321,FDU,NEC,108,153,80,0.434,0,0,0,0.000,108,153,80,0.434
322,Saint Peter's,MAAC,101,143,69,0.433,0,0,0,0.000,101,143,69,0.433
