rank,institution,conference,past_wins,past_losses,past_ties,past_pct,future_wins,future_losses,future_ties,future_pct,cumulative_wins,cumulative_losses,cumulative_ties,cumulative_pct
1,Michigan St.,Big Ten,285,110,87,0.682,0,0,0,0.000,285,110,87,0.682
2,Florida St.,ACC,255,105,74,0.673,0,0,0,0.000,255,105,74,0.673
3,Virginia,ACC,251,108,74,0.665,0,0,0,0.000,251,108,74,0.665
4,Kansas,Big 12,275,130,95,0.645,0,0,0,0.000,275,130,95,0.645
5,BYU,Big 12,262,123,94,0.645,0,0,0,0.000,262,123,94,0.645
6,Ohio St.,Big Ten,228,108,88,0.642,0,0,0,0.000,228,108,88,0.642
7,Clemson,ACC,200,97,69,0.641,0,0,0,0.000,200,97,69,0.641
8,Notre Dame,ACC,212,106,72,0.636,0,0,0,0.000,212,106,72,0.636
9,Penn St.,Big Ten,214,106,85,0.633,0,0,0,0.000,214,106,85,0.633
10,Virginia Tech,ACC,186,95,64,0.632,0,0,0,0.000,186,95,64,0.632
11,Pittsburgh,ACC,183,94,66,0.630,0,0,0,0.000,183,94,66,0.630
12,Alabama,SEC,230,120,75,0.629,0,0,0,0.000,230,120,75,0.629
13,Stanford,ACC,245,124,104,0.628,0,0,0,0.000,245,124,104,0.628
14,Colorado,Big 12,251,132,92,0.625,0,0,0,0.000,251,132,92,0.625
15,TCU,Big 12,249,134,88,0.622,0,0,0,0.000,249,134,88,0.622
16,Vanderbilt,SEC,241,129,91,0.621,0,0,0,0.000,241,129,91,0.621
17,LSU,SEC,249,136,81,0.621,0,0,0,0.000,249,136,81,0.621
18,Duke,ACC,233,127,87,0.619,0,0,0,0.000,233,127,87,0.619
19,Oklahoma St.,Big 12,189,104,73,0.616,0,0,0,0.000,189,104,73,0.616
20,Baylor,Big 12,227,125,93,0.615,0,0,0,0.000,227,125,93,0.615
21,Iowa,Big Ten,207,115,77,0.615,0,0,0,0.000,207,115,77,0.615
22,Northwestern,Big Ten,208,115,86,0.614,0,0,0,0.000,208,115,86,0.614
23,North Carolina,ACC,203,114,76,0.613,0,0,0,0.000,203,114,76,0.613
24,Tennessee,SEC,186,105,67,0.613,0,0,0,0.000,186,105,67,0.613
25,Missouri,SEC,175,101,53,0.612,0,0,0,0.000,175,101,53,0.612
26,Utah,Big 12,205,115,86,0.611,0,0,0,0.000,205,115,86,0.611
27,Wisconsin,Big Ten,220,124,92,0.610,0,0,0,0.000,220,124,92,0.610
28,Georgetown,Big East,211,119,87,0.610,0,0,0,0.000,211,119,87,0.610
29,Louisville,ACC,201,114,82,0.610,0,0,0,0.000,201,114,82,0.610
30,Arkansas,SEC,186,107,68,0.609,0,0,0,0.000,186,107,68,0.609
31,UCLA,Big Ten,205,117,84,0.608,0,0,0,0.000,205,117,84,0.608
32,Syracuse,ACC,165,95,66,0.607,0,0,0,0.000,165,95,66,0.607
33,Wake Forest,ACC,196,116,62,0.607,0,0,0,0.000,196,116,62,0.607
34,West Virginia,Big 12,207,122,76,0.605,0,0,0,0.000,207,122,76,0.605
35,Kansas St.,Big 12,167,96,74,0.605,0,0,0,0.000,167,96,74,0.605
36,Iowa St.,Big 12,164,97,63,0.603,0,0,0,0.000,164,97,63,0.603
37,Florida,SEC,171,103,59,0.602,0,0,0,0.000,171,103,59,0.602
38,Texas A&M,SEC,158,93,76,0.599,0,0,0,0.000,158,93,76,0.599
39,Washington,Big Ten,233,141,100,0.597,0,0,0,0.000,233,141,100,0.597
40,Yale,Ivy League,130,80,54,0.595,0,0,0,0.000,130,80,54,0.595
41,NC State,ACC,168,105,64,0.593,0,0,0,0.000,168,105,64,0.593
42,Miami (FL),ACC,170,109,57,0.591,0,0,0,0.000,170,109,57,0.591
43,Texas Tech,Big 12,199,129,78,0.586,0,0,0,0.000,199,129,78,0.586
44,Arizona,Big 12,176,113,78,0.586,0,0,0,0.000,176,113,78,0.586
45,Texas,SEC,153,99,64,0.585,0,0,0,0.000,153,99,64,0.585
46,Rutgers,Big Ten,142,92,59,0.585,0,0,0,0.000,142,92,59,0.585
47,SMU,ACC,165,109,60,0.584,0,0,0,0.000,165,109,60,0.584
48,Southern California,Big Ten,157,102,69,0.584,0,0,0,0.000,157,102,69,0.584
49,Xavier,Big East,192,125,84,0.584,0,0,0,0.000,192,125,84,0.584
50,UTSA,American,190,126,85,0.580,0,0,0,0.000,190,126,85,0.580
51,Auburn,SEC,172,117,56,0.580,0,0,0,0.000,172,117,56,0.580
52,San Francisco,WCC,148,96,86,0.579,0,0,0,0.000,148,96,86,0.579
53,Ga. Southern,Sun Belt,148,98,73,0.578,0,0,0,0.000,148,98,73,0.578
54,California,ACC,170,117,68,0.575,0,0,0,0.000,170,117,68,0.575
55,Dayton,Atlantic 10,195,135,72,0.575,0,0,0,0.000,195,135,72,0.575
56,South Carolina,SEC,176,122,68,0.574,0,0,0,0.000,176,122,68,0.574
