date,team,opponent,home_away,outcome,team_score,opponent_score,overtime,goals,assists,sh_att,so_g,fouls,red_cards,yellow_cards,corners,pk,pk_att,defensive_goals,defensive_assists,defensive_sh_att,defensive_so_g,defensive_fouls,defensive_red_cards,defensive_yellow_cards,defensive_corners,defensive_pk,defensive_pk_att,team_id
2019-08-31,Air Force Falcons,Army West Point,Away,Win,2,1,,2.0,1.0,10.0,6.0,8.0,,,3.0,,,1.0,,11.0,4.0,8.0,,1.0,11.0,,,721
2019-09-06,Air Force Falcons,Sacramento St.,Away,Loss,0,2,,,,8.0,4.0,12.0,,,5.0,,,2.0,1.0,12.0,6.0,20.0,,2.0,7.0,,,721
2019-09-08,Air Force Falcons,UC Davis,Away,Loss,0,2,,,,8.0,4.0,13.0,,2.0,6.0,,,2.0,2.0,24.0,6.0,6.0,,,7.0,,,721
2019-09-13,Air Force Falcons,Cal St. Fullerton,Away,Loss,2,3,1,2.0,1.0,13.0,7.0,9.0,,3.0,6.0,1.0,1.0,3.0,4.0,21.0,6.0,13.0,,1.0,6.0,,,721
2019-09-15,Air Force Falcons,UC Riverside,Away,Loss,1,2,,1.0,,5.0,1.0,6.0,,,3.0,,,2.0,1.0,19.0,8.0,11.0,,,5.0,,,721
2019-09-21,Air Force Falcons,Omaha,Home,Loss,1,2,,1.0,,21.0,8.0,8.0,,3.0,9.0,,,2.0,3.0,12.0,5.0,7.0,,3.0,4.0,,,721
2019-09-28,Air Force Falcons,Kansas City,Home,Win,4,1,,4.0,5.0,16.0,11.0,15.0,,3.0,1.0,,,1.0,1.0,10.0,4.0,14.0,,4.0,5.0,,,721
2019-10-04,Air Force Falcons,UIW,Away,Win,3,1,,3.0,1.0,10.0,7.0,9.0,,1.0,,1.0,1.0,1.0,1.0,9.0,4.0,10.0,,3.0,1.0,,,721
2019-10-06,Air Force Falcons,UTRGV,Away,Loss,0,2,,,,11.0,5.0,3.0,,1.0,4.0,,,2.0,3.0,5.0,5.0,3.0,,1.0,1.0,,,721
2019-10-09,Air Force Falcons,California Baptist,Home,Loss,1,2,1,1.0,2.0,22.0,11.0,6.0,,2.0,7.0,,,2.0,1.0,14.0,8.0,7.0,,1.0,6.0,,,721
2019-10-12,Air Force Falcons,CSU Bakersfield,Home,Win,6,0,,6.0,5.0,17.0,9.0,15.0,,4.0,3.0,,,,,7.0,4.0,5.0,,1.0,4.0,,,721
2019-10-19,Air Force Falcons,Houston Christian,Away,Win,3,1,,3.0,,10.0,5.0,8.0,,2.0,3.0,,,1.0,,8.0,1.0,9.0,,3.0,5.0,,,721
2019-10-25,Air Force Falcons,Seattle U,Away,Loss,1,2,,1.0,,11.0,4.0,11.0,,2.0,,1.0,1.0,2.0,4.0,24.0,12.0,10.0,,3.0,3.0,,1.0,721
2019-10-27,Air Force Falcons,San Jose St.,Away,Loss,0,2,,,,7.0,4.0,4.0,,1.0,9.0,,,2.0,1.0,12.0,8.0,4.0,,1.0,4.0,,,721
2019-10-31,Air Force Falcons,Grand Canyon,Home,Win,4,3,2,4.0,4.0,13.0,7.0,5.0,,,3.0,,,3.0,2.0,21.0,12.0,8.0,,,5.0,,,721
2019-11-02,Air Force Falcons,UNLV,Home,Win,3,2,,3.0,1.0,16.0,9.0,12.0,,,3.0,1.0,1.0,2.0,,15.0,6.0,11.0,,2.0,7.0,,,721
2019-11-09,Air Force Falcons,Utah Valley,Away,Loss,1,4,,1.0,2.0,10.0,5.0,8.0,,1.0,6.0,,,4.0,2.0,15.0,8.0,14.0,,1.0,3.0,1.0,1.0,721
2019-11-13,Air Force Falcons,Houston Christian,Home,Win,3,2,,3.0,3.0,23.0,9.0,13.0,,,9.0,,,2.0,,17.0,7.0,9.0,,,3.0,,,721
2019-11-15,Air Force Falcons,Utah Valley,Home,Draw,0,0,3,,,21.0,3.0,8.0,1.0,3.0,6.0,,,,,24.0,9.0,25.0,,3.0,9.0,,,721
2019-08-30,Akron Zips,Xavier,Away,Loss,0,2,,,,16.0,6.0,12.0,,1.0,6.0,,,2.0,1.0,7.0,4.0,8.0,,1.0,7.0,,,5
2019-09-02,Akron Zips,Stanford,Home,Loss,1,2,,1.0,2.0,12.0,8.0,14.0,,2.0,5.0,,,2.0,1.0,19.0,4.0,9.0,,1.0,11.0,1.0,1.0,5
2019-09-06,Akron Zips,Creighton,Away,Loss,1,2,,1.0,1.0,15.0,5.0,12.0,,2.0,11.0,,,2.0,3.0,13.0,8.0,8.0,,1.0,5.0,,,5
2019-09-13,Akron Zips,Maryland,Away,Loss,0,1,,,,9.0,2.0,17.0,,3.0,5.0,,,1.0,1.0,10.0,3.0,7.0,,1.0,7.0,,,5
2019-09-16,Akron Zips,Pittsburgh,Away,Loss,0,1,,,,6.0,4.0,11.0,,5.0,4.0,,,1.0,,18.0,7.0,6.0,,3.0,11.0,,,5
2019-09-21,Akron Zips,Marshall,Away,Loss,1,2,,1.0,2.0,11.0,5.0,12.0,,3.0,4.0,,,2.0,1.0,11.0,4.0,7.0,,1.0,3.0,1.0,1.0,5
2019-09-28,Akron Zips,Cornell,Home,Loss,2,3,2,2.0,2.0,12.0,3.0,17.0,,1.0,5.0,,,3.0,3.0,13.0,8.0,14.0,,1.0,6.0,,,5
2019-10-02,Akron Zips,VCU,Home,Win,2,0,,2.0,2.0,17.0,6.0,13.0,,2.0,9.0,,,,,8.0,2.0,10.0,,,4.0,,,5
2019-10-05,Akron Zips,FIU,Home,Draw,1,1,2,1.0,,22.0,7.0,16.0,,,8.0,1.0,1.0,1.0,2.0,10.0,2.0,18.0,,2.0,6.0,,,5
