date,team,opponent,home_away,outcome,team_score,opponent_score,overtime,goals,assists,sh_att,so_g,fouls,red_cards,yellow_cards,corners,pk,pk_att,defensive_goals,defensive_assists,defensive_sh_att,defensive_so_g,defensive_fouls,defensive_red_cards,defensive_yellow_cards,defensive_corners,defensive_pk,defensive_pk_att,team_id
2019-10-08,Akron Zips,Butler,Away,Loss,0,1,2,,,10.0,6.0,21.0,,2.0,9.0,,,1.0,1.0,17.0,6.0,12.0,,2.0,7.0,,,5
2019-10-12,Akron Zips,Bowling Green,Home,Win,2,1,,2.0,2.0,20.0,10.0,10.0,,2.0,9.0,,,1.0,,6.0,3.0,9.0,,1.0,3.0,,,5
2019-10-15,Akron Zips,Michigan St.,Home,Win,2,0,,2.0,,14.0,5.0,13.0,,1.0,8.0,,,,,10.0,1.0,11.0,,2.0,2.0,,,5
2019-10-20,Akron Zips,Western Mich.,Away,Draw,1,1,2,1.0,1.0,10.0,3.0,17.0,1.0,3.0,3.0,,,1.0,2.0,10.0,4.0,14.0,,2.0,3.0,,,5
2019-10-25,Akron Zips,SIUE,Home,Win,3,0,,3.0,4.0,17.0,6.0,12.0,,3.0,6.0,,,,,13.0,2.0,7.0,,1.0,3.0,,,5
2019-10-29,Akron Zips,Cleveland St.,Away,Loss,1,3,,1.0,1.0,22.0,10.0,14.0,,,14.0,,,3.0,3.0,10.0,5.0,9.0,,1.0,2.0,,,5
2019-11-02,Akron Zips,NIU,Home,Win,3,2,,3.0,4.0,31.0,12.0,13.0,,4.0,13.0,,,2.0,1.0,5.0,2.0,13.0,,2.0,1.0,1.0,1.0,5
2019-11-07,Akron Zips,West Virginia,Away,Win,1,0,,1.0,2.0,5.0,1.0,22.0,,2.0,7.0,,,,,12.0,4.0,9.0,,1.0,2.0,,,5
2019-11-15,Akron Zips,Bowling Green,Home,Loss,0,1,,,,20.0,6.0,12.0,1.0,,13.0,,,1.0,1.0,6.0,2.0,13.0,,1.0,5.0,,,5
2019-08-30,American Eagles,George Mason,Away,Loss,1,2,,1.0,2.0,8.0,3.0,13.0,1.0,,4.0,,,2.0,1.0,11.0,5.0,12.0,,4.0,1.0,1.0,1.0,23
2019-09-02,American Eagles,George Washington,Home,Draw,0,0,2,,,8.0,2.0,13.0,,,6.0,,,,,20.0,8.0,17.0,,1.0,12.0,,,23
2019-09-06,American Eagles,Campbell,Away,Loss,0,4,,,,4.0,,11.0,,,4.0,,,4.0,6.0,17.0,8.0,13.0,,3.0,8.0,,,23
2019-09-08,American Eagles,App State,Away,Loss,0,1,,,,10.0,2.0,15.0,,1.0,3.0,,,1.0,1.0,13.0,6.0,12.0,,,8.0,,,23
2019-09-13,American Eagles,California,Away,Loss,0,2,,,,3.0,2.0,6.0,,1.0,2.0,,,2.0,2.0,31.0,12.0,5.0,,,8.0,,,23
2019-09-15,American Eagles,Stanford,Away,Loss,0,3,,,,1.0,,10.0,,2.0,,,,3.0,5.0,25.0,11.0,15.0,,,10.0,,,23
2019-09-21,American Eagles,Lehigh,Home,Loss,1,2,,1.0,1.0,4.0,4.0,14.0,,1.0,3.0,,,2.0,3.0,10.0,5.0,15.0,,4.0,7.0,,,23
2019-09-27,American Eagles,Bucknell,Away,Draw,1,1,2,1.0,1.0,4.0,1.0,12.0,,1.0,3.0,,,1.0,2.0,19.0,4.0,11.0,,1.0,7.0,,,23
2019-10-02,American Eagles,Navy,Home,Loss,0,4,,,,5.0,1.0,14.0,,2.0,4.0,,1.0,4.0,4.0,6.0,5.0,12.0,,1.0,1.0,,,23
2019-10-06,American Eagles,Holy Cross,Away,Win,1,0,1,1.0,,9.0,4.0,10.0,,1.0,7.0,,,,,13.0,5.0,10.0,,2.0,10.0,,,23
2019-10-11,American Eagles,Boston U.,Home,Loss,1,2,,1.0,1.0,9.0,2.0,13.0,,1.0,1.0,,,2.0,1.0,11.0,8.0,10.0,,,7.0,,,23
2019-10-15,American Eagles,Mount St. Mary's,Away,Loss,1,4,,1.0,2.0,12.0,6.0,15.0,,,11.0,,,4.0,3.0,7.0,5.0,13.0,,2.0,1.0,1.0,1.0,23
2019-10-19,American Eagles,Lafayette,Away,Win,2,1,,2.0,2.0,3.0,3.0,9.0,,1.0,1.0,,,1.0,1.0,17.0,8.0,9.0,,1.0,9.0,,,23
2019-10-26,American Eagles,Colgate,Home,Loss,0,1,2,,,10.0,3.0,9.0,,,5.0,,,1.0,2.0,11.0,6.0,5.0,,2.0,5.0,,,23
2019-11-02,American Eagles,Army West Point,Home,Win,2,0,,2.0,,10.0,5.0,10.0,,,2.0,1.0,1.0,,,8.0,4.0,18.0,,,5.0,,,23
2019-11-06,American Eagles,Loyola Maryland,Away,Loss,0,1,,,,3.0,1.0,20.0,,2.0,,,,1.0,,13.0,7.0,14.0,,1.0,5.0,,,23
2019-08-30,App State Mountaineers,St. John's (NY),Home,Loss,0,2,,,,8.0,2.0,9.0,,3.0,5.0,,,2.0,1.0,18.0,8.0,12.0,,1.0,3.0,,,27
2019-09-01,App State Mountaineers,Loyola Maryland,Home,Win,2,1,,2.0,1.0,11.0,2.0,23.0,,1.0,2.0,,,1.0,,13.0,4.0,24.0,,4.0,3.0,,,27
2019-09-06,App State Mountaineers,George Mason,Home,Win,2,0,,2.0,2.0,9.0,3.0,9.0,,,4.0,,,,,20.0,5.0,10.0,,3.0,9.0,,,27
2019-09-08,App State Mountaineers,American,Home,Win,1,0,,1.0,1.0,13.0,6.0,12.0,,,8.0,,,,,10.0,2.0,15.0,,1.0,3.0,,,27
2019-09-14,App State Mountaineers,High Point,Home,Win,1,0,,1.0,1.0,10.0,2.0,23.0,,3.0,4.0,,,,,22.0,5.0,12.0,,2.0,8.0,,,27
2019-09-17,App State Mountaineers,Elon,Away,Loss,0,1,,,,9.0,2.0,8.0,1.0,3.0,2.0,,,1.0,,14.0,7.0,7.0,,2.0,6.0,,1.0,27
2019-09-21,App State Mountaineers,UNC Greensboro,Away,Win,4,2,,4.0,3.0,13.0,6.0,20.0,,2.0,2.0,,,2.0,1.0,11.0,3.0,16.0,,1.0,9.0,1.0,1.0,27
2019-09-25,App State Mountaineers,UNC Asheville,Home,Win,1,0,,1.0,2.0,15.0,6.0,7.0,,,8.0,,,,,5.0,1.0,13.0,,,3.0,,,27
2019-10-01,App State Mountaineers,ETSU,Home,Draw,1,1,2,1.0,1.0,16.0,6.0,19.0,,3.0,5.0,,,1.0,,22.0,9.0,19.0,,2.0,4.0,,,27
2019-10-06,App State Mountaineers,Central Ark.,Away,Win,1,0,,1.0,,5.0,2.0,8.0,,3.0,1.0,,,,,13.0,4.0,12.0,,,6.0,,,27
2019-10-12,App State Mountaineers,Howard,Home,Win,4,0,,4.0,6.0,21.0,11.0,4.0,,1.0,10.0,,,,,2.0,1.0,15.0,,1.0,2.0,,,27
2019-10-16,App State Mountaineers,UAB,Home,Win,2,1,2,2.0,1.0,21.0,7.0,11.0,,1.0,8.0,,,1.0,,10.0,5.0,13.0,,1.0,5.0,,,27
2019-10-19,App State Mountaineers,Coastal Carolina,Home,Loss,2,4,,2.0,3.0,12.0,4.0,5.0,,2.0,9.0,,,4.0,2.0,9.0,6.0,7.0,,1.0,5.0,,,27
2019-10-25,App State Mountaineers,Penn St.,Away,Loss,0,4,,,,5.0,,8.0,,,2.0,,,4.0,4.0,21.0,8.0,8.0,,,7.0,,1.0,27
2019-10-29,App State Mountaineers,North Carolina,Away,Win,1,0,,1.0,,5.0,2.0,6.0,,1.0,6.0,1.0,1.0,,,10.0,1.0,7.0,,2.0,7.0,,,27
2019-11-02,App State Mountaineers,Ga. Southern,Away,Loss,0,1,,,,9.0,2.0,4.0,,,5.0,,,1.0,1.0,9.0,3.0,14.0,,2.0,5.0,,,27
2019-11-09,App State Mountaineers,Georgia St.,Home,Loss,0,3,,,,14.0,5.0,12.0,,2.0,7.0,,,3.0,1.0,10.0,3.0,11.0,,,1.0,,,27
2019-11-13,App State Mountaineers,Howard,Home,Win,3,0,,3.0,2.0,15.0,9.0,7.0,,,8.0,1.0,1.0,,,8.0,1.0,7.0,,1.0,6.0,,,27
2019-11-15,App State Mountaineers,Coastal Carolina,Home,Loss,1,2,,1.0,1.0,12.0,4.0,10.0,,2.0,4.0,,,2.0,1.0,10.0,5.0,15.0,,4.0,8.0,,,27
2019-08-31,Army West Point Black Knights,Air Force,Home,Loss,1,2,,1.0,,11.0,4.0,8.0,,1.0,11.0,,,2.0,1.0,10.0,6.0,8.0,,,3.0,,,725
2019-09-06,Army West Point Black Knights,Siena,Home,Win,2,1,1,2.0,3.0,19.0,8.0,15.0,,2.0,10.0,,,1.0,1.0,11.0,5.0,11.0,,2.0,8.0,,,725
2019-09-13,Army West Point Black Knights,Columbia,Away,Draw,1,1,2,1.0,1.0,9.0,5.0,19.0,,1.0,4.0,,,1.0,2.0,15.0,8.0,9.0,,,9.0,,,725
2019-09-17,Army West Point Black Knights,Mount St. Mary's,Home,Win,1,0,,1.0,,17.0,9.0,12.0,,,11.0,1.0,1.0,,,8.0,1.0,11.0,,,5.0,,,725
2019-09-21,Army West Point Black Knights,Loyola Maryland,Away,Loss,0,4,,,,13.0,5.0,13.0,,2.0,3.0,,1.0,4.0,5.0,15.0,7.0,20.0,,,5.0,1.0,1.0,725
2019-09-24,Army West Point Black Knights,Fairfield,Home,Loss,0,1,,,,12.0,7.0,15.0,,2.0,8.0,,,1.0,1.0,10.0,2.0,15.0,,3.0,2.0,,,725
2019-09-28,Army West Point Black Knights,Colgate,Home,Loss,0,1,,,,12.0,5.0,20.0,,1.0,9.0,,,1.0,,5.0,2.0,14.0,,1.0,5.0,,,725
2019-10-02,Army West Point Black Knights,Lafayette,Away,Loss,0,5,,,,7.0,1.0,12.0,,1.0,5.0,,,5.0,6.0,12.0,8.0,16.0,,2.0,3.0,,,725
2019-10-05,Army West Point Black Knights,Lehigh,Away,Draw,0,0,2,,,10.0,2.0,12.0,,4.0,4.0,,,,,15.0,2.0,16.0,,1.0,7.0,,,725
2019-10-11,Army West Point Black Knights,Navy,Home,Draw,1,1,2,1.0,,18.0,3.0,16.0,,,4.0,1.0,1.0,1.0,,6.0,5.0,15.0,,1.0,3.0,,,725
2019-10-15,Army West Point Black Knights,St. Bonaventure,Home,Loss,2,3,,2.0,3.0,17.0,8.0,12.0,,1.0,10.0,,,3.0,3.0,8.0,5.0,12.0,,1.0,4.0,,,725
2019-10-20,Army West Point Black Knights,Holy Cross,Home,Win,6,1,,6.0,4.0,11.0,7.0,13.0,,1.0,8.0,1.0,1.0,1.0,,6.0,4.0,18.0,,3.0,3.0,,,725
2019-10-26,Army West Point Black Knights,Bucknell,Away,Draw,0,0,2,,,14.0,4.0,18.0,,4.0,6.0,,1.0,,,7.0,3.0,20.0,,1.0,5.0,,,725
2019-10-29,Army West Point Black Knights,Seton Hall,Away,Win,2,1,,2.0,3.0,11.0,6.0,14.0,,,5.0,,,1.0,1.0,14.0,5.0,10.0,,,6.0,,,725
2019-11-02,Army West Point Black Knights,American,Away,Loss,0,2,,,,8.0,4.0,18.0,,,5.0,,,2.0,,10.0,5.0,10.0,,,2.0,1.0,1.0,725
2019-11-06,Army West Point Black Knights,Boston U.,Home,Win,2,1,1,2.0,3.0,11.0,5.0,12.0,,,6.0,,,1.0,2.0,10.0,3.0,13.0,,2.0,4.0,,,725
2019-08-30,Belmont Bruins,Bradley,Away,Draw,0,0,2,,,8.0,,15.0,,2.0,5.0,,,,,14.0,5.0,18.0,,1.0,7.0,,,14927
2019-09-02,Belmont Bruins,Georgia St.,Away,Loss,1,3,,1.0,1.0,12.0,6.0,11.0,,1.0,4.0,,,3.0,2.0,15.0,5.0,9.0,,1.0,3.0,,,14927
2019-09-06,Belmont Bruins,San Diego St.,Away,Loss,1,2,,1.0,,7.0,5.0,24.0,,3.0,8.0,,,2.0,2.0,17.0,5.0,18.0,,2.0,3.0,,,14927
2019-09-08,Belmont Bruins,San Diego,Away,Loss,0,3,,,,6.0,3.0,10.0,,1.0,5.0,,,3.0,5.0,10.0,6.0,9.0,,,6.0,,,14927
2019-09-13,Belmont Bruins,Purdue Fort Wayne,Away,Loss,1,2,,1.0,,12.0,4.0,20.0,,2.0,6.0,1.0,1.0,2.0,1.0,12.0,4.0,17.0,,2.0,4.0,,,14927
2019-09-17,Belmont Bruins,Memphis,Home,Loss,0,2,,,,2.0,,8.0,,,5.0,,,2.0,2.0,7.0,2.0,10.0,,,6.0,,,14927
2019-09-21,Belmont Bruins,Presbyterian,Home,Win,2,0,,2.0,3.0,11.0,7.0,9.0,,1.0,2.0,,,,,12.0,6.0,13.0,,,4.0,,,14927
2019-09-24,Belmont Bruins,Eastern Ill.,Away,Loss,2,3,1,2.0,2.0,12.0,8.0,24.0,,,,,,3.0,3.0,11.0,7.0,14.0,,,5.0,,,14927
2019-09-28,Belmont Bruins,Faulkner,Home,Win,4,1,,4.0,4.0,18.0,9.0,10.0,,2.0,5.0,1.0,1.0,1.0,1.0,7.0,4.0,17.0,,1.0,6.0,,,14927
2019-10-01,Belmont Bruins,Louisville,Away,Loss,0,3,,,,2.0,,12.0,,2.0,,,,3.0,2.0,23.0,11.0,8.0,,,13.0,,,14927
2019-10-12,Belmont Bruins,Wofford,Home,Draw,3,3,2,3.0,4.0,17.0,10.0,21.0,,4.0,5.0,,,3.0,2.0,17.0,9.0,16.0,,1.0,4.0,,,14927
2019-10-15,Belmont Bruins,UNC Greensboro,Home,Loss,1,2,,1.0,,9.0,5.0,22.0,,,3.0,,,2.0,1.0,12.0,6.0,18.0,,1.0,5.0,1.0,1.0,14927
2019-10-26,Belmont Bruins,VMI,Away,Win,3,1,,3.0,1.0,19.0,10.0,12.0,,1.0,7.0,,,1.0,,7.0,4.0,16.0,,2.0,3.0,,,14927
2019-10-29,Belmont Bruins,ETSU,Home,Loss,0,1,2,,,10.0,5.0,12.0,,,4.0,,,1.0,1.0,9.0,4.0,8.0,,,5.0,,,14927
2019-10-31,Belmont Bruins,Mercer,Away,Loss,0,2,,,,4.0,1.0,15.0,,1.0,2.0,,,2.0,2.0,12.0,3.0,11.0,,2.0,5.0,,,14927
2019-11-02,Belmont Bruins,Furman,Away,Loss,1,2,,1.0,,3.0,1.0,8.0,,,,1.0,1.0,2.0,1.0,17.0,5.0,6.0,,,7.0,1.0,1.0,14927
2019-11-05,Belmont Bruins,VMI,Home,Win,4,0,,4.0,6.0,23.0,13.0,7.0,,,5.0,,,,,9.0,4.0,10.0,1.0,2.0,8.0,,,14927
2019-11-08,Belmont Bruins,ETSU,Home,Win,2,0,,2.0,2.0,11.0,6.0,14.0,,1.0,3.0,1.0,1.0,,,13.0,3.0,11.0,,1.0,5.0,,,14927
2019-11-10,Belmont Bruins,UNC Greensboro,Away,Loss,2,3,1,2.0,2.0,7.0,4.0,19.0,,3.0,6.0,,,3.0,2.0,20.0,9.0,13.0,,1.0,8.0,1.0,1.0,14927
2019-08-30,Binghamton Bearcats,Drexel,Home,Win,2,1,1,2.0,,15.0,10.0,12.0,,,4.0,,,1.0,,15.0,4.0,11.0,,1.0,6.0,,,62
2019-09-02,Binghamton Bearcats,Syracuse,Away,Loss,1,3,,1.0,,8.0,3.0,9.0,,4.0,5.0,,,3.0,3.0,24.0,12.0,9.0,,3.0,9.0,,,62
2019-09-06,Binghamton Bearcats,Canisius,Home,Loss,1,2,,1.0,,22.0,9.0,6.0,,,5.0,,,2.0,2.0,5.0,3.0,19.0,,1.0,,,,62
2019-09-10,Binghamton Bearcats,Rutgers,Away,Loss,2,3,,2.0,1.0,13.0,9.0,12.0,,1.0,3.0,,,3.0,2.0,15.0,7.0,8.0,,,6.0,,,62
2019-09-14,Binghamton Bearcats,Iona,Away,Loss,0,3,,,,11.0,5.0,19.0,,1.0,6.0,,,3.0,4.0,20.0,7.0,15.0,,1.0,8.0,,,62
2019-09-17,Binghamton Bearcats,Lehigh,Home,Win,2,1,1,2.0,1.0,8.0,4.0,16.0,,,6.0,,,1.0,1.0,9.0,5.0,14.0,,,6.0,,,62
2019-09-21,Binghamton Bearcats,Monmouth,Home,Draw,0,0,2,,,17.0,2.0,19.0,,2.0,8.0,,,,,11.0,8.0,12.0,,,3.0,,,62
2019-09-27,Binghamton Bearcats,New Hampshire,Away,Loss,0,2,,,,5.0,3.0,16.0,,1.0,4.0,,,2.0,2.0,18.0,6.0,8.0,,2.0,8.0,,,62
2019-10-05,Binghamton Bearcats,UMass Lowell,Home,Loss,0,1,,,,10.0,5.0,14.0,,2.0,3.0,,,1.0,1.0,5.0,2.0,9.0,,6.0,5.0,,,62
2019-10-08,Binghamton Bearcats,Columbia,Home,Win,2,1,,2.0,,9.0,4.0,9.0,,1.0,3.0,,,1.0,1.0,7.0,3.0,7.0,,1.0,5.0,,,62
2019-10-12,Binghamton Bearcats,Vermont,Away,Loss,0,4,,,,8.0,2.0,10.0,,3.0,3.0,,,4.0,5.0,13.0,9.0,16.0,,1.0,3.0,,,62
2019-10-19,Binghamton Bearcats,Stony Brook,Away,Win,3,2,,3.0,2.0,14.0,8.0,9.0,,,4.0,,,2.0,1.0,6.0,3.0,8.0,,2.0,5.0,,,62
2019-10-22,Binghamton Bearcats,Bucknell,Away,Draw,1,1,2,1.0,1.0,14.0,5.0,15.0,,2.0,6.0,,1.0,1.0,1.0,14.0,3.0,11.0,,,10.0,,,62
2019-10-26,Binghamton Bearcats,UMBC,Home,Win,1,0,,1.0,2.0,8.0,7.0,10.0,,,3.0,,,,,12.0,7.0,15.0,,1.0,8.0,,,62
2019-10-29,Binghamton Bearcats,Hofstra,Away,Draw,2,2,2,2.0,,15.0,7.0,19.0,,1.0,2.0,,,2.0,1.0,14.0,5.0,13.0,,,8.0,1.0,1.0,62
2019-11-02,Binghamton Bearcats,Hartford,Away,Loss,0,1,,,,18.0,11.0,12.0,,1.0,8.0,,,1.0,1.0,7.0,2.0,11.0,,,2.0,,,62
2019-11-06,Binghamton Bearcats,UAlbany,Home,Win,1,0,,1.0,1.0,2.0,1.0,13.0,,,2.0,,,,,4.0,2.0,5.0,,,4.0,,,62
2019-11-09,Binghamton Bearcats,Hartford,Away,Loss,0,2,,,,17.0,4.0,12.0,,,6.0,,,2.0,2.0,15.0,6.0,12.0,,2.0,4.0,,,62
2019-08-29,Boston College Eagles,Quinnipiac,Home,Win,2,0,,2.0,3.0,15.0,6.0,11.0,,,6.0,,,,,10.0,3.0,9.0,,,5.0,,,67
2019-09-01,Boston College Eagles,Boston U.,Away,Win,1,0,,1.0,,17.0,6.0,16.0,,,8.0,,,,,9.0,5.0,16.0,,2.0,2.0,,,67
2019-09-06,Boston College Eagles,Rhode Island,Home,Win,2,1,,2.0,,23.0,10.0,14.0,,1.0,7.0,,,1.0,1.0,10.0,1.0,10.0,,,2.0,,,67
2019-09-10,Boston College Eagles,Holy Cross,Away,Win,3,2,,3.0,2.0,9.0,4.0,13.0,,2.0,8.0,,,2.0,2.0,4.0,3.0,11.0,,3.0,2.0,,,67
2019-09-14,Boston College Eagles,NC State,Away,Loss,0,1,,,,7.0,1.0,10.0,,2.0,2.0,,,1.0,1.0,9.0,5.0,9.0,,1.0,4.0,,,67
2019-09-20,Boston College Eagles,Pittsburgh,Home,Loss,0,2,,,,9.0,4.0,15.0,,3.0,4.0,,,2.0,2.0,14.0,6.0,17.0,,2.0,4.0,,,67
2019-09-24,Boston College Eagles,Massachusetts,Home,Win,1,0,,1.0,,17.0,6.0,6.0,,1.0,2.0,1.0,1.0,,,13.0,3.0,14.0,,1.0,5.0,,,67
2019-09-27,Boston College Eagles,Virginia Tech,Away,Draw,2,2,2,2.0,1.0,11.0,5.0,15.0,1.0,1.0,5.0,,,2.0,2.0,18.0,7.0,13.0,,1.0,4.0,,,67
2019-10-01,Boston College Eagles,Merrimack,Home,Draw,0,0,2,,,15.0,5.0,12.0,,,11.0,,,,,12.0,2.0,17.0,,,6.0,,,67
2019-10-04,Boston College Eagles,Wake Forest,Home,Win,2,1,,2.0,1.0,8.0,5.0,14.0,,6.0,3.0,,,1.0,1.0,18.0,6.0,10.0,,2.0,8.0,,,67
2019-10-08,Boston College Eagles,Northeastern,Home,Win,3,0,,3.0,4.0,14.0,5.0,12.0,,2.0,7.0,,,,,10.0,1.0,5.0,,1.0,2.0,,,67
2019-10-11,Boston College Eagles,Virginia,Home,Draw,1,1,2,1.0,,3.0,1.0,14.0,,3.0,1.0,,,1.0,2.0,21.0,10.0,12.0,,1.0,14.0,,,67
2019-10-18,Boston College Eagles,Louisville,Away,Loss,2,3,2,2.0,2.0,4.0,3.0,13.0,,1.0,,,,3.0,2.0,19.0,11.0,12.0,,1.0,9.0,,,67
2019-10-25,Boston College Eagles,Clemson,Away,Loss,1,3,,1.0,,11.0,3.0,8.0,,2.0,5.0,1.0,1.0,3.0,2.0,27.0,9.0,10.0,,,6.0,,,67
2019-11-01,Boston College Eagles,Syracuse,Home,Win,2,1,,2.0,2.0,12.0,6.0,10.0,1.0,1.0,4.0,,,1.0,,16.0,6.0,19.0,1.0,2.0,6.0,,,67
2019-11-05,Boston College Eagles,Notre Dame,Away,Loss,1,2,2,1.0,,10.0,3.0,20.0,,3.0,5.0,,,2.0,1.0,16.0,5.0,8.0,,1.0,12.0,,,67
2019-11-21,Boston College Eagles,Yale,Home,Win,3,0,,3.0,2.0,13.0,7.0,5.0,,,2.0,,,,,12.0,6.0,11.0,,2.0,4.0,,,67
2019-11-24,Boston College Eagles,Washington,Away,Loss,0,2,,,,5.0,3.0,15.0,1.0,4.0,,,,2.0,3.0,24.0,8.0,8.0,,2.0,17.0,,,67
2019-08-29,Boston U. Terriers,New Hampshire,Away,Loss,0,1,,,,5.0,2.0,14.0,,2.0,3.0,,,1.0,1.0,16.0,11.0,7.0,,1.0,4.0,,,68
2019-09-01,Boston U. Terriers,Boston College,Home,Loss,0,1,,,,9.0,5.0,16.0,,2.0,2.0,,,1.0,,17.0,6.0,16.0,,,8.0,,,68
2019-09-07,Boston U. Terriers,Massachusetts,Away,Loss,0,1,,,,10.0,2.0,11.0,,,7.0,,,1.0,,11.0,2.0,16.0,,2.0,2.0,,,68
