date,team1,indicator,team2,score,location,attendance
10/10/2025,Navy,vs.,Army West Point,0-4,"Chester, PA","11,363"
12/12/2025,Washington,vs.,Furman,3-1,"Cary, NC","10,945"
12/12/2025,Saint Louis,vs.,NC State,1-2,"Cary, NC","10,945"
12/15/2025,Washington,vs.,NC State,3-2,"Cary, NC","10,316"
10/18/2025,UC Santa Barbara,@,Cal Poly,1-0,,"9,543"
09/27/2025,Cal Poly,@,UC Santa Barbara,0-0,,"7,447"
08/26/2025,South Carolina,@,Clemson,1-4,,"6,536"
08/21/2025,Clemson,@,Indiana,2-2,,"6,395"
09/09/2025,Winthrop,@,South Carolina,1-5,,"5,856"
10/24/2025,Indiana,@,Maryland,2-3,,"5,580"
09/05/2025,Charlotte,@,South Carolina,1-2,,"5,549"
10/25/2025,Vermont,@,Bryant,2-1,,"5,430"
08/29/2025,Bucknell,@,Maryland,2-2,,"5,085"
09/05/2025,North Carolina,@,NC State,0-0,,"5,083"
11/23/2025,West Virginia,@,High Point,2-3,,"4,913"
11/12/2025,UCLA,@,Maryland,2-0,,"4,876"
10/03/2025,Penn St.,@,Michigan St.,2-1,,"4,861"
08/24/2025,Massachusetts,@,UConn,1-1,,"4,712"
09/27/2025,Villanova,@,UConn,2-1,,"4,712"
09/13/2025,Michigan,@,Indiana,3-2,,"4,652"
09/27/2025,La Salle,@,Saint Louis,1-2,,"4,472"
09/02/2025,FIU,@,South Carolina,2-3,,"4,393"
12/05/2025,Furman,@,Portland,1-0,,"4,252"
09/23/2025,Queens (NC),@,South Carolina,0-1,,"4,206"
10/10/2025,Michigan,@,Maryland,0-2,,"4,107"
08/29/2025,USC Upstate,@,South Carolina,2-1,,"4,098"
08/24/2025,SMU,@,Saint Louis,0-1,,"4,097"
12/06/2025,Washington,@,Maryland,3-1,,"4,054"
09/13/2025,Oral Roberts,@,Creighton,0-3,,"4,053"
09/16/2025,North Florida,@,South Carolina,2-0,,"4,052"
08/21/2025,UC Riverside,@,Michigan St.,0-2,,"4,025"
09/10/2025,Omaha,@,Creighton,2-3,,"3,895"
09/19/2025,Georgia St.,@,South Carolina,2-2,,"3,875"
10/04/2025,UCF,@,South Carolina,2-0,,"3,800"
09/05/2025,Denver,@,Creighton,0-2,,"3,673"
10/17/2025,Duke,@,Clemson,0-3,,"3,629"
08/31/2025,Oregon St.,@,Indiana,0-2,,"3,516"
11/16/2025,Dayton,@,Saint Louis,1-1,,"3,495"
09/27/2025,Gonzaga,@,Portland,0-3,,"3,445"
08/21/2025,UCF,@,North Carolina,1-3,,"3,430"
08/29/2025,UAB,@,Clemson,0-6,,"3,422"
09/21/2025,Grand Canyon,@,UC Santa Barbara,1-1,,"3,417"
09/26/2025,UCLA,@,Indiana,2-4,,"3,377"
09/13/2025,Harvard,@,UConn,1-1,,"3,375"
08/25/2025,Saint Peter's,@,UMBC,0-1,,"3,281"
10/17/2025,Washington,@,Rutgers,2-0,,"3,276"
