rank,institution,conference,accum_attendance,avg_attendance,stadium_capacity,pct_capacity,games
1,Maryland,Big Ten,"43,065","3,313","7,000",47.32,13
2,South Carolina,Sun Belt,"41,714","3,792","5,700",66.53,11
3,Indiana,Big Ten,"36,735","3,061","6,100",50.18,12
4,Vermont,America East,"33,150","2,763","2,600",106.25,12
5,Clemson,ACC,"29,518","2,460","6,000",41.00,12
6,Portland,WCC,"27,614","1,972","4,892",40.32,14
7,UConn,Big East,"27,025","2,457","4,500",54.60,11
8,NC State,ACC,"26,212","1,747","2,000",87.37,15
9,Saint Louis,Atlantic 10,"24,865","1,776","6,050",29.36,14
10,Marshall,Sun Belt,"23,618","2,147","1,006",213.43,11
11,UC Santa Barbara,Big West,"23,462","2,133","17,000",12.55,11
12,Creighton,Big East,"21,803","2,725","7,500",36.34,8
13,Michigan St.,Big Ten,"20,127","2,236","2,500",89.45,9
14,Akron,Big East,"19,477","1,623","5,000",32.46,12
15,Cal Poly,Big West,"17,073","1,897","11,075",17.13,9
16,Stanford,ACC,"17,016","1,215","1,900",63.97,14
17,North Carolina,ACC,"16,902","1,537","4,200",36.58,11
18,Washington,Big Ten,"16,548","2,069","2,200",94.02,8
19,Georgetown,Big East,"16,088","1,149","1,625",70.72,14
20,High Point,Big South,"16,031","1,781","1,100",161.93,9
21,Wake Forest,ACC,"15,932","1,328","3,000",44.26,12
22,Michigan,Big Ten,"15,913","1,326","2,200",60.28,12
23,Virginia,ACC,"15,017","1,251","8,000",15.64,12
24,West Virginia,Sun Belt,"14,607","1,217","1,650",73.77,12
25,Notre Dame,ACC,"13,946","1,162","3,500",33.20,12
26,Furman,SoCon,"13,554","1,043","3,000",34.75,13
27,Syracuse,ACC,"13,174","1,198","1,500",79.84,11
28,Ohio St.,Big Ten,"13,044","1,449","4,518",32.08,9
29,SMU,ACC,"13,039","1,185","2,577",46.00,11
30,Bryant,America East,"11,701","1,064","4,400",24.18,11
31,Utah Valley,WAC,"11,478","1,275","3,000",42.51,9
32,UMBC,America East,"11,376","1,422","1,500",94.80,8
33,UNC Greensboro,SoCon,"10,911","1,091","3,270",33.37,10
34,Virginia Tech,ACC,"10,414","1,157","2,028",57.06,9
35,Kentucky,Sun Belt,"9,721",810,"1,500",54.01,12
36,Pittsburgh,ACC,"9,562",956,735,130.10,10
37,Penn St.,Big Ten,"8,924",892,"5,000",17.85,10
38,Grand Canyon,WAC,"8,626",719,"6,000",11.98,12
39,Providence,Big East,"8,498","1,062","2,500",42.49,8
40,Princeton,Ivy League,"8,468",770,"2,356",32.67,11
41,UNCW,CAA,"8,369","1,196","1,500",79.70,7
42,UC Irvine,Big West,"8,361",697,"2,500",27.87,12
43,George Mason,Atlantic 10,"8,154","1,019","5,000",20.39,8
44,Denver,Summit League,"8,138",740,"1,915",38.63,11
45,Duke,ACC,"7,716",643,"4,000",16.08,12
46,San Diego,WCC,"7,595",690,"5,792",11.92,11
47,Charlotte,American,"7,592",844,"4,000",21.09,9
48,Rutgers,Big Ten,"7,511",939,"5,000",18.78,8
49,Oregon St.,WCC,"7,423",928,"1,500",61.86,8
50,UCLA,Big Ten,"7,365",921,"2,145",42.92,8
51,New Hampshire,America East,"7,336",815,"11,015",7.40,9
52,Louisville,ACC,"7,328",814,"5,300",15.36,9
53,Army West Point,Patriot,"7,268",661,"2,000",33.04,11
54,Navy,Patriot,"6,829",569,"1,500",37.94,12
55,Harvard,Ivy League,"6,769",677,"2,500",27.08,10
56,California Baptist,WAC,"6,767",752,"1,000",75.19,9
57,Butler,Big East,"6,688",669,"5,647",11.84,10
58,South Fla.,American,"6,618",662,"3,000",22.06,10
59,St. John's (NY),Big East,"6,520",652,"2,168",30.07,10
60,Seton Hall,Big East,"6,453",538,"1,800",29.88,12
61,Davidson,Atlantic 10,"6,327",633,"2,000",31.64,10
62,Cornell,Ivy League,"6,134",682,"1,000",68.16,9
63,San Jose St.,WAC,"6,058",865,"1,000",86.54,7
64,San Diego St.,WAC,"5,618",562,"1,250",44.94,10
