conference,all,division_i,division_ii,division_iii,non_member
ACC,105-30-33,105-30-33,,,
America East,29-31-26,28-31-26,,1-0,
American,50-40-16,47-40-16,3-0,,
ASUN,43-50-19,40-50-19,1-0,1-0,1-0
Atlantic 10,56-44-26,55-44-26,1-0,,
Big 12,98-31-27,96-31-27,2-0,,
Big East,44-33-17,44-33-17,,,
Big Sky,34-39-24,30-39-24,3-0,,1-0
Big South,26-42-19,21-42-19,5-0,,
Big Ten,89-45-25,88-45-25,1-0,,
Big West,37-41-30,37-41-30,,,
CAA,43-32-31,40-32-31,3-0,,
CUSA,47-56-21,45-56-21,1-0,,1-0
DI Independent,2-14,1-13,1-1,,
Horizon,28-58-12,24-58-12,1-0,1-0,2-0
Ivy League,29-26-18,28-26-18,,1-0,
MAAC,28-36-20,27-36-20,1-0,,
MAC,38-37-17,38-37-17,,,
Mountain West,44-48-27,42-47-26,2-1-1,,
MVC,40-33-24,36-33-24,,,4-0
NEC,12-56-22,12-56-21,0-0-1,,
OVC,20-62-22,19-62-22,,,1-0
Patriot,35-40-23,34-40-23,,1-0,
SEC,88-44-20,88-44-20,,,
SoCon,47-44-14,45-44-14,,,2-0
Southland,35-49-19,32-49-19,,,3-0
Summit League,45-36-17,34-36-17,7-0,,4-0
Sun Belt,53-42-15,49-42-15,2-0,,2-0
SWAC,21-63-12,17-61-9,1-2,2-0,1-0-3
WAC,24-27-12,23-27-12,,1-0,
WCC,34-33-25,33-33-25,1-0,,
