season,team,team_id,full_name,roster_name,first_name,last_name,yr,pos,number,ht,gp,gs,goals,assists,sh_att,so_g,fouls,red_cards,yellow_cards,corners,pk,pk_att,gwg
2025,American Eagles,23,Colin O'Brien,Colin O'Brien,Colin,O'Brien,So,F,9,61,14,5,1,NA,9,5,6,NA,NA,NA,NA,NA,NA
2025,American Eagles,23,Moad Ezzahir,Moad Ezzahir,Moad,Ezzahir,So,M,12,511,14,1,NA,2,4,1,3,NA,NA,NA,NA,NA,NA
2025,American Eagles,23,Nicholas Beil,Nicholas Beil,Nicholas,Beil,Fr,F,4,64,13,0,2,NA,11,3,10,NA,1,NA,NA,NA,NA
2025,American Eagles,23,Finn O'Brien,Finn O'Brien,Finn,O'Brien,Fr,D,13,60,12,6,NA,3,3,2,9,NA,1,NA,NA,NA,NA
2025,American Eagles,23,Patryk Rojek,Patryk Rojek,Patryk,Rojek,So,F,11,511,11,1,NA,NA,4,1,3,1,1,NA,NA,NA,NA
2025,American Eagles,23,Paulino Paz,Paulino Paz,Paulino,Paz,So,M,20,60,9,0,NA,NA,1,NA,3,NA,1,NA,NA,NA,NA
2025,American Eagles,23,Javi Gonzalez,Javi Gonzalez,Javi,Gonzalez,So,M,27,59,7,2,NA,1,NA,NA,5,NA,1,NA,NA,NA,NA
2025,American Eagles,23,Mason Miller,Mason Miller,Mason,Miller,Fr,D,15,60,5,4,NA,NA,NA,NA,7,1,1,NA,NA,NA,NA
2025,American Eagles,23,Tim Schliemann,Tim Schliemann,Tim,Schliemann,Sr,M,8,510,5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2025,American Eagles,23,Rex-Emmanuel Cobbina,Rex-Emmanuel Cobbina,Rex-Emmanuel,Cobbina,So,D,3,510,3,2,NA,NA,1,1,3,NA,NA,NA,NA,NA,NA
2025,American Eagles,23,Evan Tubbs,Evan Tubbs,Evan,Tubbs,Fr,GK,31,60,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2025,Army West Point Black Knights,725,Ronald Zhai,Ronald Zhai,Ronald,Zhai,So,M,21,60,18,16,2,2,20,8,14,NA,1,NA,1,1,NA
2025,Army West Point Black Knights,725,Jack De Simone,Jack De Simone,Jack,De Simone,Fr,F,19,61,18,6,5,1,19,10,16,NA,2,NA,1,1,2
2025,Army West Point Black Knights,725,Kelly Cooper,Kelly Cooper,Kelly,Cooper,Jr,D,5,65,18,18,2,NA,8,3,9,NA,2,NA,NA,NA,1
2025,Army West Point Black Knights,725,Miles Hadley,Miles Hadley,Miles,Hadley,So,D,22,60,18,18,1,NA,8,4,12,NA,2,NA,NA,NA,NA
2025,Army West Point Black Knights,725,Nicholas Berardi,Nicholas Berardi,Nicholas,Berardi,Fr,D,18,61,18,13,NA,4,2,1,5,NA,NA,NA,NA,NA,NA
2025,Army West Point Black Knights,725,Riley Cullum,Riley Cullum,Riley,Cullum,Jr,M,7,57,18,11,2,1,19,5,15,NA,1,NA,NA,NA,NA
2025,Army West Point Black Knights,725,Sean Adu-Gyamfi,Sean Adu-Gyamfi,Sean,Adu-Gyamfi,Sr,M,28,62,17,5,NA,1,4,2,10,NA,3,NA,NA,NA,NA
2025,Army West Point Black Knights,725,Kasem Minzey,Kasem Minzey,Kasem,Minzey,So,D,2,59,17,9,1,NA,14,4,6,NA,2,NA,NA,NA,NA
2025,Army West Point Black Knights,725,Jubril Bamgbala,Jubril Bamgbala,Jubril,Bamgbala,Jr,F,10,61,17,17,5,NA,36,16,35,1,1,NA,NA,NA,1
2025,Army West Point Black Knights,725,Jack Kryger,Jack Kryger,Jack,Kryger,So,F,23,62,16,2,3,NA,7,4,11,NA,1,NA,NA,NA,2
2025,Army West Point Black Knights,725,Michael Guiry,Michael Guiry,Michael,Guiry,So,GK,1,65,15,14,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA
2025,Army West Point Black Knights,725,Jack Meyer,Jack Meyer,Jack,Meyer,Sr,M,17,510,15,15,NA,4,9,1,26,NA,6,NA,NA,NA,NA
2025,Army West Point Black Knights,725,Justin Davidyock,Justin Davidyock,Justin,Davidyock,So,M,16,62,14,7,1,NA,8,4,5,NA,1,NA,NA,NA,NA
