season,team,team_id,full_name,roster_name,first_name,last_name,yr,pos,number,ht,gp,gs,goals,assists,sh_att,so_g,fouls,red_cards,yellow_cards,corners,pk,pk_att,gwg
2025,Binghamton Bearcats,62,Dmitri Tulloch,Dmitri Tulloch,Dmitri,Tulloch,Jr,M,17,510,14,4,NA,NA,4,1,6,NA,1,NA,NA,NA,NA
2025,Binghamton Bearcats,62,Marcus Nahim,Marcus Nahim,Marcus,Nahim,Jr,FM,27,510,13,4,1,NA,5,3,10,NA,NA,NA,NA,NA,NA
2025,Binghamton Bearcats,62,Ryan Conti,Ryan Conti,Ryan,Conti,So,M,20,59,12,3,NA,1,4,1,7,NA,1,NA,NA,NA,NA
2025,Binghamton Bearcats,62,Anthony Randazzo,Anthony Randazzo,Anthony,Randazzo,Jr,F,14,60,12,10,5,NA,19,6,14,1,1,NA,1,1,2
2025,Binghamton Bearcats,62,Ramsey Tilgner,Ramsey Tilgner,Ramsey,Tilgner,Sr,D,2,511,11,0,NA,NA,NA,NA,4,NA,1,NA,NA,NA,NA
2025,Binghamton Bearcats,62,Daniel Shannon,Daniel Shannon,Daniel,Shannon,N/A,GK,31,62,8,8,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
2025,Binghamton Bearcats,62,Jack Root,Jack Root,Jack,Root,Sr,GK,1,62,7,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2025,Binghamton Bearcats,62,kevaughn harris,kevaughn harris,kevaughn,harris,Jr,F,9,63,5,4,2,NA,7,4,4,1,1,NA,NA,NA,NA
2025,Binghamton Bearcats,62,Henry Topp,Henry Topp,Henry,Topp,Fr,F,18,62,4,0,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
2025,Binghamton Bearcats,62,Cailen Thomas,Cailen Thomas,Cailen,Thomas,Sr,D,13,66,4,0,NA,NA,1,NA,5,NA,NA,NA,NA,NA,NA
2025,Binghamton Bearcats,62,Jasper Cox,Jasper Cox,Jasper,Cox,Fr,M,16,58,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2025,Binghamton Bearcats,62,Connor Cresswell,Connor Cresswell,Connor,Cresswell,So,GK,32,59,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2025,Boston College Eagles,67,Jack Burkhardt,Jack Burkhardt,Jack,Burkhardt,Jr,MD,23,60,17,17,1,2,14,3,13,NA,2,NA,1,1,1
2025,Boston College Eagles,67,Ask Ekeland,Ask Ekeland,Ask,Ekeland,Sr,M,7,63,17,13,5,4,46,14,15,NA,3,NA,1,1,3
2025,Boston College Eagles,67,Ziad Abdul-Malak,Ziad Abdul-Malak,Ziad,Abdul-Malak,Sr,M,8,510,17,10,1,2,19,9,12,NA,NA,NA,NA,NA,NA
2025,Boston College Eagles,67,Fynn Henze,Fynn Henze,Fynn,Henze,Fr,D,5,62,17,16,NA,NA,1,NA,9,NA,1,NA,NA,NA,NA
2025,Boston College Eagles,67,CJ Williams,CJ Williams,CJ,Williams,Sr,D,25,62,16,15,1,1,3,3,3,1,3,NA,NA,NA,NA
2025,Boston College Eagles,67,Russell Brown,Russell Brown,Russell,Brown,Jr,F,17,62,16,6,2,5,29,12,23,NA,3,NA,NA,NA,1
2025,Boston College Eagles,67,Dylan Mafong,Dylan Mafong,Dylan,Mafong,So,M,29,59,15,7,2,NA,15,8,13,NA,2,NA,NA,NA,NA
2025,Boston College Eagles,67,Bryan Toro,Bryan Toro,Bryan,Toro,So,D,6,60,15,4,2,1,7,2,10,NA,4,NA,NA,NA,NA
2025,Boston College Eagles,67,Johannes Hanken Tjostheim,Johannes Hanken Tjostheim,Johannes,Hanken Tjostheim,Sr,F,77,62,15,7,8,NA,20,14,6,NA,NA,NA,NA,NA,2
2025,Boston College Eagles,67,Aidan Farwell,Aidan Farwell,Aidan,Farwell,Sr,M,32,60,15,7,NA,2,4,1,13,NA,2,NA,NA,NA,NA
2025,Boston College Eagles,67,Andrej Borak,Andrej Borak,Andrej,Borak,Fr,GK,35,65,14,14,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA
2025,Boston College Eagles,67,Michael Asare,Michael Asare,Michael,Asare,So,F,14,60,14,12,3,NA,17,12,12,NA,3,NA,NA,NA,NA
