rank,team,conference,overall_wlt,overall_pct,overall_strk,conference_wlt,conference_pct,conference_strk,home_wlt,home_pct,home_strk,road_wlt,road_pct,road_strk,neutral_wlt,neutral_pct,neutral_strk,non_division_wlt,non_division_pct,non_division_strk
1,Princeton,Ivy League,15-2-2,0.842,L1,7-0,1.000,W11,8-2-1,0.773,L1,7-0-1,0.938,W2,0-0,0.000,W1,0-0,0.000,L1
2,Bryant,America East,17-2-3,0.841,T1,6-1,0.857,L1,8-1-2,0.818,T1,9-1-1,0.864,L1,0-0,0.000,L1,0-0,0.000,T1
3,Vermont,America East,14-1-5,0.825,L1,6-0-1,0.929,W6,9-1-2,0.833,L1,5-0-3,0.813,W3,0-0,0.000,W1,0-0,0.000,W1
4,Furman,SoCon,16-2-5,0.804,L1,4-0-1,0.900,W6,10-1-2,0.846,T1,5-0-2,0.857,W4,1-1-1,0.500,L1,1-0,1.000,W5
5,Portland,WCC,14-2-4,0.800,L1,6-1-2,0.778,W3,12-1-1,0.893,L1,2-1-3,0.583,W1,0-0,0.000,W1,1-0,1.000,W2
6,High Point,Big South,14-2-4,0.800,L1,7-0,1.000,W9,8-0-1,0.944,W7,6-2-3,0.682,L1,0-0,0.000,L1,0-0,0.000,W3
7,Delaware,Summit League,12-2-3,0.794,L1,3-1-2,0.667,L1,8-0,1.000,W8,4-2-3,0.611,L1,0-0,0.000,T1,1-0,1.000,W2
8,Maryland,Big Ten,13-2-4,0.789,L1,8-0-2,0.900,L2,9-2-2,0.769,L1,4-0-2,0.833,W2,0-0,0.000,L1,0-0,0.000,W5
9,NC State,ACC,16-3-4,0.783,L1,4-1-3,0.688,L1,10-2-3,0.767,W2,5-0-1,0.917,W4,1-1,0.500,L1,0-0,0.000,W2
10,Gardner-Webb,Big South,13-3-2,0.778,L1,5-1-1,0.786,L1,4-2-1,0.643,W1,8-1-1,0.850,L1,1-0,1.000,W1,0-0,0.000,W4
11,San Diego,WCC,13-3-3,0.763,L1,7-1-1,0.833,W6,9-1-1,0.864,L1,4-2-1,0.643,W2,0-0-1,0.500,T1,0-0,0.000,
12,Virginia,ACC,12-2-5,0.763,T1,5-0-3,0.813,L1,8-0-4,0.833,T1,3-1-1,0.700,W3,1-1,0.500,L1,0-0,0.000,W3
13,Lindenwood,OVC,14-3-4,0.762,L1,6-2-2,0.700,T1,9-0-3,0.875,T1,5-3-1,0.611,L2,0-0,0.000,L1,1-0,1.000,W3
14,Stanford,ACC,14-4-2,0.750,L1,5-2-1,0.688,L1,11-2-1,0.821,L1,3-2-1,0.583,L1,0-0,0.000,L1,0-0,0.000,
15,Cornell,Ivy League,14-4-2,0.750,L1,5-1-1,0.786,L1,7-1-1,0.833,W4,6-3-1,0.650,L2,1-0,1.000,W1,0-0,0.000,L2
16,Ga. Southern,Sun Belt,13-4-1,0.750,L1,6-3,0.667,L1,6-2-1,0.722,L1,7-2,0.778,W3,0-0,0.000,L2,0-0,0.000,L1
17,Georgetown,Big East,14-4-4,0.727,L1,6-0-2,0.875,W2,9-3-2,0.714,L1,3-1-2,0.667,T1,2-0,1.000,W4,0-0,0.000,W1
18,Hofstra,CAA,14-5-1,0.725,T1,7-1,0.875,L1,6-3,0.667,L1,8-2-1,0.773,T1,0-0,0.000,W2,0-0,0.000,L1
19,Fla. Atlantic,American,12-4-2,0.722,L1,5-1-2,0.750,W2,7-0-2,0.889,T2,3-4,0.429,L1,2-0,1.000,W2,1-0,1.000,T1
