date,team1,indicator,team2,score,location,attendance,extra_periods
11/03/2025,Baylor,vs.,Texas Tech,1-1,"Fort Worth, TX",0,3
11/09/2025,Sacred Heart,@,Canisius,0-0,,693,3
11/09/2025,Notre Dame,vs.,Stanford,2-2,"Cary, NC","1,257",3
11/02/2025,Delaware,vs.,Sam Houston,1-1,"Lynchburg, VA",282,3
11/06/2025,Longwood,vs.,USC Upstate,1-1,"Matthews, NC",330,3
11/09/2025,High Point,vs.,USC Upstate,1-1,"Matthews, NC",412,3
11/04/2025,A&M-Corpus Christi,vs.,SFA,1-1,"Beaumont, TX",213,3
11/08/2025,California Baptist,@,Utah Valley,2-2,,"1,345",3
11/14/2025,Utah St.,@,BYU,1-1,,"3,566",3
11/01/2025,Fordham,@,Duquesne,1-1,,424,3
11/20/2025,West Virginia,@,Georgetown,1-1,,834,3
11/15/2025,Kentucky,@,Louisville,1-1,,"1,016",3
11/06/2025,UTSA,vs.,Memphis,3-3,"Lakewood Ranch, FL",319,3
11/02/2025,Elon,@,UNCW,0-0,,656,3
11/03/2025,BYU,@,TCU,2-2,,"1,022",3
11/07/2025,Idaho,@,Montana,2-2,,978,3
10/30/2025,North Ala.,vs.,Jacksonville,0-0,"Nashville, TN",132,3
11/09/2025,Michigan St.,vs.,Washington,1-1,"St. Louis, MO",787,3
11/06/2025,South Fla.,vs.,Rice,0-0,"Lakewood Ranch, FL",279,3
11/09/2025,Maine,@,Vermont,2-2,,"1,036",3
11/01/2025,Kent St.,vs.,Ball St.,0-0,"Columbus, OH",423,3
11/09/2025,Rhode Island,@,Dayton,0-0,,572,3
11/09/2025,UIC,@,Illinois St.,0-0,,345,3
11/24/2025,North Carolina,@,TCU,1-1,,"1,684",3
11/03/2025,James Madison,vs.,Texas St.,1-1,"Foley, AL",53,3
