institution,conference,all,division_i,division_ii,division_iii,non_member
Air Force,WAC,1-7-2,1-7-1,0-0-1,,
Akron,Big East,8-3-2,8-3-2,,,
American,Patriot,1-7-1,1-7-1,,,
Army West Point,Patriot,2-3-4,2-3-4,,,
Bellarmine,ASUN,5-3-3,4-3-3,,1-0,
Belmont,MVC,5-1-4,5-1-4,,,
Binghamton,America East,4-6,4-6,,,
Boston College,ACC,6-3,4-3,1-0,1-0,
Boston U.,Patriot,5-4,5-4,,,
Bowling Green,MVC,4-4-2,4-4-2,,,
Bradley,MVC,2-4-4,1-4-4,,1-0,
Brown,Ivy League,4-3-1,4-3-1,,,
Bryant,America East,11-1-3,11-1-3,,,
Bucknell,Patriot,5-2-2,5-2-2,,,
Butler,Big East,3-6,3-6,,,
Cal Poly,Big West,4-4-3,4-4-3,,,
Cal St. Fullerton,Big West,3-3-5,3-3-5,,,
California,ACC,6-3-1,6-3-1,,,
California Baptist,WAC,6-2-2,5-2-2,,1-0,
Campbell,CAA,6-4-2,5-4-2,,1-0,
Canisius,MAAC,2-3-1,2-3-1,,,
Central Ark.,ASUN,1-8-1,1-8-1,,,
Central Conn. St.,NEC,0-7-1,0-7-1,,,
Charlotte,American,3-3-2,3-3-2,,,
Chicago St.,NEC,0-8,0-8,,,
Clemson,ACC,4-4-1,4-4-1,,,
Cleveland St.,Horizon,4-3-3,4-3-3,,,
Coastal Carolina,Sun Belt,1-3-1,1-3-1,,,
Col. of Charleston,CAA,3-5-1,3-5-1,,,
Colgate,Patriot,4-3-1,4-3-1,,,
Columbia,Ivy League,2-3-3,2-3-3,,,
Cornell,Ivy League,9-3-1,9-3-1,,,
Creighton,Big East,4-2-2,4-2-2,,,
CSU Bakersfield,Big West,0-7-1,0-7-1,,,
CSUN,Big West,5-1-3,4-1-3,1-0,,
Dartmouth,Ivy League,1-3-3,1-3-3,,,
Davidson,Atlantic 10,5-5-1,4-5-1,,1-0,
Dayton,Atlantic 10,4-1-5,3-1-5,,1-0,
Delaware,Summit League,9-1-1,8-1-1,,1-0,
Denver,Summit League,8-6-2,8-6-2,,,
DePaul,Big East,2-2-5,2-2-5,,,
Detroit Mercy,Horizon,3-5-1,3-5-1,,,
Drake,MVC,5-1-4,4-1-4,,,1-0
Drexel,CAA,2-1-5,2-1-5,,,
Duke,ACC,6-2-4,5-2-4,,1-0,
Duquesne,Atlantic 10,6-0-2,5-0-2,1-0,,
Eastern Ill.,OVC,1-5-1,1-5-1,,,
Elon,CAA,5-2-4,5-2-4,,,
ETSU,SoCon,0-6-4,0-5-4,0-1,,
Evansville,MVC,4-4-5,4-4-5,,,
Fairfield,MAAC,3-4-1,3-4-1,,,
FDU,NEC,6-4-2,6-4-2,,,
FGCU,ASUN,4-4-2,3-4-2,,,1-0
FIU,American,3-5-3,3-5-3,,,
Fla. Atlantic,American,7-3,6-3,,,1-0
Fordham,Atlantic 10,3-5-2,3-5-2,,,
Furman,SoCon,12-2-4,11-2-4,1-0,,
Ga. Southern,Sun Belt,7-1-1,7-1-1,,,
Gardner-Webb,Big South,8-2-1,8-2-1,,,
George Mason,Atlantic 10,3-4-1,3-4-1,,,
George Washington,Atlantic 10,2-4-3,2-4-3,,,
Georgetown,Big East,8-4-2,8-4-2,,,
Georgia St.,Sun Belt,2-4-3,2-4-3,,,
Gonzaga,WCC,3-3-1,2-3-1,,,1-0
Grand Canyon,WAC,11-3-2,10-3-2,,,1-0
Green Bay,Horizon,4-4-1,4-4-1,,,
Harvard,Ivy League,4-3-3,4-3-3,,,
High Point,Big South,7-2-4,7-2-4,,,
Hofstra,CAA,7-4-1,7-4-1,,,
Holy Cross,Patriot,3-3-3,2-3-3,,1-0,
Houston Christian,OVC,6-2-1,6-2-1,,,
Howard,NEC,2-6-1,1-6-1,1-0,,
Indiana,Big Ten,7-1-1,6-1-1,,1-0,
Iona,MAAC,3-3-2,3-3-2,,,
IU Indy,Horizon,3-3-2,3-3-2,,,
Jacksonville,ASUN,4-5-3,3-5-3,,,1-0
James Madison,Sun Belt,1-4-2,1-4-2,,,
Kansas City,Summit League,8-3-4,8-3-4,,,
Kentucky,Sun Belt,3-3-4,3-3-4,,,
La Salle,Atlantic 10,2-3-4,1-3-4,,1-0,
Lafayette,Patriot,5-5-3,5-5-3,,,
Le Moyne,NEC,1-7,1-7,,,
Lehigh,Patriot,4-4-3,4-4-3,,,
Liberty,OVC,5-3-2,4-3-2,,1-0,
Lindenwood,OVC,8-1-2,7-1-2,,1-0,
Lipscomb,ASUN,1-7-3,1-7-3,,,
LIU,NEC,3-2-4,3-2-4,,,
LMU (CA),WCC,4-3-2,4-3-2,,,
Longwood,Big South,2-4-3,2-4-2,0-0-1,,
Louisville,ACC,4-2-3,4-2-3,,,
Loyola Chicago,Atlantic 10,3-2-3,2-2-3,,,1-0
Loyola Maryland,Patriot,1-5-1,1-5-1,,,
Manhattan,MAAC,1-4-1,0-4-1,,1-0,
Marist,MAAC,4-0-2,4-0-2,,,
Marquette,Big East,6-0-2,5-0-2,,1-0,
Marshall,Sun Belt,6-2-4,6-2-4,,,
Maryland,Big Ten,5-2-2,5-2-2,,,
Massachusetts,Summit League,5-2-4,5-2-4,,,
Memphis,American,1-3-3,1-3-3,,,
Mercer,SoCon,2-8-3,1-8-3,,1-0,
Mercyhurst,NEC,0-5-3,0-5-3,,,
Merrimack,MAAC,2-3-1,2-3-1,,,
Michigan,Big Ten,6-2-2,6-2-2,,,
Michigan St.,Big Ten,3-3,3-3,,,
Milwaukee,Horizon,1-6-3,1-6-3,,,
Missouri St.,American,3-3-2,3-3-2,,,
Monmouth,CAA,3-5,3-5,,,
Mount St. Mary's,MAAC,0-3-4,0-3-4,,,
Navy,Patriot,3-2-4,3-2-4,,,
NC State,ACC,12-2-1,12-2-1,,,
New Hampshire,America East,2-5-4,2-5-4,,,
New Haven,NEC,2-2-3,2-2-3,,,
Niagara,MAAC,3-3,3-3,,,
NIU,MVC,5-4-1,4-4-1,,,1-0
NJIT,America East,2-5-3,2-5-3,,,
North Carolina,ACC,7-3-2,7-3-2,,,
North Florida,ASUN,8-3-2,7-3-2,,,1-0
Northeastern,CAA,2-2-3,2-2-3,,,
Northern Ky.,Horizon,2-5-1,1-5-1,,,1-0
Northwestern,Big Ten,5-1-1,5-1-1,,,
Notre Dame,ACC,6-4-2,5-4-2,,1-0,
Oakland,Horizon,0-6-3,0-6-3,,,
Ohio St.,Big Ten,3-3,3-3,,,
Old Dominion,Sun Belt,4-2-3,3-2-3,,1-0,
Omaha,Summit League,2-6-2,2-6-2,,,
Oral Roberts,Summit League,3-7-1,3-7-1,,,
Oregon St.,WCC,4-4,4-4,,,
Pacific,WCC,3-6,3-6,,,
Penn,Ivy League,5-3-2,5-3-2,,,
Penn St.,Big Ten,4-2-1,3-2-1,,1-0,
Pittsburgh,ACC,5-3-2,5-3-2,,,
Portland,WCC,8-1-2,7-1-2,,1-0,
Presbyterian,Big South,4-5-4,3-5-4,1-0,,
Princeton,Ivy League,8-2-2,8-2-2,,,
Providence,Big East,2-5-1,2-5-1,,,
Purdue Fort Wayne,Horizon,3-1-4,2-1-4,,1-0,
Queens (NC),ASUN,5-4-2,5-4-2,,,
Quinnipiac,MAAC,2-5-1,1-5-1,1-0,,
Radford,Big South,1-7-2,1-7-2,,,
Rhode Island,Atlantic 10,2-5-2,2-5-2,,,
Rider,MAAC,1-5-1,1-5-1,,,
Robert Morris,Horizon,3-3-2,3-3-2,,,
Rutgers,Big Ten,5-1-1,5-1-1,,,
Sacramento St.,Big West,1-6-2,1-6-2,,,
Sacred Heart,MAAC,2-4-2,2-4-2,,,
Saint Francis,NEC,1-7-1,1-7-1,,,
Saint Joseph's,Atlantic 10,3-5-2,3-5-2,,,
Saint Louis,Atlantic 10,8-3-5,8-3-5,,,
Saint Mary's (CA),WCC,0-3-4,0-3-4,,,
Saint Peter's,MAAC,2-3-1,2-3-1,,,
San Diego,WCC,6-2-2,6-2-2,,,
San Diego St.,WAC,4-7,3-7,,,1-0
San Francisco,WCC,5-2-1,5-2-1,,,
San Jose St.,WAC,9-2-2,9-2-2,,,
Santa Clara,WCC,3-2-4,3-2-4,,,
Seattle U,WCC,2-3-3,2-3-3,,,
Seton Hall,Big East,4-3-4,4-3-4,,,
Siena,MAAC,3-4-2,3-4-2,,,
SIUE,OVC,2-7,2-7,,,
SMU,ACC,8-3-1,8-3-1,,,
South Carolina,Sun Belt,6-3,6-3,,,
South Fla.,American,4-1-4,4-1-4,,,
Southern Ind.,OVC,1-6,0-6,,1-0,
St. Bonaventure,Atlantic 10,2-4-1,2-4-1,,,
St. John's (NY),Big East,6-3-2,5-3-2,,1-0,
St. Thomas (MN),Summit League,6-2-3,5-2-3,1-0,,
Stanford,ACC,9-2-1,9-2-1,,,
Stetson,ASUN,4-5-2,3-5-2,,,1-0
Stonehill,NEC,2-7,2-7,,,
Stony Brook,CAA,5-2-4,4-2-4,,1-0,
Syracuse,ACC,5-5-2,5-5-2,,,
Temple,American,1-5-2,1-5-2,,,
Tulsa,American,2-6-2,2-6-2,,,
UAB,American,3-3-1,3-3-1,,,
UAlbany,America East,2-4-4,2-4-4,,,
UC Davis,Big West,0-6-4,0-6-4,,,
UC Irvine,Big West,7-4-1,6-4-1,1-0,,
UC Riverside,Big West,2-3-3,2-3-3,,,
UC San Diego,Big West,0-7-2,0-7-2,,,
UC Santa Barbara,Big West,3-5-3,3-5-3,,,
UCF,Sun Belt,7-4-1,7-4-1,,,
UCLA,Big Ten,3-3-3,3-3-3,,,
UConn,Big East,7-3-3,7-3-3,,,
UIC,MVC,8-2-1,8-2-1,,,
UIW,OVC,4-2-2,3-2-2,,,1-0
UMass Lowell,America East,5-4-2,5-4-2,,,
UMBC,America East,4-3-3,4-3-3,,,
UNC Asheville,Big South,4-4-1,4-4-1,,,
UNC Greensboro,SoCon,9-3-6,9-3-6,,,
UNCW,CAA,1-5-2,1-5-2,,,
UNLV,WAC,3-4-2,3-4-2,,,
USC Upstate,Big South,3-8-1,3-8-1,,,
Utah Tech,WAC,1-6-3,1-6-3,,,
Utah Valley,WAC,6-1-1,6-1-1,,,
UTRGV,DI Independent,1-7-2,0-7-2,1-0,,
VCU,Atlantic 10,3-4-2,3-4-2,,,
Vermont,America East,8-1-4,8-1-4,,,
Villanova,Big East,5-3-2,4-3-2,1-0,,
Virginia,ACC,7-2-2,7-2-2,,,
Virginia Tech,ACC,5-1-2,5-1-2,,,
VMI,SoCon,2-8-3,1-8-2,0-0-1,1-0,
Wake Forest,ACC,5-1-3,5-1-3,,,
Washington,Big Ten,9-3-2,9-3-2,,,
West Virginia,Sun Belt,6-3-3,6-3-3,,,
Western Ill.,OVC,2-8,2-7,0-1,,
Western Mich.,MVC,6-8-1,5-8-1,,1-0,
William & Mary,CAA,1-4-3,1-4-3,,,
Winthrop,Big South,0-7-2,0-7-2,,,
Wisconsin,Big Ten,4-2,3-2,,1-0,
Wofford,SoCon,5-7-2,5-7-2,,,
Wright St.,Horizon,0-6-1,0-6-1,,,
Xavier,Big East,4-2-1,4-2-1,,,
Yale,Ivy League,1-5-2,1-5-2,,,
