rank,team,conference,overall_wlt,overall_pct,overall_strk,conference_wlt,conference_pct,conference_strk,home_wlt,home_pct,home_strk,road_wlt,road_pct,road_strk,neutral_wlt,neutral_pct,neutral_strk,non_division_wlt,non_division_pct,non_division_strk
1,Ohio St.,Big Ten,16-2-4,0.818,L1,7-1-2,0.800,W3,10-0-4,0.857,W1,5-1,0.833,W2,1-1,0.500,L1,0-0,0.000,W1
2,San Diego,WCC,15-3-2,0.800,L1,7-1,0.875,W1,7-3-2,0.667,L1,8-0,1.000,W9,0-0,0.000,L2,0-0,0.000,
3,Vermont,America East,16-2-6,0.792,W1,4-1-2,0.714,W2,8-0-4,0.833,W3,7-2-1,0.750,W4,1-0-1,0.750,W1,0-0,0.000,W1
4,Dayton,Atlantic 10,14-3-3,0.775,L1,5-1-2,0.750,W7,9-3-1,0.731,L1,3-0-2,0.800,W2,2-0,1.000,W2,0-0,0.000,
5,Clemson,ACC,15-3-4,0.773,L1,5-2-1,0.688,L1,12-1,0.923,W11,2-2-3,0.500,L1,1-0-1,0.750,T1,0-0,0.000,W2
6,Marshall,Sun Belt,15-2-7,0.771,L1,4-0-5,0.722,T1,11-0-3,0.893,W4,3-1-4,0.625,W1,1-1,0.500,L1,0-0,0.000,W5
7,Penn,Ivy League,14-4-1,0.763,L2,7-0,1.000,L1,9-2,0.818,L2,5-2-1,0.688,W3,0-0,0.000,L1,0-0,0.000,L2
8,Denver,Summit League,15-3-5,0.761,T1,7-1,0.875,L1,9-1-1,0.864,W3,6-2-3,0.682,W3,0-0-1,0.500,T4,0-0,0.000,W1
9,West Virginia,Sun Belt,13-2-7,0.750,L1,5-0-4,0.778,T1,9-0-4,0.846,W1,4-2-3,0.611,L1,0-0,0.000,L1,0-0,0.000,L1
10,George Mason,Atlantic 10,13-4-1,0.750,L1,6-1-1,0.813,L1,8-2,0.800,L1,5-2-1,0.688,T1,0-0,0.000,L1,0-0,0.000,W3
11,Cornell,Ivy League,13-4-2,0.737,L1,5-2,0.714,L1,8-1,0.889,W3,5-2-2,0.667,L1,0-1,0.000,L1,0-0,0.000,L2
12,UNC Greensboro,SoCon,10-2-5,0.735,T1,3-1-1,0.700,T1,8-0-2,0.900,T1,2-2-3,0.500,W1,0-0,0.000,L2,0-0,0.000,W1
13,Rider,MAAC,14-5-1,0.725,L1,6-1-1,0.813,L1,8-0-1,0.944,W3,6-5,0.545,L1,0-0,0.000,T1,0-0,0.000,W1
14,Gardner-Webb,Big South,13-4-3,0.725,L1,5-0-2,0.857,W3,6-0-2,0.875,W1,7-4-1,0.625,L1,0-0,0.000,L4,1-0,1.000,W4
15,Missouri St.,MVC,12-4-2,0.722,L2,7-0-1,0.938,L1,6-3-1,0.650,L2,5-1-1,0.786,W3,1-0,1.000,W2,0-0,0.000,W2
16,SMU,ACC,12-3-6,0.714,L1,4-2-2,0.625,T1,9-2-5,0.719,L1,3-1-1,0.700,W2,0-0,0.000,L1,0-0,0.000,W7
17,Western Mich.,MVC,12-3-6,0.714,L1,3-1-4,0.625,L1,9-1-3,0.808,W1,3-2-3,0.563,L2,0-0,0.000,L2,1-0,1.000,W4
18,Hofstra,CAA,14-5-2,0.714,L1,5-3,0.625,W4,8-1-1,0.850,L1,5-4-1,0.550,W1,1-0,1.000,W2,0-0,0.000,L1
19,Charlotte,The American,11-3-5,0.711,L1,3-2-2,0.571,W3,5-0-2,0.857,W1,4-3-3,0.550,L2,2-0,1.000,W3,0-0,0.000,
20,High Point,Big South,11-4-2,0.706,L1,6-1,0.857,L1,6-2-1,0.722,L1,5-2-1,0.688,W5,0-0,0.000,L1,0-0,0.000,W3
21,Duquesne,Atlantic 10,11-4-2,0.706,L1,5-2-1,0.688,L1,8-1-1,0.850,L1,3-3-1,0.500,L1,0-0,0.000,W2,1-0,1.000,W4
22,Kansas City,Summit League,14-5-3,0.705,L1,5-2-1,0.688,W2,5-2-1,0.688,W3,9-3-2,0.714,L1,0-0,0.000,L1,1-0,1.000,W2
23,Massachusetts,Atlantic 10,13-4-5,0.705,L1,5-2-1,0.688,T1,6-2-2,0.700,W1,7-2-3,0.708,L1,0-0,0.000,L1,0-0,0.000,W4
24,Pittsburgh,ACC,14-6,0.700,L1,6-2,0.750,L2,9-4,0.692,L1,5-2,0.714,L1,0-0,0.000,L2,0-0,0.000,L2
25,Seattle U,WAC,12-4-4,0.700,T1,7-1-1,0.833,W6,5-1-1,0.786,W3,5-3-3,0.591,T1,2-0,1.000,W2,0-0,0.000,L1
26,Monmouth,CAA,8-2-6,0.688,T1,4-1-3,0.688,T1,6-0-2,0.875,W5,2-2-3,0.500,L1,0-0-1,0.500,T1,0-0,0.000,W3
27,Duke,ACC,11-4-4,0.684,L2,4-1-3,0.688,L1,6-3-2,0.636,L2,5-0-2,0.857,W3,0-1,0.000,L9,1-0,1.000,W3
28,SIUE,OVC,12-5-3,0.675,L1,8-1-1,0.850,W5,8-1-1,0.850,W7,3-3-2,0.500,L1,1-1,0.500,W1,0-0,0.000,W3
29,Akron,Big East,12-5-4,0.667,L1,7-0-1,0.938,L1,9-3-1,0.731,W8,3-1-3,0.643,L1,0-1,0.000,L2,0-0,0.000,W1
30,Providence,Big East,13-6-3,0.659,L1,5-1-2,0.750,L1,7-2-2,0.727,W3,5-3-1,0.611,L1,1-1,0.500,L1,0-0,0.000,L1
31,UC Santa Barbara,Big West,12-5-5,0.659,T1,4-2-3,0.611,L1,7-1-3,0.773,L1,5-4-2,0.545,T1,0-0,0.000,L1,0-0,0.000,
32,FDU,NEC,10-4-5,0.658,T1,5-2-1,0.688,T1,6-2-2,0.700,T1,4-2-3,0.611,W2,0-0,0.000,L1,0-0,0.000,L1
33,Iona,MAAC,11-5-3,0.658,L1,6-1-1,0.813,W7,7-1-1,0.833,W5,4-4-2,0.500,L1,0-0,0.000,L1,0-0,0.000,T1
34,Bowling Green,MVC,12-6-2,0.650,L1,4-3-1,0.563,L1,8-0-1,0.944,W2,3-5-1,0.389,L4,1-1,0.500,L1,0-0,0.000,W1
