rank,team,conference,overall_wlt,overall_pct,overall_strk,conference_wlt,conference_pct,conference_strk,home_wlt,home_pct,home_strk,road_wlt,road_pct,road_strk,neutral_wlt,neutral_pct,neutral_strk,non_division_wlt,non_division_pct,non_division_strk
35,South Carolina,Sun Belt,10-5-2,0.647,L1,5-4,0.556,L1,7-2-2,0.727,W2,3-2,0.600,L1,0-1,0.000,L6,0-0,0.000,W2
36,Wake Forest,ACC,12-5-7,0.646,L1,4-2-2,0.625,W1,9-1-3,0.808,W5,2-4-3,0.389,L1,1-0-1,0.750,T1,0-0,0.000,
37,Georgetown,Big East,11-5-5,0.643,L1,5-2-1,0.688,W3,6-2-3,0.682,L1,3-3-2,0.500,L1,2-0,1.000,W2,0-0,0.000,W1
38,Indiana,Big Ten,11-5-5,0.643,L1,7-1-2,0.800,L1,7-2-3,0.708,W6,4-2-2,0.625,L1,0-1,0.000,L2,1-0,1.000,W5
39,Oregon St.,WCC,10-5-3,0.639,L2,5-2-1,0.688,L1,6-2-2,0.700,L1,4-3-1,0.563,L2,0-0,0.000,L2,0-0,0.000,L1
40,San Diego St.,WAC,10-5-3,0.639,L1,7-0-1,0.938,L1,6-1-1,0.813,W3,4-3-2,0.556,W1,0-1,0.000,L1,0-0,0.000,W2
41,Seton Hall,Big East,11-6-1,0.639,L1,4-3-1,0.563,L1,8-1,0.889,W1,3-5-1,0.389,L2,0-0,0.000,W1,0-0,0.000,W1
42,North Carolina,ACC,9-4-5,0.639,T1,4-3-1,0.563,L2,5-3-4,0.583,T1,4-1-1,0.750,W2,0-0,0.000,T1,0-0,0.000,
43,Princeton,Ivy League,12-7,0.632,L1,5-2,0.714,W2,5-4,0.556,L1,6-3,0.667,L1,1-0,1.000,W1,0-0,0.000,L1
44,Furman,SoCon,9-4-6,0.632,L1,2-1-2,0.600,W1,3-1-2,0.667,T1,5-3-4,0.583,L1,1-0,1.000,W6,1-0,1.000,W4
45,Lindenwood,OVC,11-6-3,0.625,L1,6-2-2,0.700,L1,6-2,0.750,W3,4-3-3,0.550,W1,1-1,0.500,L1,1-0,1.000,W2
46,NC State,ACC,10-5-5,0.625,L1,3-3-2,0.500,L2,8-2-2,0.750,W1,2-3-3,0.438,L1,0-0,0.000,T1,0-0,0.000,W2
47,Drake,MVC,9-5-3,0.618,L2,5-1-2,0.750,L2,5-1-1,0.786,L1,4-3-2,0.556,W2,0-1,0.000,L2,1-0,1.000,W2
48,New Hampshire,America East,7-3-7,0.618,T1,4-1-2,0.714,T1,4-2-2,0.625,T1,3-1-5,0.611,T1,0-0,0.000,L1,0-0,0.000,W5
49,Col. of Charleston,CAA,10-6-2,0.611,L2,4-2-2,0.625,L2,5-1-2,0.750,W2,5-4,0.556,L1,0-1,0.000,L1,0-0,0.000,T1
50,UConn,Big East,8-4-6,0.611,L1,3-2-3,0.563,L1,3-2-5,0.550,T1,5-2-1,0.688,L1,0-0,0.000,L1,0-0,0.000,T1
51,Milwaukee,Horizon,9-5-5,0.605,L1,4-3-2,0.556,L1,6-0-3,0.833,W5,3-4-2,0.444,T1,0-1,0.000,L4,0-0,0.000,
52,Stanford,ACC,9-5-6,0.600,T2,3-2-3,0.563,L1,6-3-4,0.615,T1,3-2-2,0.571,T1,0-0,0.000,L1,0-0,0.000,
53,Green Bay,Horizon,11-7-2,0.600,L1,4-3-2,0.556,L1,7-0-2,0.889,W1,4-7,0.364,L4,0-0,0.000,W2,1-0,1.000,W1
54,Bryant,America East,10-6-4,0.600,L1,4-3,0.571,L1,5-3-1,0.611,W1,5-3-3,0.591,L1,0-0,0.000,L1,0-0,0.000,T1
55,UNC Asheville,Big South,7-4-4,0.600,L1,3-2-2,0.571,L1,3-1-1,0.700,L1,4-3-3,0.550,W1,0-0,0.000,L10,0-0,0.000,W6
56,Virginia,ACC,11-7-3,0.595,L1,3-3-2,0.500,L1,8-5,0.615,L1,3-1-3,0.643,W2,0-1,0.000,L5,1-0,1.000,W3
57,Evansville,MVC,11-7-3,0.595,L1,4-3-1,0.563,W3,4-1-1,0.750,T1,6-6-2,0.500,L1,1-0,1.000,W3,0-0,0.000,W2
58,Michigan,Big Ten,9-5-7,0.595,L1,2-3-5,0.450,L1,7-2-2,0.727,W2,1-3-4,0.375,L2,1-0-1,0.750,T1,0-0,0.000,
59,UC Davis,Big West,10-6-6,0.591,L1,4-3-2,0.556,W1,6-2-1,0.722,W4,4-4-5,0.500,L1,0-0,0.000,W3,0-0,0.000,L2
60,Drexel,CAA,9-6-2,0.588,L1,5-2-1,0.688,L1,5-1-1,0.786,L1,4-5-1,0.450,T1,0-0,0.000,T1,0-0,0.000,W1
61,Portland,WCC,7-4-7,0.583,W3,4-0-4,0.750,W3,5-2-4,0.636,W2,2-2-3,0.500,W2,0-0,0.000,W1,1-0,1.000,W1
62,Elon,CAA,10-7-1,0.583,L1,6-2,0.750,L1,7-4,0.636,L1,3-3-1,0.500,W1,0-0,0.000,W1,0-0,0.000,W2
63,Creighton,Big East,9-6-3,0.583,L1,4-3-1,0.563,L1,5-3-2,0.600,W2,4-2-1,0.643,L1,0-1,0.000,L2,0-0,0.000,
64,Cal Poly,Big West,7-4-8,0.579,T1,4-1-4,0.667,T1,5-0-3,0.813,T1,2-4-5,0.409,T1,0-0,0.000,L3,0-0,0.000,W4
65,James Madison,Sun Belt,8-5-6,0.579,L1,3-3-3,0.500,L1,5-1-3,0.722,L1,2-4-3,0.389,L3,1-0,1.000,W1,0-0,0.000,L2
66,St. John's (NY),Big East,9-6-5,0.575,L1,5-1-2,0.750,L1,7-3-2,0.667,W3,2-2-3,0.500,W1,0-1,0.000,L2,1-0,1.000,W2
67,LIU,NEC,8-5-7,0.575,L1,4-1-3,0.688,T1,5-1-2,0.750,W3,3-4-5,0.458,L1,0-0,0.000,T1,0-0,0.000,W3
68,Maryland,Big Ten,9-6-5,0.575,L1,5-3-2,0.600,L4,6-2-4,0.667,W1,3-3-1,0.500,L3,0-1,0.000,L1,0-0,0.000,W5
69,Saint Louis,Atlantic 10,8-5-8,0.571,L2,4-1-3,0.688,L1,5-1-4,0.700,L1,3-3-4,0.500,L1,0-1,0.000,L3,1-0,1.000,W5
70,Wisconsin,Big Ten,7-5-3,0.567,T1,2-5-3,0.350,T1,5-3-1,0.611,T1,2-2-2,0.500,W1,0-0,0.000,W1,0-0,0.000,W1
71,Sacred Heart,MAAC,8-6-2,0.563,L1,3-3-2,0.500,L1,5-2-1,0.688,T1,3-4-1,0.438,L3,0-0,0.000,L3,0-0,0.000,W1
72,Northwestern,Big Ten,9-7-1,0.559,W1,3-6-1,0.350,W1,7-2-1,0.750,W2,2-5,0.286,L2,0-0,0.000,W1,1-0,1.000,W4
73,Notre Dame,ACC,7-5-5,0.559,L2,3-3-2,0.500,L2,5-2-4,0.636,W1,2-3-1,0.417,L2,0-0,0.000,L1,1-0,1.000,W5
74,Wofford,SoCon,8-6-3,0.559,T1,3-2,0.600,T1,3-3,0.500,W1,4-3-3,0.550,T1,1-0,1.000,W1,0-0,0.000,W2
75,Oakland,Horizon,9-7-2,0.556,L1,6-1-2,0.778,L1,7-3-1,0.682,L1,2-4-1,0.357,W2,0-0,0.000,L4,0-0,0.000,W8
76,Siena,MAAC,7-5-6,0.556,L1,4-1-3,0.688,L1,4-0-4,0.750,W1,3-5-2,0.400,L1,0-0,0.000,L1,0-0,0.000,W1
77,Utah Valley,WAC,8-6-4,0.556,L1,3-3-2,0.500,L1,3-4-2,0.444,W1,5-1-2,0.750,W2,0-1,0.000,L2,0-0,0.000,W1
78,Campbell,CAA,8-6-4,0.556,L1,3-4-1,0.438,L1,5-2-3,0.650,L1,3-4-1,0.438,W1,0-0,0.000,W1,1-0,1.000,W3
79,Lafayette,Patriot,8-6-4,0.556,L1,3-4-2,0.444,L1,5-3,0.625,L1,3-3-4,0.500,T1,0-0,0.000,W1,0-0,0.000,W1
80,Robert Morris,Horizon,9-7-3,0.553,L1,4-3-2,0.556,W2,6-2-2,0.700,T1,2-5-1,0.313,L1,1-0,1.000,W1,0-0,0.000,L1
81,Fordham,Atlantic 10,8-6-5,0.553,L2,4-1-3,0.688,L1,4-2-2,0.625,W1,4-4-3,0.500,L2,0-0,0.000,L1,0-0,0.000,L1
82,Washington,Big Ten,8-6-7,0.548,L1,4-3-3,0.550,L1,6-1-3,0.750,T1,2-4-3,0.389,L1,0-1-1,0.250,L1,0-0,0.000,W1
83,Oral Roberts,Summit League,7-6-3,0.531,L2,4-4,0.500,L2,5-2-1,0.688,L1,2-4-2,0.375,L1,0-0,0.000,L1,0-0,0.000,W5
84,UCF,Sun Belt,7-6-3,0.531,L1,5-4,0.556,L1,6-1-3,0.750,W3,1-4,0.200,W1,0-1,0.000,L1,0-0,0.000,W3
85,Fla. Atlantic,American,7-6-3,0.531,L1,3-3-1,0.500,L1,5-2-1,0.688,L1,2-4-2,0.375,L1,0-0,0.000,L2,0-0,0.000,T1
86,UMass Lowell,America East,6-5-5,0.531,L2,1-4-2,0.286,L2,3-2-4,0.556,L1,3-3-1,0.500,L2,0-0,0.000,W3,0-0,0.000,W2
87,Le Moyne,NEC,7-6-4,0.529,L3,4-3-1,0.563,L3,4-2-3,0.611,L1,3-4-1,0.438,L3,0-0,0.000,L4,0-0,0.000,L1
88,San Francisco,WCC,7-6-4,0.529,W2,5-1-2,0.750,W2,4-1-3,0.688,W1,3-5-1,0.389,W1,0-0,0.000,L3,0-0,0.000,W1
89,Virginia Tech,ACC,7-6-4,0.529,L1,1-5-2,0.250,L1,5-2-3,0.650,T2,2-4-1,0.357,L4,0-0,0.000,L2,0-0,0.000,W2
90,Boston College,ACC,6-5-6,0.529,L1,1-4-3,0.313,L1,4-2-4,0.600,W2,2-3-2,0.429,L1,0-0,0.000,L1,1-0,1.000,W7
91,CSU Bakersfield,Big West,7-6-4,0.529,L2,4-3-2,0.556,L2,5-1-1,0.786,W3,2-5-3,0.350,L4,0-0,0.000,L1,0-0,0.000,W3
92,Mercyhurst,NEC,8-7-2,0.529,W1,5-1-2,0.750,W1,3-0-1,0.875,T1,5-7-1,0.423,W1,0-0,0.000,W1,0-0,0.000,L1
93,Central Ark.,ASUN,8-7-3,0.528,T1,3-3-1,0.500,T1,3-4,0.429,L2,4-3-3,0.550,T1,1-0,1.000,W3,1-0,1.000,W2
94,Mercer,SoCon,6-5-7,0.528,L1,1-2-2,0.400,L1,4-2-1,0.643,W1,2-2-6,0.500,T2,0-1,0.000,L1,0-0,0.000,T1
95,Binghamton,America East,8-7-4,0.526,L1,2-3-2,0.429,L1,3-2-3,0.563,T1,5-5-1,0.500,L1,0-0,0.000,L4,0-0,0.000,W1
96,UCLA,Big Ten,7-6-6,0.526,L1,3-4-3,0.450,T1,4-5-3,0.458,L3,2-1-2,0.600,T1,1-0-1,0.750,T1,1-0,1.000,W1
97,UMBC,America East,8-7-4,0.526,L1,4-2-1,0.643,L1,6-3-3,0.625,W3,2-4-1,0.357,L1,0-0,0.000,L2,0-0,0.000,W1
98,Cal St. Fullerton,Big West,7-6-7,0.525,L1,3-2-4,0.556,L1,3-1-4,0.625,T1,4-5-3,0.458,L1,0-0,0.000,W4,0-0,0.000,W2
99,Houston Christian,OVC,8-7-5,0.525,L1,5-2-3,0.650,L1,5-3-1,0.611,W1,2-4-4,0.400,L2,1-0,1.000,W1,1-0,1.000,W1
100,Rhode Island,Atlantic 10,7-7-3,0.500,L6,2-6,0.250,L5,4-3-2,0.556,L3,3-4-1,0.438,L3,0-0,0.000,L1,0-0,0.000,L1
101,Saint Francis,NEC,7-7-2,0.500,L2,5-2-1,0.688,L2,4-2,0.667,L1,3-5-2,0.400,L1,0-0,0.000,L1,0-0,0.000,L1
102,South Fla.,The American,6-6-4,0.500,L1,4-3,0.571,L1,5-3-2,0.600,L2,1-2-2,0.400,W1,0-1,0.000,L2,1-0,1.000,W1
103,Syracuse,ACC,7-7-3,0.500,L1,2-4-2,0.375,L1,4-4-1,0.500,W2,3-3-2,0.500,L3,0-0,0.000,W3,0-0,0.000,W2
104,UIW,OVC,6-6-6,0.500,L1,3-2-5,0.550,L1,2-2-4,0.500,T3,3-4-2,0.444,L1,1-0,1.000,W2,1-0,1.000,T1
105,American,Patriot,5-5-9,0.500,T2,4-2-3,0.611,T2,3-2-4,0.556,T2,2-3-4,0.444,T1,0-0-1,0.500,T1,0-0,0.000,T1
106,Boston U.,Patriot,4-4-10,0.500,L1,4-1-4,0.667,L1,2-2-6,0.500,L1,2-2-4,0.500,T1,0-0,0.000,T1,0-0,0.000,W1
107,Brown,Ivy League,8-8-1,0.500,L1,3-4,0.429,L1,6-2-1,0.722,W2,2-6,0.250,L1,0-0,0.000,L1,0-0,0.000,W2
108,Bucknell,Patriot,7-7-6,0.500,L1,4-1-4,0.667,W1,4-2-4,0.600,W1,3-5-2,0.400,L1,0-0,0.000,L2,0-0,0.000,T1
109,California,ACC,8-8-2,0.500,L1,2-4-2,0.375,L1,3-3-2,0.500,L1,5-4,0.556,W3,0-1,0.000,L2,1-0,1.000,W1
110,UC Irvine,Big West,8-8-3,0.500,L1,4-3-2,0.556,L1,6-3-1,0.650,W3,2-5-2,0.333,L1,0-0,0.000,W1,0-0,0.000,W1
111,Cleveland St.,Horizon,7-7-3,0.500,L1,4-4-1,0.500,L1,6-2-1,0.722,W4,1-5-2,0.250,L1,0-0,0.000,W1,0-0,0.000,W1
112,Delaware,CAA,7-7-2,0.500,L3,2-6,0.250,L3,6-2,0.750,L1,1-5-2,0.250,L3,0-0,0.000,T1,0-0,0.000,W1
113,FIU,The American,6-6-6,0.500,L1,2-2-3,0.500,L1,3-2-1,0.583,T1,3-3-5,0.500,W2,0-1,0.000,L1,0-0,0.000,W8
114,Purdue Fort Wayne,Horizon,7-7-2,0.500,L1,4-4-1,0.500,L1,4-1-1,0.750,L1,3-6-1,0.350,L1,0-0,0.000,L1,1-0,1.000,W1
115,Kentucky,Sun Belt,6-6-6,0.500,L1,4-2-3,0.611,L1,3-2-4,0.556,T1,2-4-2,0.375,L1,1-0,1.000,W5,0-0,0.000,
116,Liberty,OVC,7-7-3,0.500,L1,5-3-2,0.600,L1,4-1-2,0.714,T2,3-5-1,0.389,L3,0-1,0.000,L1,1-0,1.000,W6
117,Memphis,The American,7-7-3,0.500,L1,4-1-2,0.714,L1,4-5-1,0.450,L1,3-2-2,0.571,T1,0-0,0.000,T1,0-0,0.000,W5
118,Omaha,Summit League,7-7-3,0.500,L1,2-5-1,0.313,L1,4-3-3,0.550,L3,3-4,0.429,W1,0-0,0.000,W1,0-0,0.000,L1
119,Colgate,Patriot,8-9-3,0.475,L1,4-3-2,0.556,L1,5-3-1,0.611,W2,3-6-2,0.364,L1,0-0,0.000,W4,0-0,0.000,W1
120,North Florida,ASUN,7-8-4,0.474,L1,4-2-1,0.643,T1,5-2-2,0.667,T1,2-6-2,0.300,L1,0-0,0.000,L1,0-0,0.000,W3
121,Davidson,Atlantic 10,6-7-5,0.472,L1,4-4,0.500,L1,4-3-3,0.550,L1,2-4-2,0.375,L1,0-0,0.000,T1,1-0,1.000,W2
122,Old Dominion,Sun Belt,7-8-2,0.471,L1,3-5-1,0.389,L1,4-2-2,0.625,W1,3-6,0.333,L1,0-0,0.000,L1,0-0,0.000,W1
123,Stetson,ASUN,5-6-6,0.471,L1,3-0-4,0.714,L1,3-3-3,0.500,L1,2-3-3,0.438,W1,0-0,0.000,W1,1-1,0.500,L2
124,Ga. Southern,Sun Belt,6-7-4,0.471,L3,2-5-2,0.333,L3,4-3-3,0.550,L1,2-4-1,0.357,L3,0-0,0.000,L2,0-0,0.000,L1
125,Louisville,ACC,6-7-4,0.471,L3,0-5-3,0.188,L4,4-4-2,0.500,L1,2-3-2,0.429,L2,0-0,0.000,W1,0-0,0.000,W1
126,Marquette,Big East,6-7-4,0.471,L2,2-4-2,0.375,L2,4-3-2,0.556,L3,2-4-2,0.375,T2,0-0,0.000,L1,1-0,1.000,W1
127,Northeastern,CAA,4-5-7,0.469,W1,2-4-2,0.375,W1,4-2-3,0.611,W3,0-3-4,0.286,L1,0-0,0.000,L3,0-0,0.000,T1
128,Bellarmine,ASUN,5-6-5,0.469,T2,2-3-2,0.429,T2,3-2-3,0.563,W3,2-4-1,0.357,T1,0-0-1,0.500,T2,0-0,0.000,L1
129,UC Riverside,Big West,5-6-5,0.469,W1,3-2-4,0.556,W1,2-2-2,0.500,W1,3-4-3,0.450,L1,0-0,0.000,L1,0-0,0.000,W2
130,San Jose St.,WAC,6-8-7,0.452,L1,3-3-3,0.500,L1,2-1-7,0.550,T1,2-6,0.250,L2,2-1,0.667,L1,0-0,0.000,T1
131,California Baptist,WAC,6-8-5,0.447,L1,4-4-1,0.500,L1,3-5-2,0.400,L1,2-2-3,0.500,L1,1-1,0.500,L1,0-0,0.000,L1
132,Wright St.,Horizon,7-9-2,0.444,W1,3-5-1,0.389,W1,4-3-1,0.563,L1,3-6-1,0.350,W1,0-0,0.000,L1,0-0,0.000,
133,La Salle,Atlantic 10,6-8-4,0.444,L1,3-3-2,0.500,L1,3-4-2,0.444,T1,3-4-2,0.444,L1,0-0,0.000,L6,1-0,1.000,W2
134,Marist,MAAC,7-9-2,0.444,L1,3-3-2,0.500,L1,4-2-1,0.643,L1,3-7-1,0.318,L1,0-0,0.000,W2,0-0,0.000,L1
135,NJIT,America East,6-8-4,0.444,L2,2-3-2,0.429,L2,5-1-3,0.722,T1,1-7-1,0.167,L2,0-0,0.000,T1,0-0,0.000,W2
136,Quinnipiac,MAAC,7-9-1,0.441,L1,4-4,0.500,L1,5-5-1,0.500,L1,2-4,0.333,W1,0-0,0.000,L1,1-0,1.000,W2
137,St. Bonaventure,Atlantic 10,6-8-3,0.441,L3,2-4-2,0.375,L3,3-3-2,0.500,L2,3-5-1,0.389,L1,0-0,0.000,W1,0-0,0.000,W2
138,Temple,The American,5-7-5,0.441,L1,2-2-3,0.500,L1,2-2-3,0.500,T1,3-5-2,0.400,L1,0-0,0.000,T1,0-0,0.000,W2
139,VCU,Atlantic 10,4-6-7,0.441,T1,1-4-3,0.313,T1,3-2-3,0.563,T2,1-4-3,0.313,L1,0-0-1,0.500,T1,0-0,0.000,W2
140,DePaul,Big East,6-8-3,0.441,L1,2-4-2,0.375,L1,2-4-2,0.375,T1,4-4-1,0.500,L1,0-0,0.000,T2,0-0,0.000,
141,ETSU,SoCon,5-7-5,0.441,L1,3-1-1,0.700,L1,3-1-4,0.625,L1,2-6-1,0.278,L1,0-0,0.000,L2,0-0,0.000,
142,LMU (CA),WCC,6-8-3,0.441,L1,3-4-1,0.438,L1,4-4-1,0.500,L2,2-4-2,0.375,W1,0-0,0.000,T1,0-0,0.000,
143,Michigan St.,Big Ten,5-7-5,0.441,T1,4-4-2,0.500,T1,4-3-2,0.556,L1,1-4-2,0.286,T1,0-0-1,0.500,T1,0-0,0.000,W1
144,UNLV,WAC,5-7-5,0.441,L1,2-2-5,0.500,L1,3-3-2,0.500,T1,2-3-3,0.438,L1,0-1,0.000,L2,0-0,0.000,W1
145,Presbyterian,Big South,6-8-2,0.438,L1,2-4-1,0.357,L1,2-5,0.286,L5,4-3-2,0.556,L1,0-0,0.000,L1,1-0,1.000,W3
146,UAB,The American,4-6-5,0.433,L1,1-4-2,0.286,L1,2-3-2,0.429,L2,2-3-3,0.438,T1,0-0,0.000,L4,0-0,0.000,W2
147,Jacksonville,ASUN,4-6-5,0.433,W1,2-3-2,0.429,W1,2-1-4,0.571,W1,2-5-1,0.313,L1,0-0,0.000,L1,0-0,0.000,W1
148,Western Ill.,OVC,8-11-1,0.425,L1,3-7,0.300,L1,6-2,0.750,W1,2-8-1,0.227,L5,0-1,0.000,L2,2-0,1.000,W2
149,UNCW,CAA,6-9-5,0.425,L1,4-4,0.500,L1,5-2-1,0.688,W2,1-7-3,0.227,L1,0-0-1,0.500,T1,0-0,0.000,W1
150,Stonehill,NEC,6-9-3,0.417,L1,2-4-2,0.375,L1,2-3-3,0.438,W1,4-6,0.400,L2,0-0,0.000,L2,0-0,0.000,W1
151,Rutgers,Big Ten,6-9-2,0.412,W2,3-6-1,0.350,W2,3-5-1,0.389,W1,3-4-1,0.438,W1,0-0,0.000,L3,0-0,0.000,T3
152,Belmont,MVC,5-8-4,0.412,T1,1-5-2,0.250,T1,4-4-1,0.500,W1,1-4-3,0.313,T1,0-0,0.000,T1,1-0,1.000,W5
153,UIC,MVC,7-10,0.412,L2,3-5,0.375,L2,5-4,0.556,W1,2-6,0.250,L5,0-0,0.000,L1,0-0,0.000,W3
154,Loyola Maryland,Patriot,4-7-6,0.412,T3,3-3-3,0.500,T3,2-2-3,0.500,T1,2-5-3,0.350,T2,0-0,0.000,L3,0-0,0.000,W2
155,Northern Ky.,Horizon,3-6-7,0.406,L1,2-3-4,0.444,L1,2-3-2,0.429,L2,1-3-5,0.389,W1,0-0,0.000,L1,0-0,0.000,W3
156,UTRGV,WAC,4-7-5,0.406,T1,2-3-4,0.444,T1,3-2-3,0.563,W1,1-5-2,0.250,T1,0-0,0.000,L1,1-0,1.000,L1
157,Santa Clara,WCC,5-8-3,0.406,L2,2-4-2,0.375,L2,2-3-2,0.429,L1,3-5-1,0.389,L1,0-0,0.000,L1,0-0,0.000,
158,Dartmouth,Ivy League,5-8-3,0.406,L3,2-4-1,0.357,L3,4-3-3,0.550,L1,1-5,0.167,L4,0-0,0.000,L2,0-0,0.000,W1
159,Manhattan,MAAC,5-8-3,0.406,L1,3-3-2,0.500,L1,4-2,0.667,L1,1-6-3,0.250,L1,0-0,0.000,L1,0-0,0.000,L2
160,Harvard,Ivy League,4-7-4,0.400,W1,3-4,0.429,W1,3-2-1,0.583,W2,1-5-3,0.278,L2,0-0,0.000,L2,0-0,0.000,W1
