rank,institution,conference,accum_attendance,avg_attendance,stadium_capacity,pct_capacity,games
1,BYU,Big 12,"37,954","3,450","4,200",82.15,11
2,South Carolina,SEC,"35,550","3,950","5,700",69.30,9
3,Tennessee,SEC,"24,878","2,764","3,000",92.14,9
4,Michigan St.,Big Ten,"23,893","1,838","2,500",73.52,13
5,Texas A&M,SEC,"23,031","2,303","3,500",65.80,10
6,Stanford,ACC,"22,798","1,628","1,900",85.71,14
7,Iowa,Big Ten,"21,167","2,117","3,000",70.56,10
8,Arkansas,SEC,"19,708","1,971","1,500",131.39,10
9,TCU,Big 12,"19,586","1,399","1,500",93.27,14
10,North Carolina,ACC,"19,518","1,952","4,200",46.47,10
11,Utah Valley,WAC,"18,035","1,503","3,000",50.10,12
12,Florida St.,ACC,"16,562","1,506","2,000",75.28,11
13,Virginia,ACC,"16,452","1,266","8,000",15.82,13
14,Georgia,SEC,"15,916","1,326","1,682",78.85,12
15,Creighton,Big East,"15,085","1,676","6,000",27.94,9
16,Colorado,Big 12,"15,048","1,158","2,000",57.88,13
17,Oklahoma,SEC,"14,317","1,302","3,500",37.19,11
18,Kansas,Big 12,"14,269","1,189","2,500",47.56,12
19,Washington,Big Ten,"13,497","1,350","2,200",61.35,10
20,Southern California,Big Ten,"13,379","1,338","1,000",133.79,10
21,Arizona St.,Big 12,"13,286","1,329","1,051",126.41,10
22,Boise St.,Mountain West,"12,546","1,046",750,139.40,12
23,Mississippi St.,SEC,"11,740","1,304",500,260.89,9
24,Wake Forest,ACC,"10,864",905,"3,000",30.18,12
25,Duke,ACC,"10,862",724,"4,000",18.10,15
26,Penn St.,Big Ten,"10,699",973,"5,000",19.45,11
27,Montana,Big Sky,"10,576",814,"1,200",67.79,13
28,Kentucky,SEC,"10,467",805,"1,500",53.68,13
29,Saint Louis,Atlantic 10,"10,276",934,"6,050",15.44,11
30,LSU,SEC,"9,986","1,110","2,197",50.50,9
31,Texas Tech,Big 12,"9,812",981,"2,000",49.06,10
32,Michigan,Big Ten,"9,801","1,089","2,200",49.50,9
33,Memphis,American,"9,786",816,"2,042",39.94,12
34,Portland,WCC,"9,713",971,"4,852",20.02,10
35,Nebraska,Big Ten,"9,648",877,"2,500",35.08,11
36,Notre Dame,ACC,"9,567",870,"2,500",34.79,11
37,Cal Poly,Big West,"9,394","1,044","11,075",9.42,9
38,UCLA,Big Ten,"9,390",939,"2,145",43.78,10
39,Vanderbilt,SEC,"8,974",690,"2,400",28.76,13
40,Princeton,Ivy League,"8,895",890,0,Inf,10
41,Alabama,SEC,"8,844",884,"1,500",58.96,10
42,West Virginia,Big 12,"8,768",797,"1,650",48.31,11
43,Auburn,SEC,"8,737",874,"1,500",58.25,10
44,UConn,Big East,"8,500","1,063","4,500",23.61,8
45,Utah,Big 12,"8,416",765,"1,100",69.55,11
46,Texas,SEC,"8,415",935,"20,000",4.68,9
47,Minnesota,Big Ten,"8,402",764,"1,000",76.38,11
48,Utah St.,Mountain West,"8,095",899,"1,000",89.94,9
49,Oklahoma St.,Big 12,"7,833",870,"2,500",34.81,9
50,NC State,ACC,"7,631",954,"2,000",47.69,8
51,Ohio St.,Big Ten,"7,474","1,068","4,518",23.63,7
52,Army West Point,Patriot,"7,377",820,"2,000",40.98,9
53,Long Beach St.,Big West,"7,357",736,"1,000",73.57,10
54,Maryland,Big Ten,"7,343",668,"7,000",9.54,11
55,Purdue,Big Ten,"7,328",733,"1,000",73.28,10
56,Florida,SEC,"7,260",726,"1,500",48.40,10
57,Hawaii,Big West,"7,248",725,"4,000",18.12,10
58,Cal St. Fullerton,Big West,"7,174",652,"10,000",6.52,11
59,SMU,ACC,"7,096",710,"2,577",27.54,10
60,UTSA,American,"7,045",705,"1,000",70.45,10
61,Illinois,Big Ten,"6,915",988,0,Inf,7
62,Providence,Big East,"6,877",764,"2,500",30.56,9
63,Oral Roberts,Summit League,"6,811",524,"1,000",52.39,13
64,Virginia Tech,ACC,"6,782",754,"2,028",37.16,9
65,UMBC,America East,"6,513",724,"1,500",48.24,9
66,Georgetown,Big East,"6,476",540,"1,625",33.21,12
67,Vermont,America East,"6,177",618,"2,600",23.76,10
68,Washington St.,WCC,"6,125",681,"2,000",34.03,9
69,San Diego St.,Mountain West,"6,042",549,"1,500",36.62,11
70,UNCW,CAA,"5,999",600,500,119.98,10
71,Samford,SoCon,"5,922",592,"1,200",49.35,10
72,Dayton,Atlantic 10,"5,902",492,"2,000",24.59,12
72,Dayton,Atlantic 10,"5,902",492,"19,965",2.46,12
74,UCF,Big 12,"5,861",586,"2,475",23.68,10
75,Illinois St.,MVC,"5,776",444,"1,000",44.43,13
76,UC Irvine,Big West,"5,707",571,"2,500",22.83,10
77,Clemson,ACC,"5,669",567,"6,000",9.45,10
78,Santa Clara,WCC,"5,639",627,"6,800",9.21,9
79,San Diego,WCC,"5,574",507,"5,792",8.75,11
80,Kansas St.,Big 12,"5,570",696,"1,394",49.95,8
81,Akron,MAC,"5,564",618,"5,000",12.36,9
82,Navy,Patriot,"5,426",603,"2,500",24.12,9
