date,team,opponent,home_away,outcome,team_score,opponent_score,overtime,goals,assists,sh_att,so_g,fouls,red_cards,yellow_cards,corners,pk,pk_att,defensive_goals,defensive_assists,defensive_sh_att,defensive_so_g,defensive_fouls,defensive_red_cards,defensive_yellow_cards,defensive_corners,defensive_pk,defensive_pk_att,team_id
2021-08-27,Bryant Bulldogs,UConn,Away,Loss,0,3,,,,4.0,3.0,9.0,,1.0,5.0,,,3.0,3.0,13.0,6.0,13.0,,,5.0,,,81
2021-08-30,Bryant Bulldogs,Northeastern,Home,Loss,2,3,2,2.0,2.0,16.0,9.0,15.0,,2.0,2.0,,,3.0,3.0,17.0,7.0,13.0,,5.0,12.0,,,81
2021-09-04,Bryant Bulldogs,Siena,Home,Loss,0,2,,,,17.0,7.0,14.0,,1.0,9.0,,,2.0,3.0,13.0,3.0,21.0,,2.0,8.0,,,81
2021-09-08,Bryant Bulldogs,Brown,Away,Win,4,2,,4.0,2.0,13.0,6.0,10.0,,2.0,6.0,,,2.0,2.0,13.0,3.0,15.0,,1.0,7.0,,,81
2021-09-11,Bryant Bulldogs,Harvard,Home,Draw,1,1,2,1.0,1.0,15.0,7.0,10.0,,1.0,6.0,,,1.0,1.0,27.0,12.0,18.0,,1.0,10.0,,,81
2021-09-18,Bryant Bulldogs,Marist,Away,Draw,1,1,2,1.0,1.0,6.0,4.0,16.0,,2.0,3.0,,,1.0,1.0,17.0,11.0,15.0,,2.0,4.0,,,81
2021-09-26,Bryant Bulldogs,Mount St. Mary's,Home,Win,3,1,,3.0,4.0,17.0,6.0,22.0,,3.0,6.0,,,1.0,1.0,13.0,6.0,12.0,,1.0,9.0,,,81
2021-09-30,Bryant Bulldogs,St. Francis Brooklyn,Away,Win,2,0,,2.0,2.0,10.0,6.0,18.0,,,5.0,,,,,18.0,7.0,13.0,,,9.0,,,81
2021-10-03,Bryant Bulldogs,LIU,Away,Loss,1,2,,1.0,1.0,9.0,4.0,19.0,,2.0,6.0,,,2.0,3.0,18.0,9.0,17.0,,,9.0,,,81
2021-10-10,Bryant Bulldogs,FDU,Home,Loss,0,2,,,,8.0,3.0,17.0,,1.0,4.0,,,2.0,3.0,11.0,6.0,21.0,,2.0,6.0,,,81
2021-10-14,Bryant Bulldogs,Howard,Away,Loss,0,3,,,,15.0,6.0,12.0,,1.0,10.0,,,3.0,2.0,17.0,8.0,13.0,,4.0,2.0,,,81
2021-10-17,Bryant Bulldogs,Sacred Heart,Home,Win,2,0,,2.0,2.0,12.0,6.0,15.0,,1.0,3.0,,,,,9.0,5.0,6.0,1.0,,3.0,,,81
2021-10-24,Bryant Bulldogs,Central Conn. St.,Away,Win,3,2,2,3.0,4.0,12.0,6.0,17.0,,2.0,7.0,,,2.0,1.0,8.0,2.0,10.0,,2.0,3.0,,,81
2021-10-31,Bryant Bulldogs,Saint Francis,Home,Win,2,1,1,2.0,1.0,23.0,9.0,10.0,,,8.0,,,1.0,,12.0,6.0,12.0,,1.0,5.0,,,81
2021-11-07,Bryant Bulldogs,Merrimack,Away,Loss,0,1,,,,9.0,3.0,13.0,1.0,1.0,3.0,,,1.0,,16.0,5.0,12.0,,2.0,5.0,,,81
2021-11-12,Bryant Bulldogs,LIU,Away,Draw,0,0,3,,,11.0,1.0,18.0,,,4.0,,,,,17.0,9.0,22.0,,1.0,4.0,,,81
