rank,institution,conference,past_wins,past_losses,past_ties,past_pct,future_wins,future_losses,future_ties,future_pct,cumulative_wins,cumulative_losses,cumulative_ties,cumulative_pct
96,Loyola Chicago,Atlantic 10,109,99,50,0.519,0,0,0,0.000,109,99,50,0.519
97,St. John's (NY),Big East,144,131,65,0.519,0,0,0,0.000,144,131,65,0.519
98,NJIT,America East,125,114,66,0.518,0,0,0,0.000,125,114,66,0.518
99,San Diego St.,WAC,130,119,72,0.517,0,0,0,0.000,130,119,72,0.517
100,Loyola Maryland,Patriot,121,111,74,0.516,0,0,0,0.000,121,111,74,0.516
101,DePaul,Big East,123,114,50,0.516,0,0,0,0.000,123,114,50,0.516
102,SIUE,OVC,140,130,72,0.515,0,0,0,0.000,140,130,72,0.515
103,Temple,American,111,103,62,0.514,0,0,0,0.000,111,103,62,0.514
104,George Washington,Atlantic 10,121,113,54,0.514,0,0,0,0.000,121,113,54,0.514
105,Bucknell,Patriot,138,129,80,0.513,0,0,0,0.000,138,129,80,0.513
106,South Fla.,American,107,100,59,0.513,0,0,0,0.000,107,100,59,0.513
107,Cornell,Ivy League,142,134,45,0.512,0,0,0,0.000,142,134,45,0.512
108,UNC Greensboro,SoCon,119,113,63,0.510,0,0,0,0.000,119,113,63,0.510
109,Cal St. Fullerton,Big West,138,131,85,0.510,0,0,0,0.000,138,131,85,0.510
110,Binghamton,America East,135,129,66,0.509,0,0,0,0.000,135,129,66,0.509
111,Col. of Charleston,CAA,117,113,67,0.507,0,0,0,0.000,117,113,67,0.507
112,Fairfield,MAAC,118,114,55,0.507,0,0,0,0.000,118,114,55,0.507
113,IU Indy,Horizon,119,116,61,0.505,0,0,0,0.000,119,116,61,0.505
114,High Point,Big South,119,116,53,0.505,0,0,0,0.000,119,116,53,0.505
115,California Baptist,WAC,123,120,81,0.505,0,0,0,0.000,123,120,81,0.505
116,Harvard,Ivy League,105,103,42,0.504,0,0,0,0.000,105,103,42,0.504
117,Manhattan,MAAC,111,109,49,0.504,0,0,0,0.000,111,109,49,0.504
118,UAB,American,92,90,62,0.504,0,0,0,0.000,92,90,62,0.504
119,Georgia St.,Sun Belt,110,108,65,0.504,0,0,0,0.000,110,108,65,0.504
120,Robert Morris,Horizon,126,124,64,0.503,0,0,0,0.000,126,124,64,0.503
121,LMU (CA),WCC,109,107,77,0.503,0,0,0,0.000,109,107,77,0.503
122,South Carolina,Sun Belt,113,112,68,0.502,0,0,0,0.000,113,112,68,0.502
123,USC Upstate,Big South,113,112,57,0.502,0,0,0,0.000,113,112,57,0.502
124,Belmont,MVC,115,114,52,0.502,0,0,0,0.000,115,114,52,0.502
125,St. Bonaventure,Atlantic 10,117,117,52,0.500,0,0,0,0.000,117,117,52,0.500
125,Houston Christian,OVC,133,133,50,0.500,0,0,0,0.000,133,133,50,0.500
125,Iona,MAAC,127,127,65,0.500,0,0,0,0.000,127,127,65,0.500
128,UIW,OVC,122,123,43,0.498,0,0,0,0.000,122,123,43,0.498
129,Gonzaga,WCC,109,110,71,0.498,0,0,0,0.000,109,110,71,0.498
130,Grand Canyon,WAC,124,125,62,0.498,0,0,0,0.000,124,125,62,0.498
131,CSUN,Big West,112,114,71,0.497,0,0,0,0.000,112,114,71,0.497
132,La Salle,Atlantic 10,123,125,55,0.497,0,0,0,0.000,123,125,55,0.497
133,Memphis,American,104,106,66,0.496,0,0,0,0.000,104,106,66,0.496
134,Wofford,SoCon,110,113,65,0.495,0,0,0,0.000,110,113,65,0.495
135,Northern Ky.,Horizon,110,114,43,0.493,0,0,0,0.000,110,114,43,0.493
136,Sacramento St.,Big West,109,114,89,0.492,0,0,0,0.000,109,114,89,0.492
137,American,Patriot,124,130,81,0.491,0,0,0,0.000,124,130,81,0.491
138,Seattle U,WAC,125,132,86,0.490,0,0,0,0.000,125,132,86,0.490
139,UTRGV,WAC,98,104,59,0.489,0,0,0,0.000,98,104,59,0.489
140,UMass Lowell,America East,101,107,71,0.489,0,0,0,0.000,101,107,71,0.489
141,Delaware,CAA,104,110,51,0.489,0,0,0,0.000,104,110,51,0.489
142,Radford,Big South,110,116,45,0.489,0,0,0,0.000,110,116,45,0.489
143,Lehigh,Patriot,123,131,73,0.488,0,0,0,0.000,123,131,73,0.488
144,Cal Poly,Big West,122,130,80,0.488,0,0,0,0.000,122,130,80,0.488
145,Central Ark.,ASUN,101,108,69,0.487,0,0,0,0.000,101,108,69,0.487
146,Holy Cross,Patriot,114,122,72,0.487,0,0,0,0.000,114,122,72,0.487
147,Bowling Green,MVC,129,138,62,0.486,0,0,0,0.000,129,138,62,0.486
148,Duquesne,Atlantic 10,107,115,66,0.486,0,0,0,0.000,107,115,66,0.486
149,San Jose St.,WAC,131,141,82,0.486,0,0,0,0.000,131,141,82,0.486
150,Columbia,Ivy League,93,100,34,0.485,0,0,0,0.000,93,100,34,0.485
151,Saint Francis,NEC,103,111,59,0.485,0,0,0,0.000,103,111,59,0.485
152,Saint Joseph's,Atlantic 10,114,123,54,0.485,0,0,0,0.000,114,123,54,0.485
153,Southern Ind.,OVC,120,129,57,0.485,0,0,0,0.000,120,129,57,0.485
154,Oakland,Horizon,116,125,57,0.485,0,0,0,0.000,116,125,57,0.485
155,Wright St.,Horizon,118,127,55,0.485,0,0,0,0.000,118,127,55,0.485
156,Drexel,CAA,106,115,61,0.484,0,0,0,0.000,106,115,61,0.484
157,FGCU,ASUN,95,103,58,0.484,0,0,0,0.000,95,103,58,0.484
158,Winthrop,Big South,111,121,61,0.483,0,0,0,0.000,111,121,61,0.483
159,Fla. Atlantic,American,90,99,66,0.482,0,0,0,0.000,90,99,66,0.482
160,Lipscomb,ASUN,96,106,66,0.481,0,0,0,0.000,96,106,66,0.481
161,Mercyhurst,NEC,113,124,46,0.481,0,0,0,0.000,113,124,46,0.481
162,Longwood,Big South,111,122,51,0.481,0,0,0,0.000,111,122,51,0.481
163,Rhode Island,Atlantic 10,112,125,54,0.478,0,0,0,0.000,112,125,54,0.478
164,Air Force,WAC,101,114,82,0.478,0,0,0,0.000,101,114,82,0.478
165,Colgate,Patriot,120,136,87,0.477,0,0,0,0.000,120,136,87,0.477
166,Mercer,SoCon,112,126,60,0.477,0,0,0,0.000,112,126,60,0.477
167,Utah Tech,WAC,109,124,77,0.476,0,0,0,0.000,109,124,77,0.476
168,Marist,MAAC,114,129,54,0.475,0,0,0,0.000,114,129,54,0.475
169,CSU Bakersfield,Big West,101,116,85,0.475,0,0,0,0.000,101,116,85,0.475
170,UC San Diego,Big West,110,126,76,0.474,0,0,0,0.000,110,126,76,0.474
171,Queens (NC),ASUN,110,126,58,0.473,0,0,0,0.000,110,126,58,0.473
172,Santa Clara,WCC,94,109,73,0.473,0,0,0,0.000,94,109,73,0.473
173,Campbell,CAA,111,127,58,0.473,0,0,0,0.000,111,127,58,0.473
174,Northeastern,CAA,95,109,52,0.473,0,0,0,0.000,95,109,52,0.473
175,Utah Valley,WAC,112,130,76,0.472,0,0,0,0.000,112,130,76,0.472
176,Jacksonville,ASUN,89,104,53,0.470,0,0,0,0.000,89,104,53,0.470
177,Siena,MAAC,111,129,59,0.470,0,0,0,0.000,111,129,59,0.470
178,George Mason,Atlantic 10,109,127,65,0.470,0,0,0,0.000,109,127,65,0.470
179,LIU,NEC,120,140,61,0.469,0,0,0,0.000,120,140,61,0.469
180,Howard,NEC,104,121,42,0.468,0,0,0,0.000,104,121,42,0.468
181,Eastern Ill.,OVC,109,127,44,0.468,0,0,0,0.000,109,127,44,0.468
182,UC Riverside,Big West,97,116,69,0.466,0,0,0,0.000,97,116,69,0.466
183,Purdue Fort Wayne,Horizon,91,108,53,0.466,0,0,0,0.000,91,108,53,0.466
184,Stetson,ASUN,91,110,54,0.463,0,0,0,0.000,91,110,54,0.463
185,Central Conn. St.,NEC,93,113,57,0.462,0,0,0,0.000,93,113,57,0.462
186,North Florida,ASUN,108,131,65,0.462,0,0,0,0.000,108,131,65,0.462
187,Liberty,OVC,106,128,57,0.462,0,0,0,0.000,106,128,57,0.462
188,Milwaukee,Horizon,115,139,50,0.461,0,0,0,0.000,115,139,50,0.461
189,Mount St. Mary's,MAAC,110,134,54,0.460,0,0,0,0.000,110,134,54,0.460
190,Seton Hall,Big East,104,132,65,0.453,0,0,0,0.000,104,132,65,0.453
191,Boston U.,Patriot,95,126,74,0.447,0,0,0,0.000,95,126,74,0.447
192,Green Bay,Horizon,116,151,55,0.446,0,0,0,0.000,116,151,55,0.446
193,Rider,MAAC,116,152,60,0.445,0,0,0,0.000,116,152,60,0.445
194,Niagara,MAAC,92,122,47,0.443,0,0,0,0.000,92,122,47,0.443
195,Lindenwood,OVC,118,158,61,0.441,0,0,0,0.000,118,158,61,0.441
196,Army West Point,Patriot,95,131,62,0.438,0,0,0,0.000,95,131,62,0.438
197,Stonehill,NEC,98,135,58,0.436,0,0,0,0.000,98,135,58,0.436
198,Chicago St.,NEC,82,114,50,0.435,0,0,0,0.000,82,114,50,0.435
199,UNC Asheville,Big South,84,116,43,0.434,0,0,0,0.000,84,116,43,0.434
200,Merrimack,MAAC,83,118,58,0.432,0,0,0,0.000,83,118,58,0.432
201,Le Moyne,NEC,92,130,50,0.430,0,0,0,0.000,92,130,50,0.430
202,Navy,Patriot,85,124,65,0.429,0,0,0,0.000,85,124,65,0.429
203,Presbyterian,Big South,90,127,41,0.428,0,0,0,0.000,90,127,41,0.428
204,Western Ill.,OVC,98,149,66,0.419,0,0,0,0.000,98,149,66,0.419
205,Lafayette,Patriot,85,134,83,0.419,0,0,0,0.000,85,134,83,0.419
206,Bellarmine,ASUN,80,123,55,0.417,0,0,0,0.000,80,123,55,0.417
207,Quinnipiac,MAAC,96,142,40,0.417,0,0,0,0.000,96,142,40,0.417
208,FDU,NEC,96,146,56,0.416,0,0,0,0.000,96,146,56,0.416
209,Canisius,MAAC,82,130,44,0.406,0,0,0,0.000,82,130,44,0.406
210,Saint Peter's,MAAC,77,127,54,0.403,0,0,0,0.000,77,127,54,0.403
211,Sacred Heart,MAAC,70,142,45,0.360,0,0,0,0.000,70,142,45,0.360
212,VMI,SoCon,64,136,55,0.359,0,0,0,0.000,64,136,55,0.359
