rank,institution,conference,past_wins,past_losses,past_ties,past_pct,future_wins,future_losses,future_ties,future_pct,cumulative_wins,cumulative_losses,cumulative_ties,cumulative_pct
1,Virginia,ACC,204,102,84,0.631,0,0,0,0.000,204,102,84,0.631
2,Denver,Summit League,214,112,81,0.625,0,0,0,0.000,214,112,81,0.625
3,Pittsburgh,ACC,186,100,70,0.621,0,0,0,0.000,186,100,70,0.621
4,Stanford,ACC,183,94,91,0.621,0,0,0,0.000,183,94,91,0.621
5,Georgetown,Big East,195,105,76,0.620,0,0,0,0.000,195,105,76,0.620
6,Wake Forest,ACC,217,119,86,0.616,0,0,0,0.000,217,119,86,0.616
7,Marshall,Sun Belt,205,111,105,0.612,0,0,0,0.000,205,111,105,0.612
8,Vermont,America East,217,121,95,0.611,0,0,0,0.000,217,121,95,0.611
9,Washington,Big Ten,186,110,75,0.602,0,0,0,0.000,186,110,75,0.602
10,VCU,Atlantic 10,151,90,66,0.599,0,0,0,0.000,151,90,66,0.599
11,SMU,ACC,184,109,92,0.597,0,0,0,0.000,184,109,92,0.597
12,Davidson,Atlantic 10,139,84,63,0.596,0,0,0,0.000,139,84,63,0.596
13,UCLA,Big Ten,165,100,82,0.594,0,0,0,0.000,165,100,82,0.594
14,Massachusetts,Atlantic 10,197,124,72,0.593,0,0,0,0.000,197,124,72,0.593
15,Hofstra,CAA,174,107,79,0.593,0,0,0,0.000,174,107,79,0.593
16,Fordham,Atlantic 10,168,108,49,0.592,0,0,0,0.000,168,108,49,0.592
17,Saint Louis,Atlantic 10,181,114,73,0.591,0,0,0,0.000,181,114,73,0.591
18,NC State,ACC,175,110,79,0.589,0,0,0,0.000,175,110,79,0.589
19,UNCW,CAA,158,99,75,0.589,0,0,0,0.000,158,99,75,0.589
20,Ohio St.,Big Ten,183,113,102,0.588,0,0,0,0.000,183,113,102,0.588
21,California,ACC,149,95,76,0.584,0,0,0,0.000,149,95,76,0.584
22,Michigan,Big Ten,178,117,70,0.584,0,0,0,0.000,178,117,70,0.584
23,Penn St.,Big Ten,139,91,59,0.583,0,0,0,0.000,139,91,59,0.583
24,Kansas City,Summit League,166,109,74,0.582,0,0,0,0.000,166,109,74,0.582
25,Virginia Tech,ACC,146,96,63,0.582,0,0,0,0.000,146,96,63,0.582
26,Boston College,ACC,144,97,66,0.577,0,0,0,0.000,144,97,66,0.577
27,Providence,Big East,179,121,84,0.576,0,0,0,0.000,179,121,84,0.576
28,Oral Roberts,Summit League,130,87,65,0.576,0,0,0,0.000,130,87,65,0.576
29,Xavier,Big East,143,97,64,0.576,0,0,0,0.000,143,97,64,0.576
30,North Carolina,ACC,143,97,71,0.574,0,0,0,0.000,143,97,71,0.574
31,Maryland,Big Ten,167,114,77,0.574,0,0,0,0.000,167,114,77,0.574
32,Dayton,Atlantic 10,152,102,100,0.571,0,0,0,0.000,152,102,100,0.571
33,Indiana,Big Ten,172,119,85,0.570,0,0,0,0.000,172,119,85,0.570
34,Syracuse,ACC,143,102,62,0.567,0,0,0,0.000,143,102,62,0.567
35,Omaha,Summit League,139,100,50,0.567,0,0,0,0.000,139,100,50,0.567
36,Louisville,ACC,130,92,68,0.566,0,0,0,0.000,130,92,68,0.566
37,Princeton,Ivy League,151,110,56,0.565,0,0,0,0.000,151,110,56,0.565
38,UCF,Sun Belt,122,85,76,0.565,0,0,0,0.000,122,85,76,0.565
39,Duke,ACC,153,110,70,0.565,0,0,0,0.000,153,110,70,0.565
40,William & Mary,CAA,125,90,57,0.564,0,0,0,0.000,125,90,57,0.564
41,Oregon St.,WCC,142,103,72,0.562,0,0,0,0.000,142,103,72,0.562
42,Kentucky,Sun Belt,134,97,69,0.562,0,0,0,0.000,134,97,69,0.562
43,Notre Dame,ACC,136,100,61,0.561,0,0,0,0.000,136,100,61,0.561
44,Western Mich.,MVC,177,133,58,0.560,0,0,0,0.000,177,133,58,0.560
45,Yale,Ivy League,130,97,46,0.560,0,0,0,0.000,130,97,46,0.560
46,Coastal Carolina,Sun Belt,126,93,56,0.560,0,0,0,0.000,126,93,56,0.560
47,West Virginia,Sun Belt,169,125,80,0.559,0,0,0,0.000,169,125,80,0.559
48,Drake,MVC,134,101,43,0.559,0,0,0,0.000,134,101,43,0.559
49,Northwestern,Big Ten,134,100,66,0.557,0,0,0,0.000,134,100,66,0.557
50,Missouri St.,MVC,146,110,60,0.557,0,0,0,0.000,146,110,60,0.557
51,UC Irvine,Big West,144,106,87,0.556,0,0,0,0.000,144,106,87,0.556
52,New Hampshire,America East,137,103,61,0.556,0,0,0,0.000,137,103,61,0.556
53,FIU,American,127,95,67,0.555,0,0,0,0.000,127,95,67,0.555
54,Villanova,Big East,135,103,58,0.554,0,0,0,0.000,135,103,58,0.554
55,UC Santa Barbara,Big West,167,125,108,0.553,0,0,0,0.000,167,125,108,0.553
56,ETSU,SoCon,129,99,58,0.552,0,0,0,0.000,129,99,58,0.552
57,St. Thomas (MN),Summit League,130,102,46,0.550,0,0,0,0.000,130,102,46,0.550
58,Rutgers,Big Ten,134,104,60,0.550,0,0,0,0.000,134,104,60,0.550
59,Stony Brook,CAA,122,96,53,0.548,0,0,0,0.000,122,96,53,0.548
60,Clemson,ACC,163,127,87,0.548,0,0,0,0.000,163,127,87,0.548
61,UMBC,America East,145,114,74,0.547,0,0,0,0.000,145,114,74,0.547
62,San Francisco,WCC,129,103,68,0.543,0,0,0,0.000,129,103,68,0.543
63,Wisconsin,Big Ten,115,93,55,0.542,0,0,0,0.000,115,93,55,0.542
64,Tulsa,American,105,84,59,0.542,0,0,0,0.000,105,84,59,0.542
65,Akron,Big East,153,123,81,0.542,0,0,0,0.000,153,123,81,0.542
66,Michigan St.,Big Ten,133,108,60,0.542,0,0,0,0.000,133,108,60,0.542
67,UAlbany,America East,136,110,70,0.541,0,0,0,0.000,136,110,70,0.541
68,Ga. Southern,Sun Belt,119,96,72,0.540,0,0,0,0.000,119,96,72,0.540
69,UIC,MVC,129,106,49,0.540,0,0,0,0.000,129,106,49,0.540
70,Elon,CAA,130,107,63,0.538,0,0,0,0.000,130,107,63,0.538
71,San Diego,WCC,143,118,87,0.536,0,0,0,0.000,143,118,87,0.536
72,James Madison,Sun Belt,138,114,78,0.536,0,0,0,0.000,138,114,78,0.536
73,Charlotte,American,123,101,80,0.536,0,0,0,0.000,123,101,80,0.536
74,Brown,Ivy League,129,108,54,0.536,0,0,0,0.000,129,108,54,0.536
75,Furman,SoCon,131,109,74,0.535,0,0,0,0.000,131,109,74,0.535
76,Monmouth,CAA,125,106,43,0.535,0,0,0,0.000,125,106,43,0.535
77,UC Davis,Big West,152,127,100,0.533,0,0,0,0.000,152,127,100,0.533
78,Butler,Big East,136,116,52,0.533,0,0,0,0.000,136,116,52,0.533
79,Evansville,MVC,156,133,66,0.532,0,0,0,0.000,156,133,66,0.532
80,Penn,Ivy League,139,119,52,0.532,0,0,0,0.000,139,119,52,0.532
81,Gardner-Webb,Big South,143,124,66,0.529,0,0,0,0.000,143,124,66,0.529
82,Bryant,America East,144,125,76,0.528,0,0,0,0.000,144,125,76,0.528
83,Portland,WCC,126,110,64,0.527,0,0,0,0.000,126,110,64,0.527
84,Creighton,Big East,130,114,63,0.526,0,0,0,0.000,130,114,63,0.526
85,Pacific,WCC,113,99,64,0.525,0,0,0,0.000,113,99,64,0.525
86,UConn,Big East,136,120,66,0.525,0,0,0,0.000,136,120,66,0.525
87,Old Dominion,Sun Belt,118,104,70,0.524,0,0,0,0.000,118,104,70,0.524
88,Cleveland St.,Horizon,128,114,48,0.524,0,0,0,0.000,128,114,48,0.524
89,Dartmouth,Ivy League,111,99,55,0.523,0,0,0,0.000,111,99,55,0.523
90,Marquette,Big East,129,116,42,0.523,0,0,0,0.000,129,116,42,0.523
91,NIU,MVC,124,111,42,0.523,0,0,0,0.000,124,111,42,0.523
92,Bradley,MVC,123,111,42,0.522,0,0,0,0.000,123,111,42,0.522
93,Detroit Mercy,Horizon,125,112,56,0.522,0,0,0,0.000,125,112,56,0.522
94,UNLV,WAC,124,112,68,0.520,0,0,0,0.000,124,112,68,0.520
95,Saint Mary's (CA),WCC,120,108,69,0.520,0,0,0,0.000,120,108,69,0.520
