rank,institution,conference,accum_attendance,avg_attendance,stadium_capacity,pct_capacity,games
1,South Carolina,Sun Belt,"49,407","4,492","5,700",78.80,11
2,Clemson,ACC,"40,350","3,104","6,000",51.73,13
3,Indiana,Big Ten,"32,183","2,682","6,100",43.97,12
4,UC Santa Barbara,Big West,"28,733","2,394","17,000",14.08,12
5,Marshall,Sun Belt,"28,358","2,026","1,006",201.35,14
6,Maryland,Big Ten,"26,650","2,221","7,000",31.73,12
7,Ohio St.,Big Ten,"26,386","1,885","4,518",41.72,14
8,UConn,Big East,"23,564","2,356","4,500",52.36,10
9,Creighton,Big East,"21,902","2,190","7,500",29.20,10
10,Wake Forest,ACC,"20,919","1,609","3,000",53.64,13
11,West Virginia,Sun Belt,"20,550","1,581","1,650",95.80,13
12,Virginia,ACC,"20,456","1,574","8,000",19.67,13
13,North Carolina,ACC,"19,737","1,645","4,200",39.16,12
14,Washington,Big Ten,"18,557","1,856","2,200",84.35,10
15,Stanford,ACC,"17,820","1,371","1,900",72.15,13
16,UMBC,America East,"17,358","1,447","1,500",96.43,12
17,Cal Poly,Big West,"17,043","2,130","11,075",19.24,8
18,SMU,ACC,"16,924","1,058","2,577",41.05,16
19,Michigan St.,Big Ten,"16,246","1,805","2,500",72.20,9
20,Pittsburgh,ACC,"15,217","1,171",735,159.26,13
21,NC State,ACC,"15,034","1,253","2,000",62.64,12
22,Providence,Big East,"14,973","1,361","2,500",54.45,11
23,Vermont,America East,"14,504","1,209","2,600",46.49,12
24,Saint Louis,Atlantic 10,"14,399","1,440","6,050",23.80,10
25,Akron,Big East,"14,280","1,098","5,000",21.97,13
26,Michigan,Big Ten,"13,737","1,249","2,200",56.76,11
27,Portland,WCC,"13,599","1,236","4,892",25.27,11
28,San Diego,WCC,"13,011","1,084","5,792",18.72,12
29,Denver,Summit League,"12,880","1,171","1,915",61.14,11
30,UCLA,Big Ten,"12,529","1,044","2,145",48.68,12
31,Syracuse,ACC,"12,303","1,367","1,500",91.13,9
32,Notre Dame,ACC,"11,932","1,085","3,500",30.99,11
33,Penn St.,Big Ten,"11,860","1,318","5,000",26.36,9
34,Dayton,Atlantic 10,"10,810",832,"2,000",41.58,13
35,Duke,ACC,"10,735",976,"4,000",24.40,11
36,Grand Canyon,WAC,"9,887","1,099","6,000",18.31,9
37,Virginia Tech,ACC,"9,592",959,"2,028",47.30,10
38,Kentucky,Sun Belt,"9,253","1,028","1,500",68.54,9
39,Georgetown,Big East,"9,093",827,"1,625",50.87,11
40,Butler,Big East,"8,690",869,"5,647",15.39,10
41,Utah Valley,WAC,"8,665",963,"1,050",91.69,9
42,Rhode Island,Atlantic 10,"8,604",956,"2,000",47.80,9
43,George Mason,Atlantic 10,"8,039",804,"5,000",16.08,10
44,California Baptist,WAC,"7,901",790,"1,000",79.01,10
45,High Point,Big South,"7,729",859,"1,100",78.07,9
46,New Hampshire,America East,"7,608",951,"11,015",8.63,8
47,Dartmouth,Ivy League,"7,595",760,"2,100",36.17,10
48,UNC Greensboro,SoCon,"7,593",759,"3,270",23.22,10
49,St. John's (NY),Big East,"7,515",626,"2,168",28.89,12
50,Oregon St.,WCC,"7,435",744,"1,500",49.57,10
51,Oral Roberts,Summit League,"7,398",925,"1,000",92.48,8
52,Wisconsin,Big Ten,"7,291",810,0,Inf,9
52,Wisconsin,Big Ten,"7,291",810,"4,500",18.00,9
54,San Diego St.,WAC,"7,093",887,"1,250",70.93,8
55,South Fla.,American,"6,870",687,"3,000",22.90,10
56,UC Irvine,Big West,"6,850",685,"2,500",27.40,10
57,Bowling Green,MVC,"6,801",756,"1,000",75.57,9
58,UAlbany,America East,"6,714",839,"8,500",9.87,8
59,Louisville,ACC,"6,676",668,"5,300",12.60,10
60,Elon,CAA,"6,654",605,625,96.79,11
61,Hofstra,CAA,"6,479",648,"1,600",40.49,10
62,Boston College,ACC,"6,444",644,"2,000",32.22,10
63,Rutgers,Big Ten,"6,159",684,"5,000",13.69,9
64,UNCW,CAA,"6,035",754,"1,500",50.29,8
65,UCF,Sun Belt,"5,931",593,"2,475",23.96,10
66,Coastal Carolina,Sun Belt,"5,808",528,"1,000",52.80,11
67,SIUE,OVC,"5,760",576,"4,000",14.40,10
68,Missouri St.,MVC,"5,722",572,"1,000",57.22,10
69,Western Mich.,MVC,"5,710",439,500,87.85,13
70,Omaha,Summit League,"5,599",560,"3,097",18.08,10
71,Navy,Patriot,"5,581",620,"1,500",41.34,9
72,Gonzaga,WCC,"5,451",496,"1,500",33.04,11
73,Northwestern,Big Ten,"5,435",544,"1,702",31.93,10
74,CSU Bakersfield,Big West,"5,314",759,"2,500",30.37,7
75,UIC,MVC,"5,264",585,"1,200",48.74,9
76,Holy Cross,Patriot,"5,170",574,"1,320",43.52,9
77,Princeton,Ivy League,"5,124",569,"2,356",24.17,9
78,Cornell,Ivy League,"4,980",553,"1,000",55.33,9
79,Charlotte,American,"4,953",708,"4,000",17.69,7
80,Cal St. Fullerton,Big West,"4,892",612,"10,000",6.12,8
81,Bucknell,Patriot,"4,852",485,"1,250",38.82,10
82,Duquesne,Atlantic 10,"4,683",468,"2,200",21.29,10
83,ETSU,SoCon,"4,618",577,"2,000",28.86,8
84,Marquette,Big East,"4,587",510,"1,750",29.12,9
85,Penn,Ivy League,"4,565",415,650,63.85,11
86,San Jose St.,WAC,"4,516",452,"1,000",45.16,10
87,UNLV,WAC,"4,417",552,"2,500",22.09,8
88,Bradley,MVC,"4,361",545,"1,800",30.28,8
89,Fla. Atlantic,American,"4,315",539,300,179.79,8
90,DePaul,Big East,"4,244",531,"1,000",53.05,8
91,Davidson,Atlantic 10,"4,156",416,"2,000",20.78,10
92,Massachusetts,Atlantic 10,"4,154",415,"2,000",20.77,10
93,Old Dominion,Sun Belt,"4,152",519,"4,000",12.98,8
94,California,ACC,"4,140",518,"22,000",2.35,8
95,Colgate,Patriot,"4,134",459,"1,300",35.33,9
