rank,institution,conference,accum_attendance,avg_attendance,stadium_capacity,pct_capacity,games
96,UC Riverside,Big West,"4,019",670,"1,056",63.43,6
97,San Francisco,WCC,"3,988",499,"2,500",19.94,8
98,Army West Point,Patriot,"3,985",498,"2,000",24.91,8
99,Brown,Ivy League,"3,979",442,"3,500",12.63,9
100,LMU (CA),WCC,"3,978",442,"2,000",22.10,9
101,North Florida,ASUN,"3,960",440,"9,300",4.73,9
102,James Madison,Sun Belt,"3,823",425,"1,500",28.32,9
103,Seattle U,WAC,"3,790",541,"1,800",30.08,7
104,Bryant,America East,"3,775",419,"4,400",9.53,9
105,Xavier,Big East,"3,723",372,"1,000",37.23,10
106,William & Mary,CAA,"3,715",464,"1,000",46.44,8
107,Milwaukee,Horizon,"3,697",411,"2,000",20.54,9
108,Yale,Ivy League,"3,663",458,"1,766",25.93,8
109,UC Davis,Big West,"3,567",396,"1,000",39.63,9
110,Marist,MAAC,"3,540",506,"5,000",10.11,7
111,VCU,Atlantic 10,"3,459",432,"3,000",14.41,8
112,FDU,NEC,"3,445",345,"1,100",31.32,10
113,Northern Ky.,Horizon,"3,396",485,"1,000",48.51,7
114,Evansville,MVC,"3,367",561,"2,500",22.45,6
115,Loyola Maryland,Patriot,"3,331",476,"6,000",7.93,7
116,NJIT,America East,"3,293",366,"1,000",36.59,9
117,Tulsa,American,"3,292",412,"2,000",20.58,8
118,Binghamton,America East,"3,268",409,"2,534",16.12,8
119,Santa Clara,WCC,"3,264",466,"6,800",6.86,7
120,Monmouth,CAA,"3,262",408,"1,500",27.18,8
121,CSUN,Big West,"3,247",406,"1,500",27.06,8
122,UC San Diego,Big West,"3,050",305,"1,750",17.43,10
123,Harvard,Ivy League,"3,034",506,"2,500",20.23,6
124,Iona,MAAC,"3,032",337,"2,440",13.81,9
125,Oakland,Horizon,"2,933",267,"1,000",26.66,11
126,Canisius,MAAC,"2,908",364,"1,000",36.35,8
127,FIU,American,"2,904",484,"1,500",32.27,6
128,Pacific,WCC,"2,898",414,"1,500",27.60,7
129,Drake,MVC,"2,862",409,"4,000",10.22,7
130,Fairfield,MAAC,"2,857",476,600,79.36,6
131,Seton Hall,Big East,"2,834",315,"1,800",17.49,9
132,Furman,SoCon,"2,767",461,"3,000",15.37,6
133,Jacksonville,ASUN,"2,757",394,500,78.77,7
134,Drexel,CAA,"2,747",392,"1,000",39.24,7
135,Villanova,Big East,"2,736",304,"1,500",20.27,9
136,Temple,American,"2,668",381,"1,000",38.11,7
137,Kansas City,Summit League,"2,652",332,850,39.00,8
138,Lehigh,Patriot,"2,644",264,"1,284",20.59,10
139,Rider,MAAC,"2,618",291,"1,000",29.09,9
140,Stonehill,NEC,"2,598",325,0,Inf,8
141,St. Bonaventure,Atlantic 10,"2,581",323,500,64.53,8
142,Fordham,Atlantic 10,"2,579",322,"7,000",4.61,8
143,Mercer,SoCon,"2,508",358,500,71.66,7
144,Liberty,OVC,"2,500",357,"1,000",35.71,7
145,Merrimack,MAAC,"2,480",354,"2,000",17.71,7
146,UTRGV,WAC,"2,430",304,"1,250",24.30,8
147,Wright St.,Horizon,"2,395",299,750,39.92,8
148,Memphis,American,"2,368",237,"2,042",11.60,10
149,Central Conn. St.,NEC,"2,339",334,"1,000",33.41,7
150,Southern Ind.,OVC,"2,330",291,500,58.25,8
151,Utah Tech,WAC,"2,322",332,"10,000",3.32,7
152,Mount St. Mary's,MAAC,"2,287",286,"1,000",28.59,8
153,Green Bay,Horizon,"2,274",253,"1,500",16.84,9
154,Air Force,WAC,"2,269",284,"3,000",9.45,8
155,Saint Joseph's,Atlantic 10,"2,222",247,"3,000",8.23,9
156,Boston U.,Patriot,"2,195",220,"10,412",2.11,10
157,UNC Asheville,Big South,"2,180",436,"1,000",43.60,5
158,Lafayette,Patriot,"2,172",272,"1,500",18.10,8
158,Cleveland St.,Horizon,"2,172",241,"3,000",8.04,9
160,Quinnipiac,MAAC,"2,161",196,"1,500",13.10,11
161,Le Moyne,NEC,"2,147",239,"1,500",15.90,9
162,FGCU,ASUN,"2,129",304,"1,500",20.28,7
163,St. Thomas (MN),Summit League,"2,125",236,"1,000",23.61,9
164,Col. of Charleston,CAA,"2,110",264,"1,200",21.98,8
165,Longwood,Big South,"2,109",301,350,86.08,7
166,Sacramento St.,Big West,"2,095",299,"1,050",28.50,7
167,Siena,MAAC,"2,093",262,"1,000",26.16,8
168,Saint Mary's (CA),WCC,"2,081",260,"3,500",7.43,8
169,Georgia St.,Sun Belt,"2,055",257,"2,000",12.84,8
170,Loyola Chicago,Atlantic 10,"2,022",289,0,Inf,7
170,Loyola Chicago,Atlantic 10,"2,022",289,615,46.97,7
172,Belmont,MVC,"2,018",224,500,44.84,9
173,Delaware,CAA,"1,995",249,"1,400",17.81,8
174,NIU,MVC,"1,899",211,"1,989",10.61,9
175,Winthrop,Big South,"1,897",237,"1,800",13.17,8
176,Ga. Southern,Sun Belt,"1,892",189,500,37.84,10
176,Lipscomb,ASUN,"1,892",315,"2,000",15.77,6
178,La Salle,Atlantic 10,"1,871",208,"7,500",2.77,9
179,American,Patriot,"1,859",207,"2,000",10.33,9
180,IU Indy,Horizon,"1,851",264,"10,000",2.64,7
181,UMass Lowell,America East,"1,830",203,"1,000",20.33,9
182,Stony Brook,CAA,"1,794",224,"12,300",1.82,8
183,Purdue Fort Wayne,Horizon,"1,776",296,"1,000",29.60,6
184,Campbell,CAA,"1,750",175,"1,000",17.50,10
185,Niagara,MAAC,"1,744",249,"1,200",20.76,7
186,Northeastern,CAA,"1,704",189,"3,000",6.31,9
187,Bellarmine,ASUN,"1,700",213,"1,776",11.97,8
188,VMI,SoCon,"1,687",187,"1,000",18.74,9
189,Sacred Heart,MAAC,"1,680",210,"4,000",5.25,8
190,Wofford,SoCon,"1,679",280,550,50.88,6
191,UAB,American,"1,657",237,"6,000",3.95,7
192,Stetson,ASUN,"1,594",177,500,35.42,9
193,Central Ark.,ASUN,"1,556",222,"1,000",22.23,7
194,Gardner-Webb,Big South,"1,487",186,"1,000",18.59,8
195,Houston Christian,OVC,"1,450",161,500,32.22,9
196,Robert Morris,Horizon,"1,396",140,"1,000",13.96,10
197,Detroit Mercy,Horizon,"1,379",230,"1,000",22.98,6
198,Presbyterian,Big South,"1,336",191,500,38.17,7
199,Lindenwood,OVC,"1,295",162,"6,000",2.70,8
200,George Washington,Atlantic 10,"1,248",178,"1,000",17.83,7
201,UIW,OVC,"1,221",153,"6,000",2.54,8
202,Howard,NEC,"1,149",192,"7,086",2.70,6
203,Radford,Big South,"1,105",184,"5,000",3.68,6
204,USC Upstate,Big South,"1,070",134,"3,000",4.46,8
205,Columbia,Ivy League,"1,018",170,"3,000",5.66,6
206,Queens (NC),ASUN,"1,000",143,"2,000",7.14,7
207,Mercyhurst,NEC,957,239,"2,300",10.40,4
208,LIU,NEC,913,114,300,38.04,8
209,Manhattan,MAAC,894,149,"2,000",7.45,6
210,Saint Francis,NEC,810,135,500,27.00,6
211,Western Ill.,OVC,609,76,"1,000",7.61,8
212,Saint Peter's,MAAC,500,71,"1,000",7.14,7
213,Chicago St.,NEC,382,76,0,Inf,5
214,Eastern Ill.,OVC,288,36,"1,000",3.60,8
